Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,MIN,L,126,127,108.5,109.3,105.2,.257,.337,.560,48.0,39.6,6.9,13.8,,.550,12.5,20.0,.149,,.486,9.8,76.0,.204
2,2,2019-10-25,,NYK,W,113,109,105.3,101.6,107.3,.436,.474,.608,54.1,56.8,10.3,3.6,,.577,21.9,26.8,.295,,.574,21.8,79.5,.198
3,3,2019-10-27,@,MEM,L,133,134,112.8,113.6,106.8,.366,.446,.567,52.0,63.6,5.1,7.1,,.510,12.7,21.2,.297,,.553,9.5,84.0,.194
4,4,2019-10-30,,IND,L,108,118,107.1,117.0,100.9,.280,.333,.517,56.8,51.2,5.9,7.1,,.495,15.4,37.5,.172,,.526,7.9,76.6,.177
5,5,2019-11-01,,HOU,W,123,116,113.7,107.2,108.2,.329,.376,.632,57.9,61.9,7.4,13.7,,.606,17.0,24.4,.235,,.475,9.8,83.3,.222
6,6,2019-11-02,@,DET,L,109,113,105.5,109.4,103.3,.183,.344,.542,53.9,55.8,3.9,6.3,,.516,12.2,21.7,.140,,.495,7.2,88.4,.253
7,7,2019-11-04,,NOP,W,135,125,119.0,110.2,113.5,.304,.446,.647,53.6,65.3,11.5,4.6,,.620,18.1,29.3,.228,,.562,16.5,76.7,.165
8,8,2019-11-08,@,POR,W,119,115,118.4,114.4,100.5,.303,.374,.530,51.5,43.9,6.0,13.4,,.495,7.4,31.4,.212,,.469,8.5,72.9,.247
9,9,2019-11-10,@,PHO,L,112,138,103.4,127.4,108.3,.187,.374,.569,50.6,61.4,3.7,3.5,,.527,14.7,11.9,.176,,.621,6.1,88.4,.152
10,10,2019-11-12,@,UTA,L,114,119,109.5,114.3,104.1,.278,.411,.564,48.3,46.3,4.8,12.1,,.517,13.7,22.2,.233,,.500,9.3,75.0,.293
11,11,2019-11-14,@,DEN,L,93,101,94.2,102.3,98.7,.168,.400,.456,45.1,52.8,3.0,2.9,,.421,6.4,12.7,.137,,.475,6.2,75.9,.050
12,12,2019-11-16,@,CHI,W,117,111,108.7,103.1,107.7,.352,.489,.576,41.7,75.0,9.3,17.3,,.511,12.9,11.4,.307,,.401,14.8,67.3,.418
13,13,2019-11-18,,IND,L,86,115,86.9,116.2,99.0,.286,.405,.455,38.8,60.0,2.0,10.3,,.423,8.7,7.7,.179,,.505,8.4,70.6,.129
14,14,2019-11-20,,CHO,W,101,91,103.0,92.8,98.1,.256,.433,.504,56.4,52.8,11.2,2.1,,.456,13.0,28.3,.211,,.438,14.8,83.3,.247
15,15,2019-11-22,,SAC,W,116,97,117.0,97.8,99.2,.383,.420,.613,59.3,53.7,9.1,5.0,,.580,16.0,33.3,.272,,.477,14.5,83.3,.174
16,16,2019-11-24,@,NYK,W,103,101,111.7,109.5,92.2,.442,.494,.560,44.9,58.1,6.5,2.2,,.494,10.7,17.1,.351,,.575,15.5,75.7,.113
17,17,2019-11-25,@,CLE,W,108,106,113.3,111.2,95.3,.117,.362,.546,51.6,65.9,8.4,16.1,,.527,8.3,26.7,.096,,.495,8.9,75.0,.138
18,18,2019-11-27,@,BOS,L,110,121,111.8,123.0,98.4,.211,.622,.559,40.9,80.0,5.1,9.5,,.561,13.2,23.4,.100,,.510,11.5,58.7,.227
19,19,2019-11-29,,BOS,W,112,107,109.8,104.9,102.0,.140,.441,.567,50.5,69.8,8.8,9.2,,.554,15.4,28.9,.097,,.489,15.7,69.2,.172
20,20,2019-12-01,,MIA,L,106,109,108.5,111.6,97.7,.176,.462,.541,48.5,60.0,3.1,8.6,,.516,10.9,20.5,.132,,.453,7.7,70.9,.242
21,21,2019-12-04,@,ATL,W,130,118,126.2,114.5,103.0,.178,.307,.597,60.2,52.0,7.8,9.4,,.564,12.1,40.9,.158,,.583,13.9,79.5,.144
22,22,2019-12-06,@,CHO,W,111,104,117.8,110.4,94.2,.170,.432,.587,59.0,83.3,12.7,11.6,,.563,14.5,38.5,.136,,.536,17.4,77.3,.181
23,23,2019-12-08,,DEN,W,105,102,109.1,106.0,96.2,.264,.322,.541,56.5,62.5,5.2,2.1,,.500,10.2,25.0,.207,,.506,11.2,84.4,.135
24,24,2019-12-11,,CHO,L,108,113,115.7,121.0,93.4,.375,.432,.527,52.5,52.6,5.4,5.7,,.489,10.5,34.7,.250,,.494,7.3,70.0,.295
25,25,2019-12-14,@,TOR,L,102,110,93.0,100.3,109.7,.168,.455,.470,53.6,61.5,3.6,12.1,,.446,15.6,24.1,.119,,.459,9.2,82.1,.204
26,26,2019-12-15,,PHI,W,109,89,107.5,87.8,101.4,.191,.255,.535,57.3,51.2,8.9,1.7,,.505,13.6,27.9,.149,,.459,14.6,84.8,.116
27,27,2019-12-17,@,NOP,W,108,101,100.7,94.1,97.2,.240,.406,.509,48.2,62.5,2.8,14.9,,.474,9.4,12.5,.177,,.397,6.4,75.0,.150
28,28,2019-12-19,@,SAS,L,105,118,101.0,113.5,103.9,.361,.434,.546,50.0,45.7,8.7,4.8,,.464,15.8,15.0,.337,,.516,9.4,75.9,.198
29,29,2019-12-21,,ATL,W,122,112,109.7,100.7,111.2,.280,.300,.543,54.0,50.0,7.2,7.0,,.515,11.8,24.0,.190,,.424,7.9,77.8,.219
30,30,2019-12-26,,NYK,L,82,94,85.2,97.7,96.2,.462,.641,.437,45.5,81.0,3.1,4.8,,.353,12.2,16.1,.346,,.451,11.6,75.9,.120
31,31,2019-12-28,@,HOU,L,98,108,94.5,104.1,103.7,.228,.424,.484,46.5,64.9,6.7,8.5,,.462,12.9,19.1,.141,,.500,11.5,70.4,.069
32,32,2019-12-30,@,MIN,L,115,122,97.6,103.5,106.7,.273,.414,.519,49.2,55.0,3.4,10.0,,.480,12.6,12.5,.202,,.486,10.7,82.3,.202
33,33,2020-01-02,@,DAL,L,111,123,116.2,128.7,95.5,.187,.407,.564,48.9,69.0,5.2,2.0,,.527,10.0,26.1,.165,,.607,11.9,72.7,.169
34,34,2020-01-04,,TOR,L,102,121,104.6,124.0,97.5,.507,.522,.622,46.9,75.0,4.1,16.9,,.575,22.7,17.6,.373,,.521,6.0,68.1,.206
35,35,2020-01-06,@,ORL,L,89,101,88.3,100.2,100.7,.198,.490,.426,43.4,62.5,10.9,1.8,,.385,10.3,19.7,.156,,.481,16.0,75.6,.284
36,36,2020-01-07,,OKC,L,103,111,94.5,101.9,98.7,.163,.378,.490,50.5,47.5,4.6,9.1,,.464,13.9,20.4,.122,,.473,12.5,83.7,.261
37,37,2020-01-10,,MIA,W,117,113,122.3,118.1,95.7,.204,.473,.577,56.0,68.9,5.2,7.1,,.565,8.2,28.0,.129,,.559,6.9,90.2,.212
38,38,2020-01-12,,ATL,W,108,86,101.0,80.5,106.9,.377,.338,.602,65.3,61.0,7.5,4.1,,.597,21.1,19.4,.208,,.392,10.5,93.2,.103
39,39,2020-01-14,,UTA,L,107,118,110.7,122.0,96.7,.167,.289,.554,51.2,48.9,4.1,7.1,,.544,11.0,24.4,.100,,.571,7.5,82.1,.141
40,40,2020-01-15,@,PHI,L,106,117,107.8,118.9,98.4,.345,.287,.529,47.3,52.6,9.1,1.7,,.506,11.5,23.4,.207,,.574,10.8,71.7,.182
