Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,PHI,L,93,107,91.4,105.2,101.8,.378,.289,.443,39.8,54.5,3.9,3.6,,.406,8.7,16.7,.222,,.476,12.9,72.1,.306
2,2,2019-10-25,,TOR,W,112,106,110.7,104.7,101.2,.147,.349,.483,54.9,50.0,9.9,19.0,,.445,7.2,33.9,.138,,.590,21.2,87.5,.179
3,3,2019-10-26,@,NYK,W,118,95,115.8,93.3,101.9,.312,.441,.558,45.5,57.1,13.7,16.4,,.532,10.2,25.0,.204,,.421,19.2,67.3,.317
4,4,2019-10-30,,MIL,W,116,105,113.3,102.6,102.4,.228,.446,.573,50.0,61.0,3.9,10.8,,.538,8.2,11.1,.185,,.549,13.9,88.9,.183
5,5,2019-11-01,,NYK,W,104,102,107.4,105.3,96.9,.392,.459,.599,46.3,63.6,7.2,7.3,,.520,13.9,7.9,.365,,.473,11.3,71.9,.151
6,6,2019-11-05,@,CLE,W,119,113,118.4,112.5,100.5,.176,.353,.650,51.1,50.0,5.0,19.4,,.635,13.3,11.1,.129,,.489,7.9,78.8,.211
7,7,2019-11-07,@,CHO,W,108,87,104.8,84.4,103.1,.247,.355,.524,51.5,72.5,12.6,9.1,,.484,10.4,21.6,.194,,.419,17.4,82.0,.174
8,8,2019-11-09,@,SAS,W,135,115,130.1,110.8,103.8,.298,.394,.635,43.0,58.3,10.6,15.9,,.585,7.0,16.3,.266,,.465,11.8,63.2,.232
9,9,2019-11-11,,DAL,W,116,106,125.2,114.4,92.6,.291,.407,.598,50.0,61.0,4.3,10.6,,.564,8.5,23.3,.221,,.478,5.6,73.5,.236
10,10,2019-11-13,,WAS,W,140,133,133.6,127.0,104.8,.302,.375,.644,55.0,65.3,4.8,7.5,,.594,9.2,27.0,.271,,.578,6.9,79.1,.229
11,11,2019-11-15,@,GSW,W,105,100,102.8,97.9,102.1,.253,.363,.519,46.1,64.9,12.7,9.3,,.478,12.2,20.4,.198,,.445,16.4,75.0,.329
12,12,2019-11-17,@,SAC,L,99,100,105.2,106.3,94.1,.293,.366,.535,50.5,76.5,7.4,5.6,,.476,13.1,22.2,.256,,.506,11.3,78.3,.112
13,13,2019-11-18,@,PHO,W,99,85,100.4,86.2,98.6,.191,.461,.513,53.6,59.5,12.2,10.9,,.483,15.0,22.9,.146,,.463,17.9,83.7,.110
14,14,2019-11-20,@,LAC,L,104,107,98.5,101.3,95.6,.135,.433,.472,50.0,63.4,10.4,4.2,,.452,13.4,31.6,.096,,.511,18.7,71.4,.129
15,15,2019-11-22,@,DEN,L,92,96,95.5,99.6,96.4,.284,.333,.505,45.5,63.6,12.5,10.0,,.451,10.8,11.9,.235,,.483,15.4,76.1,.125
16,16,2019-11-25,,SAC,W,103,102,114.6,113.5,89.9,.271,.353,.541,51.4,52.6,11.1,12.5,,.488,10.4,28.2,.235,,.582,14.1,77.1,.127
17,17,2019-11-27,,BRK,W,121,110,123.0,111.8,98.4,.247,.351,.562,59.1,53.5,10.2,14.7,,.510,11.5,41.3,.227,,.561,13.2,76.6,.100
18,18,2019-11-29,@,BRK,L,107,112,104.9,109.8,102.0,.226,.301,.523,49.5,39.0,10.8,13.5,,.489,15.7,30.8,.172,,.554,15.4,71.1,.097
19,19,2019-12-01,@,NYK,W,113,104,118.4,109.0,95.5,.237,.441,.550,53.0,61.0,5.2,14.0,,.522,11.2,34.0,.172,,.513,13.2,77.8,.342
20,20,2019-12-04,,MIA,W,112,93,121.7,101.1,92.0,.405,.519,.602,53.5,60.0,8.7,20.5,,.544,9.7,23.8,.329,,.532,17.6,81.8,.143
21,21,2019-12-06,,DEN,W,108,95,112.7,99.2,95.8,.098,.427,.631,47.4,47.7,5.2,7.8,,.616,14.9,12.1,.085,,.441,10.7,73.3,.128
22,22,2019-12-09,,CLE,W,110,88,115.8,92.7,95.0,.103,.346,.675,46.4,48.9,8.4,15.0,,.673,18.1,15.6,.064,,.434,15.3,65.4,.099
23,23,2019-12-11,@,IND,L,117,122,114.3,119.1,102.4,.253,.414,.605,55.0,58.1,5.9,6.7,,.575,13.4,20.5,.195,,.541,9.0,87.8,.353
