Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,CHI,W,126,125,124.0,123.0,101.6,.182,.500,.663,45.6,62.2,3.0,5.3,,.642,16.7,23.7,.148,,.510,8.0,61.5,.171
2,2,2019-10-25,,MIN,L,99,121,95.3,116.4,103.9,.310,.345,.519,44.7,70.3,5.8,9.4,,.512,16.6,18.8,.155,,.538,12.5,71.7,.253
3,3,2019-10-27,@,LAL,L,101,120,101.5,120.6,99.5,.253,.385,.499,48.9,54.3,7.0,6.5,,.440,12.2,26.0,.231,,.586,11.6,76.2,.118
4,4,2019-10-28,@,LAC,L,96,111,95.6,110.5,100.4,.169,.470,.538,46.3,66.7,5.0,6.0,,.518,19.1,20.5,.120,,.554,18.5,76.3,.229
5,5,2019-10-30,@,SAC,W,118,111,116.3,109.4,101.4,.167,.381,.654,54.1,65.2,7.9,6.0,,.643,18.2,25.6,.119,,.531,12.9,78.3,.094
6,6,2019-11-02,@,GSW,W,93,87,101.2,94.7,91.9,.271,.341,.489,54.5,50.0,6.5,2.0,,.453,11.2,31.4,.188,,.500,17.9,86.5,.130
7,7,2019-11-05,,IND,W,122,120,114.9,113.0,96.2,.477,.352,.573,46.3,52.4,6.6,6.3,,.534,10.9,21.7,.318,,.606,15.6,79.4,.064
8,8,2019-11-07,,BOS,L,87,108,84.4,104.8,103.1,.244,.360,.457,48.5,63.6,6.8,15.0,,.419,17.4,18.0,.174,,.484,10.4,78.4,.194
9,9,2019-11-09,,NOP,L,110,115,103.8,108.5,106.0,.386,.398,.534,48.3,75.0,9.4,4.8,,.477,16.9,26.5,.295,,.627,22.8,76.3,.280
10,10,2019-11-10,@,PHI,L,106,114,107.1,115.1,99.0,.262,.393,.566,38.8,57.9,9.1,1.8,,.536,12.2,13.3,.190,,.607,18.0,71.4,.143
11,11,2019-11-13,,MEM,L,117,119,114.4,116.4,102.2,.218,.414,.613,43.0,62.8,7.8,9.3,,.586,13.6,17.1,.172,,.635,19.8,71.1,.067
12,12,2019-11-15,,DET,W,109,106,113.8,110.7,95.8,.167,.365,.529,49.4,51.2,10.4,6.5,,.516,8.8,28.6,.104,,.586,18.1,79.4,.136
13,13,2019-11-16,@,NYK,W,103,102,113.4,112.3,90.8,.218,.552,.540,46.7,61.1,5.5,4.5,,.511,9.5,25.5,.161,,.488,10.3,69.8,.209
14,14,2019-11-18,@,TOR,L,96,132,100.1,137.6,95.9,.308,.577,.542,41.1,78.8,3.1,14.8,,.519,17.7,19.6,.192,,.619,8.8,63.6,.124
15,15,2019-11-20,@,BRK,L,91,101,92.8,103.0,98.1,.321,.407,.492,43.6,56.7,8.2,5.9,,.438,14.8,16.7,.247,,.456,13.0,71.7,.211
16,16,2019-11-22,@,WAS,L,118,125,113.6,120.3,103.9,.086,.366,.611,51.8,50.0,8.7,8.8,,.591,14.2,16.7,.086,,.604,9.9,86.0,.165
17,17,2019-11-23,,CHI,L,115,116,118.4,119.5,97.1,.275,.350,.641,52.4,59.1,5.1,14.6,,.625,17.5,27.8,.188,,.568,11.5,71.7,.084
18,18,2019-11-25,@,MIA,L,100,117,102.1,119.4,98.0,.287,.379,.510,41.7,69.4,11.2,0.0,,.466,11.7,19.6,.218,,.604,16.8,75.8,.312
