Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,CHO,L,125,126,49,105,.467,9,30,.300,18,22,.818,20,49,25,11,4,10,20,,45,88,.511,23,44,.523,13,16,.813,9,41,28,3,4,19,18
2,2,2019-10-25,@,MEM,W,110,102,40,93,.430,12,42,.286,18,24,.750,9,45,18,14,7,13,21,,39,94,.415,10,29,.345,14,20,.700,15,56,24,8,6,18,21
3,3,2019-10-26,,TOR,L,84,108,29,97,.299,9,35,.257,17,25,.680,12,45,18,9,2,15,22,,38,82,.463,15,42,.357,17,18,.944,10,59,27,9,12,22,25
4,4,2019-10-28,@,NYK,L,98,105,36,85,.424,9,35,.257,17,21,.810,8,38,19,6,5,9,22,,38,91,.418,9,29,.310,20,32,.625,25,63,19,3,6,17,19
5,5,2019-10-30,@,CLE,L,111,117,39,90,.433,14,39,.359,19,23,.826,9,32,25,6,5,6,24,,41,78,.526,10,24,.417,25,31,.806,10,47,25,3,7,17,21
6,6,2019-11-01,,DET,W,112,106,39,89,.438,16,40,.400,18,23,.783,11,42,29,6,1,17,18,,41,85,.482,6,29,.207,18,24,.750,10,47,21,11,8,16,21
7,7,2019-11-03,@,IND,L,95,108,36,84,.429,9,29,.310,14,25,.560,6,42,27,8,2,18,21,,40,85,.471,8,26,.308,20,27,.741,10,49,28,6,10,16,24
8,8,2019-11-05,,LAL,L,112,118,43,85,.506,14,32,.438,12,23,.522,7,42,22,11,4,16,21,,45,92,.489,11,33,.333,17,24,.708,12,49,26,10,10,15,18
9,9,2019-11-06,@,ATL,W,113,93,41,82,.500,13,33,.394,18,27,.667,7,43,26,11,9,17,30,,30,74,.405,6,30,.200,27,35,.771,6,41,18,7,3,24,26
10,10,2019-11-09,,HOU,L,94,117,37,98,.378,4,32,.125,16,18,.889,11,46,21,14,5,15,22,,39,83,.470,19,44,.432,20,28,.714,9,55,18,12,7,22,21
11,11,2019-11-12,,NYK,W,120,102,41,81,.506,14,33,.424,24,31,.774,9,46,22,9,2,19,25,,36,88,.409,10,32,.313,20,31,.645,13,38,27,12,1,18,28
12,12,2019-11-14,@,MIL,L,115,124,38,93,.409,18,43,.419,21,25,.840,10,45,25,14,1,20,29,,42,88,.477,6,33,.182,34,47,.723,17,58,24,9,4,22,22
13,13,2019-11-16,,BRK,L,111,117,32,91,.352,9,39,.231,38,41,.927,17,56,15,8,2,19,30,,40,88,.455,10,43,.233,27,31,.871,5,40,30,10,9,15,30
14,14,2019-11-18,,MIL,L,101,115,39,97,.402,12,34,.353,11,14,.786,13,50,25,6,6,14,25,,38,82,.463,15,41,.366,24,35,.686,8,48,24,12,9,15,16
