Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,WAS,W,108,100,104.2,96.4,103.7,.434,.474,.597,49.5,48.6,5.8,9.6,,.533,17.3,12.2,.355,,.457,14.4,78.8,.161
2,2,2019-10-25,@,NOP,W,123,116,119.6,112.8,102.8,.280,.430,.589,50.5,51.1,7.8,12.3,,.559,9.5,25.0,.204,,.536,11.8,75.5,.112
3,3,2019-10-27,,POR,L,119,121,111.6,113.4,106.7,.436,.532,.531,48.9,73.0,6.6,4.6,,.463,8.9,22.6,.340,,.569,14.0,82.9,.253
4,4,2019-10-29,@,DEN,W,109,106,119.7,116.4,91.1,.286,.440,.576,45.7,70.7,6.6,8.5,,.565,7.8,21.7,.167,,.533,9.4,69.6,.099
5,5,2019-11-01,,LAL,L,110,119,100.2,108.4,99.5,.225,.353,.491,59.8,57.5,4.6,1.6,,.461,16.4,34.0,.157,,.536,9.5,87.8,.167
6,6,2019-11-03,@,CLE,W,131,111,131.7,111.6,99.5,.138,.436,.657,55.4,68.0,5.0,12.5,,.638,11.5,27.5,.117,,.500,7.8,76.9,.156
7,7,2019-11-06,,ORL,W,107,106,108.0,107.0,99.1,.357,.369,.550,49.4,55.6,4.0,1.8,,.494,14.9,26.1,.286,,.525,16.3,75.6,.275
8,8,2019-11-08,,NYK,L,102,106,101.7,105.6,100.3,.189,.489,.523,45.6,48.6,4.0,9.8,,.489,11.8,14.3,.156,,.494,10.5,74.1,.202
9,9,2019-11-09,@,MEM,W,138,122,131.5,116.3,104.9,.206,.433,.652,54.7,51.9,7.6,8.5,,.629,11.7,29.3,.165,,.589,12.9,77.8,.105
10,10,2019-11-11,@,BOS,L,106,116,114.4,125.2,92.6,.315,.472,.523,50.0,59.5,2.2,9.8,,.478,5.6,26.5,.236,,.564,8.5,76.7,.221
11,11,2019-11-14,@,NYK,L,103,106,108.0,111.2,95.4,.369,.429,.527,45.4,58.3,8.4,10.9,,.476,10.1,24.0,.274,,.516,13.2,68.1,.096
12,12,2019-11-16,,TOR,W,110,102,109.7,101.8,100.2,.375,.443,.536,56.7,64.9,7.0,8.3,,.472,10.5,25.5,.307,,.511,12.8,86.0,.124
13,13,2019-11-18,,SAS,W,117,110,124.3,116.9,94.1,.274,.488,.622,46.1,66.7,4.3,4.2,,.601,12.1,22.5,.190,,.500,8.0,65.3,.146
