Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-24,,LAC,L,122,141,115.7,133.7,105.5,.303,.424,.544,51.9,69.2,6.6,0.0,,.470,10.4,29.4,.293,,.738,15.4,90.0,.288
2,2,2019-10-27,@,OKC,L,92,120,89.7,117.0,102.6,.337,.359,.435,43.8,56.7,12.7,4.3,,.353,11.7,22.2,.293,,.660,20.8,77.1,.218
3,3,2019-10-28,@,NOP,W,134,123,119.5,109.7,112.1,.231,.337,.585,59.8,72.5,7.1,3.6,,.558,13.6,38.8,.173,,.539,11.7,79.2,.117
4,4,2019-10-30,,PHO,L,110,121,104.2,114.6,105.6,.439,.341,.562,48.9,66.7,7.6,10.0,,.488,15.5,17.9,.366,,.536,13.2,73.5,.188
5,5,2019-11-01,,SAS,L,110,127,113.4,130.9,97.0,.250,.333,.590,42.9,64.1,4.1,3.4,,.542,10.6,16.3,.226,,.543,9.4,66.7,.280
6,6,2019-11-02,,CHO,L,87,93,94.7,101.2,91.9,.169,.364,.526,45.5,67.6,5.4,8.9,,.500,17.9,13.5,.130,,.453,11.2,68.6,.188
7,7,2019-11-04,,POR,W,127,118,128.0,118.9,99.2,.419,.302,.624,51.6,66.7,4.0,6.2,,.547,8.9,22.2,.384,,.510,5.1,70.9,.105
8,8,2019-11-06,@,HOU,L,112,129,110.2,127.0,101.6,.292,.344,.517,50.5,57.9,6.9,1.9,,.464,8.5,29.1,.240,,.603,10.2,76.1,.124
9,9,2019-11-08,@,MIN,L,119,125,102.1,107.3,105.5,.233,.340,.524,45.4,41.9,10.3,12.0,,.466,15.0,25.0,.223,,.473,12.7,64.3,.180
10,10,2019-11-09,@,OKC,L,108,114,110.1,116.2,98.1,.200,.259,.584,44.7,52.4,9.2,12.2,,.535,14.0,14.6,.200,,.633,17.2,80.0,.177
11,11,2019-11-11,,UTA,L,108,122,107.5,121.4,100.5,.149,.330,.539,50.6,51.1,8.0,4.3,,.532,9.1,17.4,.085,,.593,11.2,87.8,.321
12,12,2019-11-13,@,LAL,L,94,120,93.8,119.8,100.2,.191,.393,.487,39.3,80.6,8.0,10.1,,.455,15.0,20.8,.146,,.590,16.4,63.9,.169
13,13,2019-11-15,,BOS,L,100,105,97.9,102.8,102.1,.415,.341,.516,53.9,50.0,7.8,6.9,,.445,16.4,25.0,.329,,.478,12.2,79.6,.198
14,14,2019-11-17,@,NOP,L,100,108,102.4,110.6,97.6,.253,.275,.494,47.3,62.2,7.2,7.0,,.445,9.0,19.6,.209,,.517,11.7,75.6,.180
15,15,2019-11-19,@,MEM,W,114,95,114.8,95.7,99.3,.244,.322,.572,58.0,76.7,5.0,15.9,,.528,12.3,26.8,.211,,.460,11.1,85.1,.159
16,16,2019-11-20,@,DAL,L,94,142,94.6,142.9,99.3,.278,.300,.465,40.5,51.4,7.0,9.6,,.433,8.2,17.6,.178,,.689,9.9,75.8,.200
17,17,2019-11-22,@,UTA,L,109,113,109.6,113.6,99.4,.128,.298,.549,43.5,65.1,11.1,5.7,,.521,7.5,13.0,.117,,.588,15.6,79.5,.153
18,18,2019-11-25,,OKC,L,97,100,102.3,105.5,94.8,.180,.225,.505,48.8,73.0,10.5,13.2,,.466,11.1,20.9,.157,,.535,14.3,78.0,.106
19,19,2019-11-27,,CHI,W,104,90,106.8,92.5,97.3,.321,.358,.563,56.3,83.8,12.3,15.0,,.525,17.8,31.7,.235,,.438,14.9,74.5,.135
20,20,2019-11-29,@,MIA,L,105,122,108.7,126.3,96.6,.519,.364,.555,38.8,63.3,4.1,5.3,,.455,8.7,11.4,.455,,.616,13.7,72.2,.256
21,21,2019-12-01,@,ORL,L,96,100,103.4,107.7,92.9,.253,.253,.475,48.9,58.3,6.5,9.3,,.429,9.0,29.4,.198,,.489,11.0,72.1,.172
22,22,2019-12-02,@,ATL,L,79,104,85.9,113.1,92.0,.145,.205,.447,54.8,51.5,12.0,13.3,,.416,20.7,40.0,.120,,.506,12.8,71.8,.157
23,23,2019-12-04,@,CHO,L,91,106,99.4,115.8,91.6,.192,.295,.538,45.7,50.0,7.6,7.7,,.519,15.9,15.4,.128,,.580,12.6,73.8,.057
24,24,2019-12-06,@,CHI,W,100,98,108.6,106.4,92.1,.310,.338,.620,51.3,63.2,9.8,8.5,,.599,19.1,18.2,.211,,.540,13.4,76.7,.034
