Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-24,,MIL,L,111,117,33,90,.367,16,48,.333,29,39,.744,10,57,25,6,6,14,25,,46,99,.465,16,46,.348,9,18,.500,6,53,31,7,10,11,27
2,2,2019-10-26,,NOP,W,126,123,43,94,.457,13,45,.289,27,30,.900,9,45,27,7,4,19,22,,46,100,.460,18,50,.360,13,16,.813,9,42,27,9,2,17,30
3,3,2019-10-28,,OKC,W,116,112,39,90,.433,10,44,.227,28,33,.848,9,40,21,6,6,14,24,,41,94,.436,13,35,.371,17,24,.708,16,52,22,7,3,13,27
4,4,2019-10-30,@,WAS,W,159,158,55,103,.534,23,54,.426,26,33,.788,19,44,34,10,5,13,24,,57,91,.626,20,36,.556,24,29,.828,11,40,31,6,4,19,27
5,5,2019-11-01,@,BRK,L,116,123,41,99,.414,12,48,.250,22,27,.815,9,40,21,13,4,12,21,,42,85,.494,19,32,.594,20,28,.714,10,55,26,8,7,20,21
6,6,2019-11-03,@,MIA,L,100,129,31,79,.392,14,48,.292,24,31,.774,4,38,19,6,5,22,24,,47,89,.528,18,41,.439,17,22,.773,5,46,38,14,7,15,21
7,7,2019-11-04,@,MEM,W,107,100,35,93,.376,17,50,.340,20,29,.690,14,51,20,6,5,18,21,,40,94,.426,3,25,.120,17,21,.810,13,51,19,13,7,14,21
8,8,2019-11-06,,GSW,W,129,112,48,97,.495,21,45,.467,12,19,.632,11,50,31,7,9,12,20,,38,96,.396,13,33,.394,23,28,.821,16,51,22,7,1,10,12
9,9,2019-11-09,@,CHI,W,117,94,39,83,.470,19,44,.432,20,28,.714,9,55,18,12,7,22,21,,37,98,.378,4,32,.125,16,18,.889,11,46,21,14,5,15,22
10,10,2019-11-11,@,NOP,W,122,116,44,85,.518,12,41,.293,22,32,.688,7,47,16,9,6,17,22,,41,95,.432,14,45,.311,20,27,.741,12,46,26,8,3,16,23
11,11,2019-11-13,,LAC,W,102,93,33,86,.384,14,42,.333,22,27,.815,9,53,12,7,6,10,17,,38,98,.388,10,33,.303,7,14,.500,11,53,17,3,3,13,21
12,12,2019-11-15,,IND,W,111,102,36,89,.404,14,46,.304,25,29,.862,10,44,12,11,3,8,23,,37,82,.451,8,33,.242,20,26,.769,8,42,24,2,2,16,25
13,13,2019-11-16,@,MIN,W,125,105,43,94,.457,19,49,.388,20,22,.909,14,42,15,7,3,12,18,,38,84,.452,12,38,.316,17,23,.739,13,46,23,7,5,18,20
14,14,2019-11-18,,POR,W,132,108,47,100,.470,17,45,.378,21,26,.808,17,58,24,9,10,16,21,,40,96,.417,11,36,.306,17,23,.739,12,44,28,7,5,17,21
15,15,2019-11-20,@,DEN,L,95,105,32,76,.421,12,38,.316,19,25,.760,9,43,19,9,2,20,22,,44,94,.468,9,27,.333,8,15,.533,15,48,29,13,4,14,21
16,16,2019-11-22,@,LAC,L,119,122,39,84,.464,15,43,.349,26,38,.684,11,43,22,11,2,15,27,,45,87,.517,13,33,.394,19,24,.792,10,47,27,9,4,19,32
17,17,2019-11-24,,DAL,L,123,137,45,98,.459,10,44,.227,23,31,.742,15,54,26,5,2,11,26,,49,102,.480,17,44,.386,22,28,.786,12,46,28,9,5,12,22
18,18,2019-11-27,,MIA,W,117,108,38,83,.458,15,44,.341,26,33,.788,9,43,19,11,2,15,22,,37,80,.463,14,37,.378,20,27,.741,8,41,22,8,3,18,24
19,19,2019-11-30,,ATL,W,158,111,52,89,.584,25,51,.490,29,34,.853,13,52,30,9,2,15,23,,38,89,.427,15,46,.326,20,25,.800,8,29,26,5,2,13,23
20,20,2019-12-03,@,SAS,L,133,135,42,111,.378,15,51,.294,34,36,.944,18,60,22,11,7,17,30,,50,106,.472,13,30,.433,22,32,.688,12,56,35,10,8,20,27
21,21,2019-12-05,@,TOR,W,119,109,40,98,.408,22,55,.400,17,19,.895,20,54,29,11,2,22,24,,38,88,.432,12,39,.308,21,24,.875,12,45,27,14,5,17,21
22,22,2019-12-07,,PHO,W,115,109,41,91,.451,11,40,.275,22,30,.733,10,51,21,10,7,15,28,,40,96,.417,11,35,.314,18,28,.643,13,51,29,4,3,15,25
23,23,2019-12-09,,SAC,L,118,119,41,84,.488,17,50,.340,19,23,.826,11,51,25,4,6,19,20,,40,88,.455,20,45,.444,19,22,.864,9,37,24,14,5,9,17
24,24,2019-12-11,@,CLE,W,116,110,43,87,.494,17,42,.405,13,13,1.000,11,36,18,10,6,13,14,,46,89,.517,13,32,.406,5,8,.625,9,36,29,8,4,15,15
25,25,2019-12-13,@,ORL,W,130,107,48,86,.558,22,39,.564,12,13,.923,7,42,21,5,7,9,20,,40,91,.440,15,37,.405,12,16,.750,13,37,24,3,6,6,15
26,26,2019-12-14,,DET,L,107,115,41,102,.402,13,45,.289,12,18,.667,11,46,18,9,8,11,19,,41,92,.446,12,37,.324,21,25,.840,11,55,27,6,6,14,15
27,27,2019-12-16,,SAS,W,109,107,40,98,.408,11,43,.256,18,27,.667,14,58,20,9,6,12,19,,39,91,.429,12,33,.364,17,20,.850,8,53,23,5,4,18,22
28,28,2019-12-19,@,LAC,W,122,117,43,86,.500,14,37,.378,22,29,.759,10,43,23,9,4,18,20,,43,86,.500,16,37,.432,15,19,.789,7,38,23,10,7,18,24
29,29,2019-12-21,@,PHO,W,139,125,51,87,.586,19,41,.463,18,23,.783,5,37,23,4,5,10,23,,47,91,.516,8,28,.286,23,30,.767,10,41,26,5,1,8,18
30,30,2019-12-23,@,SAC,W,113,104,39,87,.448,15,39,.385,20,23,.870,6,39,18,10,3,11,22,,41,87,.471,7,30,.233,15,23,.652,11,49,20,4,4,17,24
31,31,2019-12-25,@,GSW,L,104,116,37,100,.370,16,51,.314,14,16,.875,14,49,19,8,3,12,25,,41,87,.471,9,28,.321,25,28,.893,11,54,27,7,8,16,18
32,32,2019-12-28,,BRK,W,108,98,44,101,.436,13,42,.310,7,16,.438,16,54,16,7,6,14,15,,37,92,.402,11,39,.282,13,21,.619,9,47,24,7,5,15,15
33,33,2019-12-29,@,NOP,L,112,127,42,81,.519,15,39,.385,13,20,.650,8,41,29,5,3,17,16,,50,102,.490,18,44,.409,9,13,.692,14,46,32,9,4,9,17
34,34,2019-12-31,,DEN,W,130,104,46,87,.529,16,34,.471,22,31,.710,13,43,20,6,7,15,17,,45,97,.464,8,25,.320,6,9,.667,14,39,25,7,5,16,22
35,35,2020-01-03,,PHI,W,118,108,41,86,.477,12,32,.375,24,32,.750,8,46,22,6,3,11,24,,42,92,.457,6,27,.222,18,25,.720,10,44,32,7,6,11,22
36,36,2020-01-08,@,ATL,W,122,115,39,92,.424,13,45,.289,31,41,.756,16,59,22,7,7,13,21,,39,106,.368,13,44,.295,24,27,.889,16,54,20,6,8,11,29
37,37,2020-01-09,@,OKC,L,92,113,34,89,.382,11,40,.275,13,14,.929,8,39,16,4,3,14,21,,43,87,.494,11,32,.344,16,20,.800,9,52,22,8,2,13,13
38,38,2020-01-11,,MIN,W,139,109,49,95,.516,18,45,.400,23,29,.793,12,58,29,9,6,18,24,,36,95,.379,13,48,.271,24,36,.667,13,44,28,12,4,18,18
39,39,2020-01-14,@,MEM,L,110,121,37,86,.430,14,45,.311,22,24,.917,9,41,18,4,2,15,23,,46,91,.505,13,37,.351,16,19,.842,7,42,29,6,9,7,19
40,40,2020-01-15,,POR,L,107,117,38,96,.396,16,49,.327,15,23,.652,12,50,24,4,4,12,22,,41,95,.432,11,36,.306,24,29,.828,12,58,22,6,4,7,19
41,41,2020-01-18,,LAL,L,115,124,40,90,.444,12,37,.324,23,29,.793,11,46,20,8,4,20,26,,45,93,.484,11,33,.333,23,32,.719,15,49,25,13,9,17,27
42,42,2020-01-20,,OKC,L,107,112,43,97,.443,9,45,.200,12,17,.706,9,43,21,6,7,11,23,,40,92,.435,12,32,.375,20,26,.769,7,47,14,8,6,12,18
43,43,2020-01-22,,DEN,W,121,105,42,89,.472,13,29,.448,24,28,.857,18,53,26,10,7,17,16,,42,92,.457,10,28,.357,11,15,.733,13,40,25,12,6,15,21
44,44,2020-01-24,@,MIN,W,131,124,47,91,.516,11,32,.344,26,31,.839,5,35,24,11,9,11,18,,48,98,.490,11,32,.344,17,20,.850,13,51,28,8,8,17,26
45,45,2020-01-26,@,DEN,L,110,117,40,88,.455,11,33,.333,19,27,.704,15,44,19,6,7,16,21,,44,93,.473,11,28,.393,18,20,.900,11,42,28,10,3,14,23
46,46,2020-01-27,@,UTA,W,126,117,38,81,.469,15,40,.375,35,49,.714,6,40,14,11,4,15,25,,43,85,.506,12,42,.286,19,26,.731,2,38,24,7,3,17,33
47,47,2020-01-29,@,POR,L,112,125,40,94,.426,17,47,.362,15,18,.833,9,39,21,8,5,15,23,,46,89,.517,13,36,.361,20,27,.741,10,50,24,8,8,18,20
48,48,2020-01-31,,DAL,W,128,121,45,98,.459,21,45,.467,17,20,.850,7,37,25,11,5,6,20,,43,90,.478,14,36,.389,21,27,.778,14,52,29,2,9,17,18
49,49,2020-02-02,,NOP,W,117,109,41,105,.390,16,51,.314,19,22,.864,11,43,22,14,3,7,18,,42,94,.447,10,33,.303,15,20,.750,16,63,21,6,6,21,16
50,50,2020-02-04,,CHO,W,125,110,43,97,.443,20,60,.333,19,23,.826,7,41,25,11,5,4,19,,39,83,.470,13,33,.394,19,24,.792,12,53,22,2,2,17,18
51,51,2020-02-06,@,LAL,W,121,111,43,85,.506,19,42,.452,16,18,.889,6,37,20,8,4,16,22,,45,91,.495,9,31,.290,12,16,.750,6,38,33,10,4,15,18
52,52,2020-02-07,@,PHO,L,91,127,29,85,.341,11,48,.229,22,26,.846,8,29,16,8,5,15,21,,43,77,.558,15,31,.484,26,27,.963,10,51,29,10,9,23,15
53,53,2020-02-09,,UTA,L,113,114,44,95,.463,15,42,.357,10,14,.714,7,36,20,10,5,6,19,,42,86,.488,15,38,.395,15,18,.833,10,48,25,2,4,15,14
54,54,2020-02-11,,BOS,W,116,105,33,77,.429,13,45,.289,37,42,.881,5,45,17,9,6,14,21,,37,85,.435,11,32,.344,20,25,.800,10,48,24,11,4,18,26
55,55,2020-02-20,@,GSW,W,135,105,45,85,.529,25,49,.510,20,22,.909,8,36,31,14,7,15,15,,44,89,.494,7,33,.212,10,12,.833,13,40,26,11,7,21,16
56,56,2020-02-22,@,UTA,W,120,110,45,92,.489,20,48,.417,10,14,.714,6,42,20,9,5,10,25,,42,90,.467,7,31,.226,19,24,.792,6,46,18,1,2,13,14
57,57,2020-02-24,,NYK,W,123,112,43,86,.500,16,48,.333,21,31,.677,5,38,20,11,7,13,22,,40,91,.440,11,29,.379,21,30,.700,16,54,20,12,8,17,21
58,58,2020-02-26,,MEM,W,140,112,52,93,.559,23,50,.460,13,15,.867,9,44,22,8,7,18,25,,43,108,.398,13,39,.333,13,21,.619,22,49,28,9,3,14,16
59,59,2020-02-29,@,BOS,W,111,110,41,98,.418,15,55,.273,14,18,.778,12,53,17,10,8,16,20,,39,100,.390,13,42,.310,19,25,.760,14,54,22,11,6,14,18
60,60,2020-03-02,@,NYK,L,123,125,39,94,.415,20,56,.357,25,27,.926,8,34,25,11,5,12,20,,47,97,.485,12,30,.400,19,30,.633,20,65,26,6,7,17,19
61,61,2020-03-05,,LAC,L,105,120,35,97,.361,7,42,.167,28,36,.778,15,51,19,6,5,10,25,,39,84,.464,13,40,.325,29,39,.744,9,57,22,5,6,14,25
62,62,2020-03-07,@,CHO,L,99,108,35,76,.461,15,45,.333,14,20,.700,13,42,22,9,3,20,25,,37,70,.529,15,32,.469,19,25,.760,6,30,29,7,1,17,15
63,63,2020-03-08,,ORL,L,106,126,39,88,.443,9,32,.281,19,25,.760,11,38,21,10,7,18,23,,44,91,.484,13,29,.448,25,31,.806,13,49,21,11,4,14,17
64,64,2020-03-10,,MIN,W,117,111,41,80,.513,15,38,.395,20,26,.769,5,33,24,9,5,16,20,,40,83,.482,14,35,.400,17,23,.739,8,41,21,9,0,18,20
