Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-24,,MIL,L,111,117,101.1,106.5,109.8,.433,.533,.518,51.8,75.8,5.5,11.3,,.456,11.6,17.5,.322,,.545,9.3,88.7,.091
2,2,2019-10-26,,NOP,W,126,123,111.9,109.3,112.6,.319,.479,.588,51.7,62.8,6.2,8.0,,.527,15.1,21.4,.287,,.550,13.7,80.0,.130
3,3,2019-10-28,,OKC,W,116,112,114.0,110.0,101.8,.367,.489,.555,43.5,53.8,5.9,10.2,,.489,11.8,20.0,.311,,.505,11.1,66.0,.181
4,4,2019-10-30,@,WAS,W,159,158,145.0,144.1,109.7,.320,.524,.676,52.4,61.8,9.1,9.1,,.646,10.0,39.6,.252,,.736,15.5,69.4,.264
5,5,2019-11-01,@,BRK,L,116,123,107.2,113.7,108.2,.273,.485,.523,42.1,51.2,12.0,7.5,,.475,9.8,16.7,.222,,.606,17.0,75.6,.235
6,6,2019-11-03,@,MIA,L,100,129,92.6,119.5,107.9,.392,.608,.540,45.2,61.3,5.6,10.4,,.481,19.2,8.9,.304,,.629,13.2,87.2,.191
7,7,2019-11-04,@,MEM,W,107,100,103.2,96.5,103.6,.312,.538,.506,50.0,57.1,5.8,7.2,,.468,14.5,26.9,.215,,.441,11.9,74.0,.181
8,8,2019-11-06,,GSW,W,129,112,127.0,110.2,101.6,.196,.464,.612,49.5,64.6,6.9,14.3,,.603,10.2,23.9,.124,,.464,8.5,70.9,.240
9,9,2019-11-09,@,CHI,W,117,94,109.3,87.8,107.1,.337,.530,.614,54.5,46.2,11.2,10.6,,.584,18.8,20.5,.241,,.398,12.4,80.7,.163
10,10,2019-11-11,@,NOP,W,122,116,113.1,107.5,107.9,.376,.482,.616,50.5,36.4,8.3,12.0,,.588,14.6,17.1,.259,,.505,13.0,76.9,.211
11,11,2019-11-13,,LAC,W,102,93,101.7,92.7,100.3,.314,.488,.521,50.0,36.4,7.0,9.2,,.465,9.3,17.6,.256,,.439,11.1,80.0,.071
12,12,2019-11-15,,IND,W,111,102,113.9,104.6,97.5,.326,.517,.545,51.2,33.3,11.3,6.1,,.483,7.3,22.7,.281,,.500,14.6,81.0,.244
13,13,2019-11-16,@,MIN,W,125,105,128.8,108.2,97.1,.234,.521,.603,47.7,34.9,7.2,6.5,,.559,10.4,29.8,.213,,.524,16.1,68.3,.202
14,14,2019-11-18,,POR,W,132,108,122.6,100.3,107.7,.260,.450,.592,56.9,51.1,8.4,16.7,,.555,12.6,34.7,.210,,.474,13.8,77.4,.177
15,15,2019-11-20,@,DEN,L,95,105,98.2,108.5,96.8,.329,.500,.546,47.3,59.4,9.3,3.0,,.500,18.7,21.4,.250,,.516,12.2,69.4,.085
16,16,2019-11-22,@,LAC,L,119,122,114.4,117.3,104.0,.452,.512,.591,47.8,56.4,10.6,3.7,,.554,13.0,22.9,.310,,.592,16.3,76.2,.218
17,17,2019-11-24,,DAL,L,123,137,113.9,126.9,107.9,.316,.449,.551,54.0,57.8,4.6,3.4,,.510,9.0,30.6,.235,,.564,9.5,76.5,.216
18,18,2019-11-27,,MIA,W,117,108,116.5,107.5,100.5,.398,.530,.600,51.2,50.0,10.9,4.7,,.548,13.3,21.4,.313,,.550,16.4,81.0,.250
19,19,2019-11-30,,ATL,W,158,111,154.0,108.2,102.6,.382,.573,.760,64.2,57.7,8.8,4.7,,.725,12.6,38.2,.326,,.511,11.5,83.0,.225
20,20,2019-12-03,@,SAS,L,133,135,107.9,109.6,102.0,.324,.459,.524,51.7,52.4,8.9,9.2,,.446,11.8,29.0,.306,,.533,14.3,77.8,.208
21,21,2019-12-05,@,TOR,W,119,109,116.2,106.4,102.4,.194,.561,.559,54.5,72.5,10.7,4.1,,.520,17.1,37.7,.173,,.500,14.7,73.9,.239
22,22,2019-12-07,,PHO,W,115,109,107.2,101.6,107.3,.330,.440,.552,50.0,51.2,9.3,11.5,,.511,12.6,20.8,.242,,.474,12.2,75.9,.188
23,23,2019-12-09,,SAC,L,118,119,120.7,121.7,97.8,.274,.595,.627,58.0,61.0,4.1,14.0,,.589,16.8,28.2,.226,,.568,8.4,81.6,.216
24,24,2019-12-11,@,CLE,W,116,110,124.3,117.9,93.3,.149,.483,.626,50.0,41.9,10.7,10.5,,.592,12.3,28.9,.149,,.590,14.0,73.5,.056
25,25,2019-12-13,@,ORL,W,130,107,144.7,119.1,89.8,.151,.453,.709,53.2,43.8,5.6,13.0,,.686,8.9,22.6,.140,,.522,5.8,72.9,.132
26,26,2019-12-14,,DET,L,107,115,101.9,109.5,105.0,.176,.441,.487,45.5,43.9,8.6,14.5,,.466,9.1,20.0,.118,,.511,12.0,76.1,.228
27,27,2019-12-16,,SAS,W,109,107,101.6,99.8,107.3,.276,.439,.496,52.3,50.0,8.4,10.3,,.464,9.8,23.7,.184,,.495,15.3,84.6,.187
28,28,2019-12-19,@,LAC,W,122,117,117.3,112.5,104.0,.337,.430,.618,53.1,53.5,8.7,8.2,,.581,15.4,24.4,.256,,.593,16.0,82.5,.174
29,29,2019-12-21,@,PHO,W,139,125,138.6,124.6,100.3,.264,.471,.716,47.4,45.1,4.0,7.9,,.695,9.3,13.9,.207,,.560,7.1,76.2,.253
30,30,2019-12-23,@,SAC,W,113,104,112.4,103.4,100.5,.264,.448,.582,44.3,46.2,9.9,5.3,,.534,10.2,13.6,.230,,.511,14.9,75.0,.172
31,31,2019-12-25,@,GSW,L,104,116,101.8,113.6,102.1,.160,.510,.486,47.6,51.4,7.8,5.1,,.450,10.1,24.6,.140,,.523,13.9,76.1,.287
32,32,2019-12-28,,BRK,W,108,98,104.1,94.5,103.7,.158,.416,.500,53.5,36.4,6.7,11.3,,.500,11.5,29.6,.069,,.462,12.9,80.9,.141
33,33,2019-12-29,@,NOP,L,112,127,113.5,128.8,98.6,.247,.481,.624,47.1,69.0,5.1,5.2,,.611,15.9,20.0,.160,,.578,7.7,70.2,.088
34,34,2019-12-31,,DEN,W,130,104,131.1,104.9,99.1,.356,.391,.646,52.4,43.5,6.1,9.7,,.621,13.0,34.2,.253,,.505,13.7,68.2,.062
35,35,2020-01-03,,PHI,W,118,108,116.6,106.7,101.2,.372,.372,.590,51.1,53.7,5.9,4.6,,.547,9.9,19.0,.279,,.489,9.6,79.2,.196
36,36,2020-01-08,@,ATL,W,122,115,114.6,108.0,106.5,.446,.489,.554,52.2,56.4,6.6,11.3,,.495,10.6,29.6,.337,,.429,8.5,72.9,.226
37,37,2020-01-09,@,OKC,L,92,113,93.5,114.9,98.4,.157,.449,.483,42.9,47.1,4.1,5.5,,.444,12.8,15.7,.146,,.557,11.9,77.5,.184
38,38,2020-01-11,,MIN,W,139,109,123.9,97.2,112.2,.305,.474,.645,56.9,59.2,8.0,12.8,,.611,14.3,27.9,.242,,.447,14.0,78.0,.253
39,39,2020-01-14,@,MEM,L,110,121,111.8,122.9,98.4,.279,.523,.570,49.4,48.6,4.1,3.7,,.512,13.4,20.5,.256,,.577,6.6,82.1,.176
40,40,2020-01-15,,POR,L,107,117,104.9,114.7,102.0,.240,.510,.504,46.3,63.2,3.9,6.8,,.479,10.2,20.7,.156,,.489,6.1,76.0,.253
41,41,2020-01-18,,LAL,L,115,124,106.5,114.9,108.0,.322,.411,.560,48.4,50.0,7.4,6.7,,.511,16.3,24.4,.256,,.543,13.7,70.0,.247
42,42,2020-01-20,,OKC,L,107,112,102.3,107.1,104.5,.175,.464,.512,47.8,48.8,5.7,11.7,,.490,9.5,18.4,.124,,.500,10.4,82.9,.217
43,43,2020-01-22,,DEN,W,121,105,123.7,107.4,97.8,.315,.326,.597,57.0,61.9,10.2,10.9,,.545,14.4,40.0,.270,,.511,13.2,72.9,.120
44,44,2020-01-24,@,MIN,W,131,124,121.4,114.9,107.9,.341,.352,.626,40.7,51.1,10.2,13.6,,.577,9.5,11.6,.286,,.546,13.7,69.8,.173
45,45,2020-01-26,@,DEN,L,110,117,110.8,117.8,99.3,.307,.375,.551,51.2,47.5,6.0,10.8,,.517,13.8,32.6,.216,,.532,12.1,72.5,.194
46,46,2020-01-27,@,UTA,W,126,117,115.1,106.9,109.5,.605,.494,.614,51.3,36.8,10.0,9.3,,.562,12.8,14.3,.432,,.576,15.0,94.4,.224
47,47,2020-01-29,@,POR,L,112,125,105.7,118.0,105.9,.191,.500,.549,43.8,52.5,7.6,9.4,,.516,12.8,18.4,.160,,.590,15.1,75.0,.225
48,48,2020-01-31,,DAL,W,128,121,124.9,118.1,102.5,.204,.459,.599,41.6,55.6,10.7,9.3,,.566,5.3,15.6,.173,,.556,14.3,68.2,.233
49,49,2020-02-02,,NOP,W,117,109,110.2,102.7,106.1,.210,.486,.510,40.6,53.7,13.2,4.9,,.467,5.8,19.0,.181,,.500,17.0,66.7,.160
50,50,2020-02-04,,CHO,W,125,110,125.6,110.5,99.5,.237,.619,.583,43.6,58.1,11.1,10.0,,.546,3.6,14.6,.196,,.548,15.4,73.9,.229
51,51,2020-02-06,@,LAL,W,121,111,117.7,108.0,102.8,.212,.494,.651,49.3,46.5,7.8,6.7,,.618,14.7,15.8,.188,,.544,13.3,83.8,.132
52,52,2020-02-07,@,PHO,L,91,127,91.1,127.2,99.8,.306,.565,.472,36.3,55.2,8.0,10.9,,.406,13.5,16.3,.259,,.656,20.6,67.7,.338
53,53,2020-02-09,,UTA,L,113,114,116.4,117.4,97.1,.147,.442,.559,42.9,45.5,10.3,10.4,,.542,5.6,15.6,.105,,.576,13.8,74.4,.174
54,54,2020-02-11,,BOS,W,116,105,113.1,102.4,102.5,.545,.584,.607,48.4,51.5,8.8,11.3,,.513,12.8,11.6,.481,,.500,15.8,80.0,.235
55,55,2020-02-20,@,GSW,W,135,105,136.0,105.8,99.3,.259,.576,.713,47.4,68.9,14.1,12.5,,.676,13.7,22.9,.235,,.534,18.2,68.3,.112
56,56,2020-02-22,@,UTA,W,120,110,116.3,106.6,103.2,.152,.522,.611,47.7,44.4,8.7,8.5,,.598,9.2,13.0,.109,,.506,11.4,85.7,.211
57,57,2020-02-24,,NYK,W,123,112,118.1,107.6,104.1,.360,.558,.617,41.3,46.5,10.6,11.3,,.593,11.5,11.6,.244,,.500,14.0,67.3,.231
58,58,2020-02-26,,MEM,W,140,112,133.6,106.9,104.8,.161,.538,.703,47.3,42.3,7.6,10.1,,.683,15.3,25.0,.140,,.458,10.7,61.4,.120
59,59,2020-02-29,@,BOS,W,111,110,103.5,102.6,97.1,.184,.561,.524,49.5,41.5,9.3,13.8,,.495,13.1,23.1,.143,,.455,11.2,74.5,.190
60,60,2020-03-02,@,NYK,L,123,125,116.8,118.7,105.3,.287,.596,.581,34.3,64.1,10.4,7.5,,.521,10.2,15.1,.266,,.546,13.4,56.5,.196
61,61,2020-03-05,,LAC,L,105,120,100.2,114.5,104.8,.371,.433,.465,47.2,54.3,5.7,11.4,,.397,8.1,23.8,.289,,.542,12.2,80.0,.345
62,62,2020-03-07,@,CHO,L,99,108,110.3,120.3,89.8,.263,.592,.584,58.3,62.9,10.0,7.9,,.559,19.1,35.1,.184,,.636,17.3,82.9,.271
63,63,2020-03-08,,ORL,L,106,126,103.5,123.1,102.4,.284,.364,.535,43.7,53.8,9.8,11.3,,.494,15.4,23.4,.216,,.555,11.8,67.5,.275
64,64,2020-03-10,,MIN,W,117,111,116.5,110.5,100.4,.325,.475,.640,44.6,58.5,9.0,10.4,,.606,14.9,13.2,.250,,.566,16.2,77.8,.205
