Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,DET,L,110,119,109.8,118.8,100.2,.270,.236,.552,44.4,63.4,8.0,11.1,,.506,13.1,22.2,.225,,.596,16.3,72.2,.333
2,2,2019-10-26,@,CLE,L,99,110,99.8,110.9,99.2,.149,.322,.534,45.0,59.0,7.1,6.1,,.506,15.5,15.8,.126,,.569,16.3,71.4,.238
3,3,2019-10-28,@,DET,L,94,96,101.0,103.1,93.1,.138,.223,.471,48.4,61.5,11.8,7.0,,.447,6.6,25.0,.106,,.537,19.0,78.0,.111
4,4,2019-10-30,@,BRK,W,118,108,117.0,107.1,100.9,.208,.271,.563,43.2,55.6,8.9,3.2,,.526,7.9,23.4,.177,,.495,15.4,62.5,.172
5,5,2019-11-01,,CLE,W,102,95,96.1,89.5,106.2,.219,.281,.485,56.3,51.3,7.5,18.2,,.432,11.0,23.6,.198,,.431,14.0,93.8,.230
6,6,2019-11-03,,CHI,W,108,95,104.6,92.0,103.2,.318,.306,.557,53.8,70.0,5.8,18.2,,.518,14.2,21.7,.235,,.482,15.9,86.7,.167
7,7,2019-11-05,@,CHO,L,120,122,113.0,114.9,96.2,.074,.319,.618,53.8,52.9,4.7,12.3,,.606,15.6,20.6,.064,,.534,10.9,78.3,.318
8,8,2019-11-06,,WAS,W,121,106,120.4,105.4,100.5,.277,.319,.574,50.0,79.5,8.0,5.5,,.532,11.0,28.9,.223,,.458,13.4,68.6,.200
9,9,2019-11-08,,DET,W,112,106,117.2,111.0,95.5,.301,.181,.596,52.4,53.5,6.3,15.1,,.542,11.3,25.0,.265,,.529,13.8,77.3,.174
10,10,2019-11-10,@,ORL,W,109,102,119.2,111.5,91.5,.055,.220,.585,53.8,64.6,6.6,5.7,,.577,8.8,25.0,.044,,.545,9.8,82.5,.056
11,11,2019-11-12,,OKC,W,111,85,113.4,86.9,97.9,.138,.245,.557,55.6,45.7,6.1,7.0,,.527,12.3,26.2,.128,,.390,13.9,81.3,.256
12,12,2019-11-15,@,HOU,L,102,111,104.6,113.9,97.5,.317,.402,.546,48.8,64.9,2.1,4.7,,.500,14.6,19.0,.244,,.483,7.3,77.3,.281
13,13,2019-11-16,,MIL,L,83,102,81.7,100.4,101.6,.090,.340,.399,49.5,59.4,7.9,12.3,,.380,11.1,23.0,.070,,.505,12.4,83.3,.052
14,14,2019-11-18,@,BRK,W,115,86,116.2,86.9,99.0,.168,.327,.530,61.2,59.1,5.1,16.0,,.505,8.4,29.4,.129,,.423,8.7,92.3,.179
15,15,2019-11-23,,ORL,W,111,106,113.2,108.1,98.0,.203,.304,.645,56.0,60.5,6.1,9.8,,.608,18.1,21.2,.190,,.538,11.9,83.3,.076
16,16,2019-11-25,,MEM,W,126,114,126.2,114.2,99.9,.106,.351,.640,54.0,56.9,6.0,9.0,,.638,11.7,23.8,.064,,.547,7.3,82.2,.094
17,17,2019-11-27,,UTA,W,121,102,122.3,103.1,99.0,.167,.229,.587,51.2,46.0,8.1,7.8,,.563,10.4,26.8,.135,,.494,14.5,75.6,.241
18,18,2019-11-29,,ATL,W,105,104,97.3,96.4,97.7,.304,.283,.503,46.7,48.7,11.1,10.3,,.457,12.6,19.1,.228,,.483,19.7,76.7,.189
19,19,2019-11-30,@,PHI,L,116,119,116.2,119.2,99.8,.329,.289,.667,49.2,52.4,7.0,5.6,,.625,17.9,9.7,.276,,.565,11.4,87.5,.416
20,20,2019-12-02,@,MEM,W,117,104,118.9,105.7,98.4,.170,.432,.618,53.7,70.5,4.1,3.9,,.591,13.7,21.1,.148,,.483,10.2,81.8,.202
21,21,2019-12-04,@,OKC,W,107,100,120.7,112.8,88.7,.195,.276,.566,51.3,45.2,5.6,1.7,,.534,7.8,27.5,.161,,.542,11.1,77.8,.107
22,22,2019-12-06,@,DET,L,101,108,104.4,111.6,96.8,.241,.289,.550,39.3,63.2,8.3,14.5,,.512,10.7,11.9,.193,,.511,14.7,66.7,.218
23,23,2019-12-07,@,NYK,W,104,103,104.8,103.8,99.2,.153,.329,.573,44.7,63.4,7.1,13.8,,.553,15.0,11.9,.118,,.458,9.5,71.2,.156
24,24,2019-12-09,,LAC,L,99,110,94.1,104.6,105.2,.289,.361,.453,50.0,47.1,6.7,4.6,,.402,10.6,23.7,.216,,.464,8.4,79.2,.206
25,25,2019-12-11,,BOS,W,122,117,119.1,114.3,102.4,.424,.294,.605,45.0,65.9,10.7,7.8,,.541,9.0,12.2,.353,,.575,13.4,79.5,.195
26,26,2019-12-13,@,ATL,W,110,100,104.8,95.3,105.0,.163,.239,.558,47.9,60.9,6.7,0.0,,.538,12.4,13.6,.120,,.447,12.6,76.9,.170
27,27,2019-12-15,,CHO,W,107,85,111.4,88.5,96.1,.227,.398,.553,47.7,75.0,6.2,15.3,,.511,8.5,17.0,.193,,.335,8.6,71.7,.264
28,28,2019-12-17,,LAL,W,105,102,113.8,110.6,92.3,.235,.294,.560,50.6,53.7,9.8,10.0,,.541,11.3,31.7,.153,,.516,11.7,68.2,.088
29,29,2019-12-20,,SAC,W,119,105,128.7,113.5,92.5,.209,.360,.634,48.8,75.6,5.4,11.9,,.605,8.7,20.0,.174,,.505,9.3,71.1,.143
30,30,2019-12-22,@,MIL,L,89,117,87.5,115.0,101.8,.050,.400,.435,44.0,73.0,6.9,8.3,,.430,11.3,18.2,.030,,.495,7.5,70.4,.135
31,31,2019-12-23,,TOR,W,120,115,116.5,111.6,93.3,.211,.442,.578,47.4,75.6,6.8,14.8,,.568,10.4,25.5,.126,,.516,13.3,72.7,.191
32,32,2019-12-27,@,MIA,L,112,113,117.8,118.8,95.1,.133,.344,.588,37.8,61.4,8.4,7.8,,.567,4.0,4.5,.111,,.539,11.8,69.6,.191
33,33,2019-12-28,@,NOP,L,98,120,97.4,119.3,100.6,.341,.329,.501,48.4,51.5,6.0,3.9,,.424,15.5,24.0,.306,,.559,10.5,75.6,.172
34,34,2019-12-31,,PHI,W,115,97,121.1,102.1,95.0,.302,.291,.590,44.7,83.3,3.2,9.7,,.552,5.8,13.2,.233,,.440,10.7,70.2,.187
35,35,2020-01-02,,DEN,L,116,124,126.6,135.4,91.6,.305,.317,.624,42.0,74.4,7.6,5.0,,.598,8.8,22.0,.220,,.575,9.2,62.5,.276
36,36,2020-01-04,@,ATL,L,111,116,113.0,118.1,98.2,.402,.310,.542,49.4,66.7,8.1,8.0,,.471,9.7,26.5,.333,,.573,12.3,86.7,.268
37,37,2020-01-06,@,CHO,W,115,104,125.8,113.7,91.5,.157,.292,.604,53.1,66.0,8.7,9.8,,.584,9.5,28.6,.124,,.519,10.8,79.5,.247
