Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-22,,LAL,W,112,102,117.5,107.0,95.3,.296,.383,.612,52.3,57.1,8.4,9.6,,.586,13.3,25.6,.210,,.512,12.9,79.1,.176
2,2,2019-10-24,@,GSW,W,141,122,133.7,115.7,105.5,.375,.400,.756,48.1,66.0,6.6,8.8,,.738,15.4,10.0,.288,,.470,10.4,70.6,.293
3,3,2019-10-26,@,PHO,L,122,130,116.3,123.9,104.9,.448,.368,.586,45.6,50.0,7.6,9.3,,.523,10.3,20.0,.356,,.599,13.7,77.5,.314
4,4,2019-10-28,,CHO,W,111,96,110.5,95.6,100.4,.253,.398,.602,53.7,57.5,11.0,18.2,,.554,18.5,23.7,.229,,.518,19.1,79.5,.120
5,5,2019-10-30,@,UTA,L,96,110,98.1,112.5,97.8,.146,.280,.550,50.0,48.7,3.1,7.1,,.524,17.9,15.4,.122,,.619,13.9,90.9,.138
6,6,2019-10-31,,SAS,W,103,97,102.4,96.4,100.6,.297,.286,.501,49.0,41.0,8.9,1.7,,.456,9.7,21.6,.220,,.494,17.1,80.0,.225
7,7,2019-11-03,,UTA,W,105,94,110.6,99.0,94.9,.370,.348,.491,59.3,41.7,7.4,12.8,,.429,7.8,36.7,.283,,.462,13.3,85.7,.282
8,8,2019-11-06,,MIL,L,124,129,109.4,113.8,113.3,.367,.316,.545,50.0,51.2,3.5,6.1,,.485,14.3,25.9,.296,,.520,11.7,74.1,.276
9,9,2019-11-07,,POR,W,107,101,103.3,97.5,103.6,.337,.258,.523,52.8,51.3,5.8,18.5,,.461,14.3,27.7,.281,,.428,10.5,72.1,.115
10,10,2019-11-11,,TOR,W,98,88,97.9,87.9,100.1,.326,.391,.466,63.5,73.5,9.0,12.7,,.413,15.3,37.7,.239,,.465,14.1,90.2,.106
11,11,2019-11-13,@,HOU,L,93,102,92.7,101.7,100.3,.143,.337,.446,50.0,44.7,3.0,6.8,,.439,11.1,20.0,.071,,.465,9.3,82.4,.256
12,12,2019-11-14,@,NOP,L,127,132,121.1,125.9,104.8,.369,.286,.650,42.0,60.9,5.7,9.4,,.613,14.1,15.4,.286,,.571,11.2,63.3,.204
13,13,2019-11-16,,ATL,W,150,101,136.9,92.1,109.6,.376,.355,.692,58.2,60.0,9.1,18.2,,.629,14.9,33.3,.355,,.411,15.2,74.5,.300
14,14,2019-11-18,,OKC,W,90,88,95.8,93.6,94.0,.161,.414,.483,52.1,65.7,7.4,10.4,,.460,15.4,26.5,.115,,.420,16.3,80.0,.333
15,15,2019-11-20,,BOS,W,107,104,101.3,98.5,95.6,.172,.484,.535,50.0,66.7,11.4,15.3,,.511,18.7,28.6,.129,,.452,13.4,68.4,.096
16,16,2019-11-22,,HOU,W,122,119,117.3,114.4,104.0,.276,.379,.625,52.2,60.0,8.7,9.8,,.592,16.3,23.8,.218,,.554,13.0,77.1,.310
17,17,2019-11-24,,NOP,W,134,109,134.2,109.2,99.8,.337,.439,.595,55.4,58.7,4.0,8.8,,.551,5.1,32.7,.265,,.505,7.8,76.9,.102
18,18,2019-11-26,@,DAL,W,114,99,110.0,95.5,103.7,.309,.340,.517,54.9,53.7,11.6,7.3,,.479,11.3,31.5,.216,,.449,17.5,81.3,.354
19,19,2019-11-27,@,MEM,W,121,119,114.3,112.4,105.9,.263,.432,.571,47.3,68.2,10.4,9.4,,.537,12.4,27.1,.200,,.527,16.2,69.8,.239
20,20,2019-11-29,@,SAS,L,97,107,97.9,108.0,99.1,.141,.359,.496,50.0,63.9,6.1,8.8,,.457,12.5,18.4,.141,,.505,8.3,83.0,.140
21,21,2019-12-01,,WAS,W,150,125,131.1,109.3,114.4,.426,.340,.672,54.7,42.3,7.0,6.9,,.628,12.5,24.4,.340,,.515,10.9,77.8,.196
22,22,2019-12-03,,POR,W,117,97,118.1,97.9,99.1,.266,.362,.557,50.0,58.1,7.1,4.7,,.548,8.7,22.9,.149,,.467,11.8,76.0,.132
23,23,2019-12-06,@,MIL,L,91,119,86.4,112.9,105.4,.202,.340,.445,47.5,54.5,8.5,6.9,,.394,17.0,23.1,.181,,.543,12.7,73.5,.181
24,24,2019-12-08,@,WAS,W,135,119,129.1,113.8,104.6,.281,.417,.626,54.2,54.0,7.7,7.3,,.599,8.5,23.1,.208,,.534,11.4,81.8,.284
25,25,2019-12-09,@,IND,W,110,99,104.6,94.1,105.2,.278,.330,.505,50.0,47.5,6.7,11.3,,.464,8.4,20.8,.206,,.402,10.6,76.3,.216
26,26,2019-12-11,@,TOR,W,112,92,112.3,92.2,99.8,.314,.465,.572,51.5,76.3,8.0,9.6,,.512,15.5,27.3,.279,,.398,15.4,71.7,.250
27,27,2019-12-13,@,MIN,W,124,117,115.4,108.9,107.4,.494,.316,.645,53.6,41.0,4.7,4.5,,.563,16.5,20.0,.443,,.506,15.1,84.1,.365
28,28,2019-12-14,@,CHI,L,106,109,107.6,110.6,98.5,.450,.275,.553,44.4,57.1,9.1,7.4,,.500,13.5,17.4,.325,,.553,15.5,72.7,.176
29,29,2019-12-17,,PHO,W,120,99,113.5,93.7,105.7,.247,.360,.608,46.8,51.1,13.2,6.0,,.584,13.2,15.0,.180,,.451,15.2,70.4,.069
30,30,2019-12-19,,HOU,L,117,122,112.5,117.3,104.0,.221,.430,.620,46.9,53.5,9.6,14.3,,.593,16.0,17.5,.174,,.581,15.4,75.6,.256
31,31,2019-12-21,@,SAS,W,134,109,129.9,105.7,103.1,.192,.364,.624,54.4,59.3,10.7,3.7,,.606,9.3,28.9,.141,,.573,16.6,88.2,.183
32,32,2019-12-22,@,OKC,L,112,118,113.2,119.2,99.0,.279,.314,.580,46.2,55.0,7.1,2.9,,.529,13.4,23.3,.244,,.521,10.2,66.7,.175
33,33,2019-12-25,@,LAL,W,111,106,110.2,105.3,100.7,.376,.294,.560,54.3,61.5,6.0,11.8,,.512,13.9,30.2,.282,,.469,11.0,75.5,.167
34,34,2019-12-28,,UTA,L,107,120,111.3,124.8,96.1,.284,.421,.501,49.5,62.9,9.4,7.8,,.432,6.1,28.1,.263,,.622,11.4,83.3,.151
35,35,2019-12-31,@,SAC,W,105,87,115.9,96.0,90.6,.250,.409,.537,55.4,58.3,9.9,3.8,,.477,10.1,31.8,.239,,.463,14.5,77.1,.163
36,36,2020-01-02,,DET,W,126,112,120.1,106.8,104.9,.228,.304,.622,53.1,58.0,5.7,18.0,,.603,12.9,25.0,.163,,.463,9.1,76.9,.266
37,37,2020-01-04,,MEM,L,114,140,107.4,131.9,106.1,.218,.297,.515,47.6,44.4,2.8,1.8,,.480,10.5,24.6,.168,,.604,7.7,76.1,.250
38,38,2020-01-05,,NYK,W,135,132,127.4,124.6,105.9,.398,.386,.692,53.2,55.6,3.8,4.9,,.651,16.3,25.6,.325,,.643,13.8,80.0,.286
39,39,2020-01-10,,GSW,W,109,100,107.0,98.1,101.9,.262,.464,.582,54.0,65.9,4.9,12.3,,.554,16.9,21.4,.190,,.427,8.5,77.6,.188
40,40,2020-01-12,@,DEN,L,104,114,107.8,118.2,96.4,.310,.393,.545,48.8,55.3,8.3,9.6,,.500,12.8,22.2,.238,,.552,12.2,78.0,.377
41,41,2020-01-14,,CLE,W,128,103,128.6,103.5,99.5,.223,.404,.620,57.0,59.2,7.0,14.8,,.601,9.6,30.4,.160,,.495,11.8,83.0,.143
42,42,2020-01-16,,ORL,W,122,95,121.0,94.2,100.8,.211,.337,.588,58.4,61.7,4.0,8.0,,.568,8.0,21.7,.147,,.467,8.3,89.1,.098
43,43,2020-01-18,@,NOP,W,133,130,122.3,119.5,108.8,.419,.333,.604,42.9,47.8,11.0,4.4,,.548,9.8,21.7,.333,,.622,17.1,68.4,.267
44,44,2020-01-21,@,DAL,W,110,107,112.1,109.0,98.1,.340,.392,.493,53.8,52.8,9.2,6.3,,.433,8.2,35.1,.268,,.495,10.6,75.5,.187
45,45,2020-01-22,@,ATL,L,95,102,95.6,102.7,99.4,.500,.269,.499,41.7,57.6,5.0,11.9,,.449,12.8,16.7,.321,,.407,11.8,61.7,.186
46,46,2020-01-24,@,MIA,W,122,117,121.4,116.5,100.5,.245,.372,.586,51.6,76.7,5.0,6.1,,.543,7.1,23.4,.213,,.500,7.8,80.4,.258
47,47,2020-01-26,@,ORL,W,112,97,118.1,102.3,94.8,.367,.380,.610,54.6,54.1,2.1,11.1,,.551,15.6,30.0,.316,,.395,5.2,71.9,.232
48,48,2020-01-30,,SAC,L,103,124,105.8,127.4,97.3,.272,.337,.500,45.3,74.3,6.2,12.8,,.451,12.7,23.4,.217,,.619,9.4,71.8,.170
49,49,2020-02-01,,MIN,W,118,106,110.7,99.5,106.5,.184,.347,.557,53.2,44.4,7.5,15.6,,.520,10.9,24.0,.163,,.446,14.5,86.4,.369
50,50,2020-02-03,,SAS,W,108,105,107.5,104.6,100.4,.286,.321,.571,52.6,71.8,3.0,3.4,,.530,11.3,11.1,.226,,.484,5.6,88.5,.137
51,51,2020-02-05,,MIA,W,128,111,129.5,112.3,98.9,.213,.607,.657,52.6,77.8,6.1,9.8,,.640,10.2,18.2,.157,,.516,7.3,81.1,.161
52,52,2020-02-08,@,MIN,L,115,142,110.1,136.0,104.4,.337,.302,.582,48.3,58.5,7.7,9.8,,.529,13.2,17.8,.279,,.684,10.4,79.5,.126
53,53,2020-02-09,@,CLE,W,133,92,131.0,90.6,101.6,.215,.387,.653,53.6,52.8,10.8,9.7,,.634,9.8,25.6,.161,,.405,13.3,72.4,.158
54,54,2020-02-11,@,PHI,L,103,110,105.6,112.8,97.5,.144,.344,.538,45.7,62.5,2.1,8.8,,.522,8.6,11.4,.100,,.505,5.4,77.1,.147
55,55,2020-02-13,@,BOS,L,133,141,107.6,114.1,102.3,.336,.318,.527,51.9,41.3,3.2,16.7,,.468,10.6,24.1,.273,,.524,10.4,85.4,.320
56,56,2020-02-22,,SAC,L,103,112,101.8,110.7,101.2,.333,.345,.516,49.5,58.8,6.9,5.2,,.448,16.0,26.0,.287,,.517,11.5,75.6,.225
57,57,2020-02-24,,MEM,W,124,97,124.6,97.5,99.5,.181,.394,.611,52.6,70.2,7.0,8.1,,.585,10.6,24.4,.149,,.455,11.6,78.0,.180
58,58,2020-02-26,@,PHO,W,102,92,109.3,98.6,93.4,.179,.452,.563,48.9,59.5,11.8,3.8,,.524,14.2,24.4,.167,,.443,14.4,71.4,.172
59,59,2020-02-28,,DEN,W,132,103,138.3,107.9,95.4,.225,.438,.675,54.1,72.9,6.3,7.6,,.640,9.3,29.7,.202,,.500,12.5,72.9,.132
60,60,2020-03-01,,PHI,W,136,130,138.7,132.6,98.1,.539,.316,.723,50.0,55.6,6.1,11.5,,.678,9.6,18.2,.434,,.616,8.0,75.6,.137
61,61,2020-03-03,@,OKC,W,109,94,114.0,98.3,95.6,.310,.429,.571,48.8,50.0,7.3,1.9,,.518,8.6,14.6,.262,,.475,12.3,81.4,.210
62,62,2020-03-05,@,HOU,W,120,105,114.5,100.2,104.8,.464,.476,.593,52.8,56.4,4.8,10.9,,.542,12.2,20.0,.345,,.397,8.1,76.2,.289
63,63,2020-03-08,,LAL,L,103,112,103.6,112.6,99.4,.430,.360,.504,52.1,35.3,5.0,9.6,,.436,12.8,29.4,.326,,.506,10.8,79.1,.276
64,64,2020-03-10,@,GSW,W,131,107,137.2,112.0,95.5,.207,.478,.653,57.3,60.9,5.2,4.9,,.609,9.1,26.2,.207,,.538,9.0,90.0,.278
