Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,MIA,L,101,120,90.2,107.2,112.0,.337,.360,.494,44.0,57.9,8.0,10.4,,.455,19.0,18.4,.225,,.512,17.1,73.8,.388
2,2,2019-10-25,,CHI,L,102,110,98.0,105.7,104.0,.213,.309,.496,55.4,61.5,7.7,11.8,,.468,14.9,29.4,.149,,.495,11.2,82.0,.194
3,3,2019-10-27,,BRK,W,134,133,113.6,112.8,106.8,.243,.320,.588,48.0,66.0,7.6,17.9,,.553,9.5,16.0,.194,,.510,12.7,78.8,.297
4,4,2019-10-29,@,LAL,L,91,120,83.6,110.2,108.9,.242,.358,.433,46.0,64.5,9.2,5.0,,.363,16.7,22.8,.232,,.506,14.9,76.7,.384
5,5,2019-11-02,,PHO,L,105,114,102.4,111.2,102.5,.221,.326,.556,59.0,61.9,8.8,14.8,,.541,17.5,31.7,.140,,.580,15.2,89.2,.136
6,6,2019-11-04,,HOU,L,100,107,96.5,103.2,103.6,.223,.266,.484,50.0,47.5,12.5,16.3,,.441,11.9,26.0,.181,,.468,14.5,73.1,.215
7,7,2019-11-06,,MIN,W,137,121,128.2,113.2,106.9,.341,.261,.677,57.6,68.0,3.7,5.9,,.636,14.4,23.5,.284,,.531,9.3,80.4,.198
8,8,2019-11-08,@,ORL,L,86,118,84.7,116.3,101.5,.151,.337,.469,38.7,71.9,3.0,7.7,,.436,16.4,8.2,.128,,.511,7.9,72.7,.247
9,9,2019-11-09,,DAL,L,122,138,116.3,131.5,104.9,.147,.379,.603,45.3,62.0,9.5,10.9,,.589,12.9,22.2,.105,,.629,11.7,70.7,.165
10,10,2019-11-11,@,SAS,W,113,109,113.9,109.9,99.2,.230,.322,.590,52.8,72.7,7.1,8.3,,.569,10.3,20.5,.161,,.533,11.8,84.4,.144
11,11,2019-11-13,@,CHO,W,119,117,116.4,114.4,102.2,.101,.393,.640,57.0,66.7,8.8,9.8,,.635,19.8,28.9,.067,,.586,13.6,82.9,.172
12,12,2019-11-15,,UTA,W,107,106,105.0,104.0,101.9,.135,.365,.526,50.5,58.1,5.9,9.4,,.500,9.8,20.0,.115,,.454,12.2,80.4,.310
13,13,2019-11-17,,DEN,L,114,131,112.1,128.8,101.7,.286,.429,.603,53.6,74.4,3.9,5.3,,.560,14.5,21.4,.238,,.652,10.8,85.7,.169
14,14,2019-11-19,,GSW,L,95,114,95.7,114.8,99.3,.216,.284,.493,42.0,72.2,6.0,6.6,,.460,11.1,14.9,.159,,.528,12.3,73.2,.211
15,15,2019-11-23,,LAL,L,108,109,108.7,109.8,99.3,.146,.337,.570,54.0,65.1,12.1,6.7,,.562,16.7,29.3,.090,,.530,14.2,76.1,.238
16,16,2019-11-25,@,IND,L,114,126,114.2,126.2,99.9,.135,.302,.560,46.0,65.2,6.0,8.2,,.547,7.3,17.8,.094,,.638,11.7,76.2,.064
17,17,2019-11-27,,LAC,L,119,121,112.4,114.3,105.9,.283,.304,.575,52.7,60.5,8.5,5.6,,.527,16.2,30.2,.239,,.537,12.4,72.9,.200
18,18,2019-11-29,,UTA,L,94,103,99.0,108.5,95.0,.181,.362,.463,51.4,59.5,1.1,13.3,,.447,9.8,26.8,.106,,.463,4.6,78.4,.158
19,19,2019-12-01,@,MIN,W,115,107,110.0,102.4,104.5,.210,.400,.526,48.5,65.9,7.7,6.1,,.490,9.1,21.8,.170,,.453,13.7,79.2,.353
20,20,2019-12-02,,IND,L,104,117,105.7,118.9,98.4,.213,.427,.534,46.3,60.5,5.1,12.0,,.483,10.2,18.2,.202,,.591,13.7,78.9,.148
21,21,2019-12-04,@,CHI,L,99,106,97.0,103.9,102.1,.219,.313,.470,47.9,64.9,13.7,13.6,,.422,10.2,21.6,.188,,.513,17.7,77.8,.351
22,22,2019-12-07,@,UTA,L,112,126,113.0,127.2,99.1,.309,.432,.609,40.6,53.5,15.1,6.5,,.593,13.2,13.5,.198,,.681,20.0,71.9,.213
23,23,2019-12-09,@,GSW,W,110,102,104.0,96.5,105.7,.207,.488,.615,47.7,70.7,12.3,9.1,,.591,16.7,2.7,.159,,.435,12.6,80.4,.226
24,24,2019-12-11,@,PHO,W,115,108,106.5,100.0,108.0,.299,.276,.584,55.6,54.8,7.4,6.8,,.540,15.5,16.3,.241,,.446,10.2,85.7,.269
25,25,2019-12-13,,MIL,L,114,127,105.9,117.9,107.7,.235,.500,.527,45.0,71.1,8.4,8.8,,.490,10.7,19.3,.184,,.569,14.3,79.1,.322
26,26,2019-12-14,,WAS,W,128,111,122.2,105.9,104.8,.286,.321,.677,57.5,66.7,10.5,14.9,,.637,19.6,28.1,.250,,.506,15.4,77.1,.294
27,27,2019-12-16,,MIA,W,118,111,121.6,114.4,97.1,.349,.419,.595,56.3,66.7,4.1,10.5,,.564,13.1,36.4,.244,,.525,12.9,80.6,.321
28,28,2019-12-18,@,OKC,L,122,126,120.0,124.0,101.7,.152,.263,.578,57.3,54.0,4.9,3.3,,.556,11.0,34.1,.121,,.589,10.8,84.2,.321
29,29,2019-12-20,@,CLE,L,107,114,107.9,114.9,99.2,.069,.402,.509,43.4,70.5,9.1,14.5,,.500,6.2,18.5,.049,,.527,12.1,69.2,.185
30,30,2019-12-21,,SAC,W,119,115,118.5,114.5,100.4,.349,.422,.621,46.3,80.0,8.0,9.4,,.572,12.8,19.5,.289,,.485,9.8,66.7,.180
31,31,2019-12-23,,SAS,L,115,145,111.5,140.6,103.1,.167,.385,.558,43.2,62.2,6.8,0.0,,.547,11.2,20.8,.104,,.758,11.2,85.7,.112
32,32,2019-12-26,@,OKC,W,110,97,114.6,101.0,96.0,.131,.298,.619,59.5,56.5,6.2,14.0,,.607,14.4,22.9,.095,,.467,8.4,85.7,.120
33,33,2019-12-28,@,DEN,L,110,119,109.1,118.0,100.8,.298,.357,.579,51.1,78.0,5.0,7.8,,.542,15.2,25.0,.226,,.532,8.7,77.3,.215
34,34,2019-12-29,,CHO,W,117,104,117.8,104.7,99.3,.183,.376,.582,54.8,66.7,5.0,9.1,,.538,12.2,31.1,.183,,.483,12.3,77.1,.244
35,35,2020-01-02,@,SAC,L,123,128,114.6,119.3,107.3,.226,.366,.602,50.6,68.9,3.7,0.0,,.554,14.3,19.0,.215,,.567,10.4,82.9,.289
36,36,2020-01-04,@,LAC,W,140,114,131.9,107.4,106.1,.292,.406,.646,52.4,73.5,7.5,14.1,,.604,7.7,23.9,.250,,.480,10.5,75.4,.168
37,37,2020-01-05,@,PHO,W,121,114,118.2,111.3,102.4,.205,.506,.669,47.7,68.9,3.9,11.6,,.651,15.0,8.1,.157,,.484,8.6,76.5,.232
38,38,2020-01-07,,MIN,W,119,112,115.4,108.6,103.1,.236,.315,.606,52.4,47.8,11.6,14.0,,.562,13.2,23.1,.213,,.528,15.4,77.8,.189
39,39,2020-01-10,,SAS,W,134,121,132.1,119.3,101.4,.160,.380,.626,57.0,75.0,4.9,12.8,,.600,7.0,25.6,.140,,.580,10.2,88.4,.230
40,40,2020-01-12,,GSW,W,122,102,113.6,94.9,107.4,.250,.350,.550,56.1,73.3,15.8,12.1,,.505,12.6,34.0,.210,,.473,17.9,77.8,.163
41,41,2020-01-14,,HOU,W,121,110,122.9,111.8,98.4,.209,.407,.609,50.6,63.0,6.1,22.0,,.577,6.6,17.9,.176,,.512,13.4,79.5,.256
42,42,2020-01-17,,CLE,W,113,109,111.9,108.0,100.9,.225,.315,.578,46.8,71.1,10.9,14.3,,.556,10.9,17.1,.157,,.495,12.7,69.8,.196
43,43,2020-01-20,,NOP,L,116,126,107.5,116.8,107.9,.204,.320,.517,54.3,56.5,7.4,7.5,,.490,11.1,28.3,.146,,.597,14.0,87.8,.239
44,44,2020-01-22,@,BOS,L,95,119,96.5,120.9,98.4,.176,.376,.519,47.6,66.7,7.1,14.0,,.488,14.9,12.5,.141,,.584,8.4,79.5,.169
45,45,2020-01-24,@,DET,W,125,112,127.5,114.2,98.0,.392,.278,.675,57.0,62.8,6.1,6.8,,.614,13.1,22.9,.354,,.489,6.3,80.4,.253
46,46,2020-01-26,,PHO,W,114,109,104.2,99.7,109.4,.310,.226,.597,52.3,56.8,9.1,12.7,,.571,20.8,21.1,.214,,.440,13.7,76.0,.304
47,47,2020-01-28,,DEN,W,104,96,107.3,99.0,97.0,.171,.220,.590,48.2,69.6,12.4,26.8,,.598,15.4,16.2,.073,,.471,16.8,72.9,.174
48,48,2020-01-29,@,NYK,W,127,106,121.9,101.7,104.2,.384,.326,.632,48.9,58.1,6.7,4.8,,.576,9.9,16.7,.326,,.478,13.4,77.1,.209
49,49,2020-01-31,@,NOP,L,111,139,105.2,131.8,105.5,.271,.323,.517,37.4,37.8,9.5,13.1,,.500,9.3,21.2,.156,,.616,15.1,59.0,.232
50,50,2020-02-03,,DET,W,96,82,99.3,84.9,96.6,.133,.189,.504,48.0,64.3,6.2,16.7,,.478,10.4,16.7,.111,,.388,12.1,71.4,.061
51,51,2020-02-05,@,DAL,W,121,107,124.7,110.3,97.0,.225,.281,.619,55.3,57.4,6.2,7.8,,.596,9.3,25.0,.169,,.452,7.9,77.8,.234
52,52,2020-02-07,@,PHI,L,107,119,100.2,111.4,106.8,.333,.226,.502,44.4,65.8,12.2,9.2,,.435,11.6,18.4,.280,,.611,17.2,75.6,.100
53,53,2020-02-09,@,WAS,W,106,99,97.4,91.0,108.8,.245,.314,.469,55.4,44.2,3.7,6.0,,.446,10.3,24.1,.147,,.385,5.8,84.5,.220
54,54,2020-02-12,,POR,W,111,104,111.4,104.3,99.7,.232,.242,.530,52.8,57.8,8.0,15.0,,.505,10.3,30.0,.158,,.438,9.3,72.4,.196
55,55,2020-02-20,@,SAC,L,125,129,120.8,124.6,103.5,.376,.353,.631,65.4,58.1,4.8,11.4,,.576,16.1,31.4,.318,,.620,9.2,93.0,.313
56,56,2020-02-21,@,LAL,L,105,117,101.1,112.7,103.8,.337,.163,.497,50.5,52.4,8.7,1.8,,.484,13.2,30.2,.174,,.529,11.9,73.9,.302
57,57,2020-02-24,@,LAC,L,97,124,97.5,124.6,99.5,.247,.303,.491,47.4,54.1,6.0,12.3,,.455,11.6,22.0,.180,,.585,10.6,75.6,.149
58,58,2020-02-26,@,HOU,L,112,140,106.9,133.6,104.8,.194,.361,.478,52.7,65.1,8.6,7.0,,.458,10.7,38.6,.120,,.683,15.3,75.0,.140
59,59,2020-02-28,,SAC,L,101,104,101.5,104.5,99.5,.220,.330,.506,52.5,69.2,7.0,9.4,,.473,10.7,20.4,.165,,.478,8.2,84.0,.187
60,60,2020-02-29,,LAL,W,105,88,116.7,97.8,90.0,.116,.326,.526,53.1,62.8,11.1,7.7,,.505,6.6,31.9,.095,,.466,13.2,73.5,.080
61,61,2020-03-02,@,ATL,W,127,88,123.6,85.6,102.7,.337,.348,.601,58.3,65.2,11.7,12.5,,.576,11.7,34.1,.228,,.369,13.8,74.2,.152
62,62,2020-03-04,@,BRK,W,118,79,125.8,84.2,93.8,.140,.440,.556,58.4,48.8,8.5,10.4,,.530,9.4,38.3,.120,,.372,11.8,75.9,.133
63,63,2020-03-06,@,DAL,L,96,121,97.7,123.1,98.3,.155,.357,.535,49.5,74.4,7.1,8.3,,.518,17.5,20.5,.107,,.568,8.9,74.5,.137
64,64,2020-03-07,,ATL,W,118,101,115.2,98.6,102.4,.379,.379,.581,55.8,62.8,8.8,13.0,,.563,13.6,31.9,.230,,.405,11.5,75.4,.253
65,65,2020-03-10,,ORL,L,115,120,112.3,117.2,102.4,.500,.382,.620,48.8,63.2,6.8,8.5,,.572,17.7,19.4,.368,,.543,12.9,72.7,.217
