Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,MEM,W,120,101,107.2,90.2,112.0,.459,.212,.587,56.0,45.0,8.0,14.0,,.512,17.1,26.2,.388,,.455,19.0,81.6,.225
2,2,2019-10-26,@,MIL,W,131,126,108.1,104.0,109.8,.356,.436,.561,53.5,71.7,5.8,7.5,,.535,12.0,16.0,.228,,.527,14.1,90.2,.287
3,3,2019-10-27,@,MIN,L,109,116,105.0,111.7,103.9,.176,.424,.595,47.1,59.5,6.7,19.6,,.582,18.7,17.9,.118,,.500,13.2,70.8,.275
4,4,2019-10-29,,ATL,W,112,97,109.6,95.0,102.1,.616,.425,.603,59.8,57.6,10.8,13.6,,.541,21.9,35.1,.452,,.488,17.6,80.0,.193
5,5,2019-10-31,@,ATL,W,106,97,111.2,101.8,95.3,.226,.440,.574,45.1,72.5,12.6,16.7,,.560,12.3,20.9,.143,,.449,13.9,66.7,.205
6,6,2019-11-03,,HOU,W,129,100,119.5,92.6,107.9,.247,.461,.654,54.8,80.9,13.0,22.6,,.629,13.2,12.8,.191,,.481,19.2,91.1,.304
7,7,2019-11-05,@,DEN,L,89,109,90.2,110.5,98.6,.284,.330,.449,48.4,71.9,12.2,7.9,,.415,11.6,25.5,.182,,.576,17.0,77.5,.116
8,8,2019-11-07,@,PHO,W,124,108,125.0,108.9,99.2,.293,.341,.670,50.6,48.9,9.1,9.6,,.640,12.3,14.3,.232,,.506,12.5,78.3,.274
9,9,2019-11-08,@,LAL,L,80,95,84.8,100.7,94.3,.300,.438,.442,43.5,64.3,9.5,3.5,,.388,11.7,17.4,.225,,.494,16.3,74.4,.079
10,10,2019-11-12,,DET,W,117,108,118.8,109.6,98.5,.351,.416,.658,56.8,82.9,6.1,2.7,,.623,17.6,25.0,.273,,.532,14.5,81.0,.321
11,11,2019-11-14,@,CLE,W,108,97,110.1,98.9,98.1,.139,.380,.644,50.0,72.1,10.2,13.2,,.620,17.7,11.8,.127,,.471,16.0,77.1,.200
12,12,2019-11-16,,NOP,W,109,94,114.8,99.0,95.0,.160,.296,.628,59.2,56.8,13.7,6.4,,.599,18.7,27.3,.148,,.549,17.5,83.7,.049
13,13,2019-11-20,,CLE,W,124,100,124.1,100.1,99.9,.397,.474,.677,56.4,61.0,8.0,10.2,,.647,20.1,33.3,.295,,.494,16.8,76.2,.161
14,14,2019-11-22,@,CHI,W,116,108,119.3,111.0,97.3,.354,.481,.635,51.8,84.6,10.3,5.0,,.582,17.2,25.0,.304,,.511,11.6,71.4,.178
15,15,2019-11-23,@,PHI,L,86,113,91.7,120.5,93.7,.360,.320,.495,46.3,40.0,6.4,7.4,,.440,16.4,20.0,.267,,.590,13.4,78.4,.181
16,16,2019-11-25,,CHO,W,117,100,119.4,102.1,98.0,.364,.403,.655,58.3,72.5,9.2,5.6,,.604,16.8,24.2,.312,,.466,11.7,80.4,.218
17,17,2019-11-27,@,HOU,L,108,117,107.5,116.5,100.5,.338,.463,.588,48.8,59.5,8.0,7.7,,.550,16.4,19.0,.250,,.548,13.3,78.6,.313
18,18,2019-11-29,,GSW,W,122,105,126.3,108.7,96.6,.341,.305,.647,61.3,52.3,7.2,6.1,,.616,13.7,27.8,.256,,.455,8.7,88.6,.455
19,19,2019-12-01,@,BRK,W,109,106,111.6,108.5,97.7,.295,.389,.508,51.5,43.2,3.1,4.1,,.453,7.7,29.1,.242,,.516,10.9,79.5,.132
20,20,2019-12-03,@,TOR,W,121,110,113.6,103.3,96.5,.212,.384,.559,53.4,64.4,3.8,14.6,,.530,9.2,20.4,.162,,.445,9.3,83.3,.319
21,21,2019-12-04,@,BOS,L,93,112,101.1,121.7,92.0,.221,.494,.550,46.5,58.8,7.6,5.3,,.532,17.6,18.2,.143,,.544,9.7,76.2,.329
22,22,2019-12-06,,WAS,W,112,103,116.6,107.2,96.1,.279,.326,.580,56.2,66.7,6.2,13.5,,.547,11.1,26.8,.209,,.495,10.2,81.3,.143
23,23,2019-12-08,,CHI,W,110,105,111.2,106.2,89.6,.571,.455,.571,52.4,62.5,9.1,4.5,,.487,15.0,23.3,.455,,.519,13.2,84.6,.275
24,24,2019-12-10,,ATL,W,135,121,122.7,110.0,99.7,.214,.398,.599,58.9,66.0,4.5,7.3,,.583,8.9,21.4,.146,,.579,9.7,91.7,.116
25,25,2019-12-13,,LAL,L,110,113,111.1,114.1,99.0,.329,.388,.565,40.5,61.5,8.1,4.0,,.518,7.6,12.2,.259,,.563,16.4,67.4,.172
26,26,2019-12-14,@,DAL,W,122,118,113.0,109.3,97.8,.374,.440,.576,50.5,69.2,7.4,5.3,,.516,7.0,11.1,.308,,.530,9.2,84.6,.109
27,27,2019-12-16,@,MEM,L,111,118,114.4,121.6,97.1,.383,.296,.586,43.8,59.5,9.3,14.0,,.525,12.9,19.4,.321,,.564,13.1,63.6,.244
28,28,2019-12-18,@,PHI,W,108,104,117.1,112.7,92.3,.235,.365,.576,53.4,65.0,6.5,7.8,,.541,11.3,29.7,.188,,.489,11.7,70.6,.178
29,29,2019-12-20,,NYK,W,129,114,128.6,113.7,100.3,.442,.494,.701,55.4,79.1,6.0,5.0,,.675,15.6,24.3,.325,,.489,6.9,76.4,.234
30,30,2019-12-23,,UTA,W,107,104,108.4,105.4,98.7,.300,.278,.525,55.4,43.2,8.1,5.6,,.461,12.1,27.1,.267,,.500,10.1,81.1,.156
31,31,2019-12-27,,IND,W,113,112,118.8,117.8,95.1,.213,.427,.580,62.2,72.5,3.2,3.4,,.539,11.8,30.4,.191,,.567,4.0,95.5,.111
32,32,2019-12-28,,PHI,W,117,116,114.5,113.5,92.5,.309,.298,.548,47.8,61.9,5.9,6.8,,.500,7.0,17.0,.245,,.528,8.1,81.4,.247
33,33,2019-12-30,@,WAS,L,105,123,109.4,128.1,96.0,.534,.384,.582,52.4,54.5,5.2,2.1,,.521,16.6,24.4,.397,,.613,8.5,79.1,.238
34,34,2020-01-02,,TOR,W,84,76,94.4,85.4,89.0,.136,.457,.489,51.0,69.7,6.7,8.5,,.481,13.2,20.5,.074,,.348,9.4,75.9,.157
35,35,2020-01-03,@,ORL,L,85,105,89.2,110.2,95.3,.288,.463,.472,52.7,53.3,7.3,4.3,,.419,16.6,21.3,.225,,.488,9.6,84.8,.321
36,36,2020-01-05,,POR,W,122,111,128.1,116.5,95.2,.178,.489,.629,54.0,72.3,4.2,10.0,,.622,9.3,25.6,.111,,.534,9.5,81.8,.207
37,37,2020-01-08,@,IND,W,122,108,123.2,109.1,99.0,.309,.469,.663,52.6,65.1,8.1,7.0,,.630,10.7,8.8,.247,,.530,11.2,86.4,.226
38,38,2020-01-10,@,BRK,L,113,117,118.1,122.3,95.7,.247,.341,.600,44.0,59.1,6.3,6.1,,.559,6.9,9.8,.212,,.565,8.2,72.0,.129
39,39,2020-01-12,@,NYK,L,121,124,127.0,130.1,95.3,.359,.449,.670,50.0,57.1,1.0,8.5,,.628,13.4,21.6,.295,,.561,5.5,75.6,.256
