Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-24,@,HOU,W,117,111,106.5,101.1,109.8,.182,.465,.547,48.2,67.4,6.4,23.8,,.545,9.3,11.3,.091,,.456,11.6,82.5,.322
2,2,2019-10-26,,MIA,L,126,131,104.0,108.1,109.8,.372,.574,.576,46.5,53.7,6.6,7.0,,.527,14.1,9.8,.287,,.535,12.0,84.0,.228
3,3,2019-10-28,,CLE,W,129,112,122.9,106.7,104.9,.261,.413,.629,51.0,60.4,8.6,11.5,,.614,10.5,17.4,.174,,.510,9.5,80.8,.100
4,4,2019-10-30,@,BOS,L,105,116,102.6,113.3,102.4,.293,.549,.567,50.0,55.3,2.9,7.8,,.549,13.9,11.1,.183,,.538,8.2,88.9,.185
5,5,2019-11-01,@,ORL,W,123,91,121.1,89.6,101.5,.194,.505,.609,59.2,51.1,10.8,7.4,,.597,11.4,26.8,.129,,.440,14.0,82.5,.121
6,6,2019-11-02,,TOR,W,115,105,116.3,106.2,98.9,.281,.427,.575,54.8,73.2,4.0,14.6,,.534,9.9,22.2,.225,,.494,12.0,85.4,.262
7,7,2019-11-04,@,MIN,W,134,106,120.7,95.5,111.0,.323,.419,.631,54.8,48.0,7.2,10.0,,.613,13.8,24.4,.215,,.422,11.7,78.0,.184
8,8,2019-11-06,@,LAC,W,129,124,113.8,109.4,113.3,.347,.500,.571,50.0,42.9,6.2,16.4,,.520,11.7,25.9,.276,,.485,14.3,74.1,.296
9,9,2019-11-08,@,UTA,L,100,103,97.3,100.3,102.7,.316,.379,.462,49.1,41.2,7.8,8.3,,.411,10.0,26.2,.232,,.494,17.1,77.6,.238
10,10,2019-11-10,@,OKC,W,121,119,112.9,111.0,107.2,.217,.337,.665,57.8,57.4,8.4,8.2,,.633,19.5,14.3,.193,,.588,13.2,89.6,.132
11,11,2019-11-14,,CHI,W,124,115,110.6,102.6,112.1,.534,.375,.570,56.3,57.1,8.0,8.0,,.511,16.8,32.7,.386,,.505,16.1,80.4,.226
12,12,2019-11-16,@,IND,W,102,83,100.4,81.7,101.6,.073,.406,.515,50.5,53.5,5.9,12.1,,.505,12.4,16.7,.052,,.380,11.1,77.0,.070
13,13,2019-11-18,@,CHI,W,115,101,112.7,99.0,102.0,.427,.500,.590,49.0,63.2,11.8,14.3,,.555,13.3,17.8,.293,,.464,11.9,75.5,.113
14,14,2019-11-20,@,ATL,W,135,127,121.6,114.4,111.0,.391,.494,.662,51.7,54.3,5.4,12.3,,.626,15.7,19.0,.299,,.531,10.6,80.9,.260
15,15,2019-11-21,,POR,W,137,129,128.6,121.1,106.5,.245,.406,.583,58.6,64.0,6.6,4.7,,.547,9.3,36.0,.198,,.568,6.8,81.6,.117
16,16,2019-11-23,,DET,W,104,90,101.4,87.8,102.5,.214,.440,.566,55.1,61.0,9.8,14.3,,.565,18.6,20.9,.107,,.462,13.6,87.0,.066
