Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,BRK,W,127,126,109.3,108.5,105.2,.259,.398,.528,52.0,50.0,7.7,6.0,,.486,9.8,24.0,.204,,.550,12.5,80.0,.149
2,2,2019-10-25,@,CHO,W,121,99,116.4,95.3,103.9,.341,.418,.578,55.3,69.8,10.6,10.9,,.538,12.5,28.3,.253,,.512,16.6,81.3,.155
3,3,2019-10-27,,MIA,W,116,109,111.7,105.0,103.9,.363,.495,.550,52.9,61.5,11.6,2.0,,.500,13.2,29.2,.275,,.582,18.7,82.1,.118
4,4,2019-10-30,@,PHI,L,95,117,89.4,110.1,106.2,.346,.432,.509,37.8,37.5,12.2,9.0,,.457,18.4,13.0,.259,,.516,17.4,63.6,.239
5,5,2019-11-02,@,WAS,W,131,109,113.4,94.4,115.5,.181,.415,.645,54.7,64.7,7.8,16.7,,.633,17.1,8.8,.128,,.453,13.7,84.6,.242
6,6,2019-11-04,,MIL,L,106,134,95.5,120.7,111.0,.214,.417,.470,45.2,54.1,10.8,7.4,,.422,11.7,22.0,.184,,.613,13.8,75.6,.215
7,7,2019-11-06,@,MEM,L,121,137,113.2,128.2,106.9,.271,.469,.563,42.4,67.4,8.4,10.8,,.531,9.3,19.6,.198,,.636,14.4,76.5,.284
8,8,2019-11-08,,GSW,W,125,119,107.3,102.1,105.5,.261,.324,.505,54.6,41.7,8.6,14.7,,.473,12.7,35.7,.180,,.466,15.0,75.0,.223
9,9,2019-11-10,,DEN,L,98,100,91.3,93.2,97.2,.340,.464,.439,48.2,64.7,8.4,13.7,,.381,9.7,25.9,.247,,.441,15.6,73.1,.109
10,10,2019-11-11,@,DET,W,120,114,120.3,114.2,99.8,.213,.382,.616,53.6,55.6,7.0,10.9,,.590,14.1,28.9,.169,,.540,14.8,73.9,.230
11,11,2019-11-13,,SAS,W,129,114,127.0,112.3,101.6,.374,.374,.609,53.2,55.6,10.8,5.5,,.555,8.6,27.7,.308,,.506,9.7,78.7,.256
12,12,2019-11-15,,WAS,L,116,137,105.3,124.3,110.2,.326,.416,.570,45.7,61.9,5.4,6.9,,.534,16.4,19.1,.236,,.590,10.5,72.3,.190
13,13,2019-11-16,,HOU,L,105,125,108.2,128.8,97.1,.274,.452,.558,52.3,60.5,7.2,11.1,,.524,16.1,31.7,.202,,.559,10.4,70.2,.213
14,14,2019-11-18,@,UTA,W,112,102,105.2,95.8,106.5,.213,.427,.575,49.0,53.7,5.6,15.4,,.539,13.3,10.9,.180,,.427,11.5,79.3,.208
15,15,2019-11-20,,UTA,L,95,103,99.6,108.0,95.3,.236,.506,.484,50.0,37.1,5.2,17.0,,.472,11.7,24.0,.124,,.488,10.1,75.0,.221
16,16,2019-11-23,,PHO,L,98,100,97.0,99.0,101.0,.187,.462,.498,50.4,68.4,2.0,16.4,,.484,12.4,17.0,.110,,.396,6.1,80.0,.250
17,17,2019-11-25,@,ATL,W,125,113,118.5,107.1,105.5,.400,.389,.591,52.8,65.9,9.5,9.7,,.539,10.9,29.8,.311,,.489,13.9,78.6,.223
18,18,2019-11-27,@,SAS,W,113,101,113.2,101.1,99.9,.318,.471,.583,53.5,75.7,4.0,8.8,,.541,10.2,15.6,.247,,.448,5.4,85.2,.144
19,19,2019-12-01,,MEM,L,107,115,102.4,110.0,104.5,.412,.424,.533,51.5,66.7,6.7,10.0,,.453,13.7,20.8,.353,,.490,9.1,78.2,.170
20,20,2019-12-04,@,DAL,L,114,121,121.5,129.0,93.8,.292,.427,.568,49.4,62.2,5.3,12.7,,.511,10.7,31.9,.258,,.560,7.3,69.0,.196
21,21,2019-12-06,@,OKC,L,127,139,122.1,133.7,94.2,.208,.396,.606,48.0,50.0,7.7,2.9,,.589,11.0,25.0,.146,,.585,8.7,74.3,.409
22,22,2019-12-08,@,LAL,L,125,142,123.4,140.2,101.3,.310,.440,.655,43.1,61.4,4.9,9.5,,.613,13.6,16.2,.262,,.660,8.9,71.4,.191
23,23,2019-12-09,@,PHO,L,109,125,110.2,126.3,98.9,.341,.259,.557,51.7,35.0,6.1,12.7,,.506,14.1,26.8,.271,,.579,8.0,73.9,.158
24,24,2019-12-11,,UTA,L,116,127,121.2,132.7,95.7,.286,.451,.566,48.3,45.0,9.4,6.3,,.522,9.7,30.6,.231,,.663,13.9,71.1,.205
25,25,2019-12-13,,LAC,L,117,124,108.9,115.4,107.4,.435,.482,.578,46.4,44.7,8.4,5.6,,.506,15.1,15.9,.365,,.563,16.5,80.0,.443
26,26,2019-12-18,,NOP,L,99,107,98.9,106.9,100.1,.284,.411,.463,43.9,55.6,9.0,5.7,,.432,8.6,21.4,.179,,.523,15.1,73.8,.198
27,27,2019-12-20,@,DEN,L,100,109,104.7,114.1,95.6,.310,.483,.506,51.1,55.6,8.4,13.1,,.471,12.4,32.0,.207,,.551,13.7,75.0,.124
28,28,2019-12-21,@,POR,L,106,113,104.7,111.6,101.2,.184,.425,.564,46.4,42.1,7.9,13.6,,.523,14.5,17.5,.172,,.495,11.8,72.7,.213
29,29,2019-12-23,@,GSW,L,104,113,100.3,109.0,103.6,.333,.391,.521,42.1,45.7,9.6,12.3,,.466,13.8,17.6,.264,,.506,15.9,70.5,.287
30,30,2019-12-26,@,SAC,W,105,104,93.7,92.8,92.7,.279,.442,.450,49.2,63.9,6.2,7.4,,.394,10.0,21.5,.221,,.388,9.2,76.1,.196
31,31,2019-12-28,,CLE,L,88,94,85.4,91.2,103.1,.204,.398,.434,40.0,51.5,16.5,14.0,,.398,15.1,23.3,.151,,.442,23.2,65.0,.338
32,32,2019-12-30,,BRK,W,122,115,103.5,97.6,106.7,.279,.423,.522,50.8,47.6,10.2,13.8,,.486,10.7,17.7,.202,,.480,12.6,87.5,.202
33,33,2020-01-01,@,MIL,L,104,106,96.8,98.6,107.5,.308,.505,.503,44.4,52.9,6.5,13.8,,.456,9.6,11.1,.231,,.473,13.9,77.8,.181
34,34,2020-01-02,,GSW,W,99,84,105.4,89.5,93.9,.179,.453,.483,54.7,57.9,7.5,12.3,,.468,10.5,32.1,.105,,.448,15.6,83.3,.195
35,35,2020-01-05,@,CLE,W,118,103,119.0,103.8,99.2,.137,.400,.586,49.4,68.1,16.1,13.6,,.568,13.7,30.4,.105,,.524,17.8,70.7,.179
36,36,2020-01-07,@,MEM,L,112,119,108.6,115.4,103.1,.233,.522,.564,47.6,57.5,9.7,1.6,,.528,15.4,22.2,.189,,.562,13.2,76.9,.213
37,37,2020-01-09,,POR,W,116,102,118.4,104.1,98.0,.236,.360,.590,57.7,56.8,7.1,15.3,,.567,12.5,35.7,.169,,.422,8.4,74.5,.219
38,38,2020-01-11,@,HOU,L,109,139,97.2,123.9,112.2,.379,.505,.492,43.1,77.8,10.7,8.0,,.447,14.0,22.0,.253,,.611,14.3,72.1,.242
39,39,2020-01-13,,OKC,L,104,117,105.4,118.5,98.7,.231,.385,.519,42.0,60.5,10.1,11.5,,.484,8.2,17.0,.176,,.573,13.8,80.0,.280
40,40,2020-01-15,,IND,L,99,104,101.2,106.3,97.9,.182,.318,.521,50.0,68.4,6.1,11.3,,.494,13.6,20.8,.136,,.559,14.2,83.3,.106
41,41,2020-01-17,@,IND,L,114,116,114.3,116.3,99.8,.239,.443,.586,46.8,55.0,4.0,1.7,,.551,11.8,15.9,.193,,.610,12.5,87.9,.195
42,42,2020-01-18,,TOR,L,112,122,106.3,115.7,105.4,.287,.532,.529,53.8,89.5,7.6,8.9,,.479,13.8,25.5,.234,,.588,12.4,84.1,.165
43,43,2020-01-20,,DEN,L,100,107,107.3,114.9,93.2,.154,.462,.515,44.2,68.4,7.5,8.5,,.489,8.5,21.6,.121,,.539,12.0,70.5,.111
44,44,2020-01-22,@,CHI,L,110,117,109.2,116.1,100.8,.279,.512,.570,46.2,65.9,6.9,5.6,,.564,15.7,20.8,.151,,.518,10.7,73.3,.357
45,45,2020-01-24,,HOU,L,124,131,114.9,121.4,107.9,.204,.327,.581,59.3,58.3,7.4,13.6,,.546,13.7,30.2,.173,,.577,9.5,88.4,.286
46,46,2020-01-25,,OKC,L,104,113,104.2,113.2,99.8,.200,.478,.531,48.8,82.5,9.0,7.1,,.511,11.7,14.9,.133,,.556,10.8,91.9,.300
47,47,2020-01-27,,SAC,L,129,133,118.2,121.9,98.8,.371,.517,.623,50.6,67.4,6.4,16.7,,.612,16.2,22.2,.225,,.602,12.7,79.5,.307
48,48,2020-02-01,@,LAC,L,106,118,99.5,110.7,106.5,.440,.464,.529,46.8,70.6,8.4,6.3,,.446,14.5,13.6,.369,,.520,10.9,76.0,.163
49,49,2020-02-03,@,SAC,L,109,113,114.3,118.5,95.4,.329,.447,.560,57.0,67.6,12.6,12.5,,.512,14.1,34.1,.259,,.600,15.3,81.6,.307
50,50,2020-02-05,,ATL,L,120,127,111.2,117.7,107.9,.308,.385,.581,42.9,40.0,12.1,14.0,,.544,13.4,14.0,.231,,.604,16.6,79.4,.341
51,51,2020-02-08,,LAC,W,142,115,136.0,110.1,104.4,.189,.463,.690,51.7,75.0,7.7,5.0,,.684,10.4,20.5,.126,,.529,13.2,82.2,.279
52,52,2020-02-10,@,TOR,L,126,137,115.9,126.1,108.7,.407,.465,.621,48.1,61.5,5.5,7.1,,.558,18.5,23.8,.349,,.669,15.4,75.7,.202
53,53,2020-02-12,,CHO,L,108,115,106.2,113.1,101.7,.198,.485,.492,48.0,64.1,9.8,12.1,,.455,9.1,25.9,.158,,.543,11.3,73.9,.163
54,54,2020-02-21,,BOS,L,117,127,114.4,124.1,102.3,.393,.472,.560,42.6,63.9,7.8,15.2,,.489,7.1,16.0,.337,,.516,8.2,68.6,.305
55,55,2020-02-23,@,DEN,L,116,128,110.9,122.4,104.6,.322,.444,.564,50.0,65.0,6.7,3.3,,.522,12.7,21.4,.244,,.650,11.8,85.3,.122
56,56,2020-02-24,@,DAL,L,123,139,111.8,126.3,110.0,.358,.442,.559,43.8,38.1,3.6,10.5,,.521,9.1,14.9,.253,,.584,9.6,71.4,.208
57,57,2020-02-26,@,MIA,W,129,126,118.1,115.3,109.3,.275,.505,.632,43.4,59.6,14.6,15.4,,.610,13.6,12.5,.198,,.596,17.8,77.8,.423
58,58,2020-02-28,@,ORL,L,125,136,112.6,122.5,111.0,.253,.463,.592,37.9,58.7,9.0,10.3,,.574,12.4,12.0,.168,,.602,12.2,73.0,.184
59,59,2020-03-01,,DAL,L,91,111,85.7,104.6,106.2,.152,.424,.431,50.4,52.8,8.5,5.6,,.429,11.0,21.9,.061,,.527,12.0,87.8,.128
60,60,2020-03-03,@,NOP,W,139,134,125.9,121.4,110.4,.206,.351,.657,48.8,57.4,10.0,3.3,,.629,13.1,24.4,.175,,.590,11.8,71.1,.160
61,61,2020-03-04,,CHI,W,115,108,118.3,111.1,97.2,.309,.531,.625,51.8,67.5,5.1,6.3,,.611,15.6,24.4,.198,,.537,9.2,78.6,.074
62,62,2020-03-06,,ORL,L,118,132,116.6,130.4,101.2,.204,.378,.552,44.4,65.2,5.9,4.8,,.520,7.0,20.4,.163,,.649,9.3,81.3,.274
63,63,2020-03-08,,NOP,L,107,120,93.5,104.8,114.5,.330,.351,.497,43.8,54.1,13.1,5.5,,.436,13.6,17.0,.266,,.550,19.4,76.7,.233
64,64,2020-03-10,@,HOU,L,111,117,110.5,116.5,100.4,.277,.422,.596,55.4,52.5,9.0,0.0,,.566,16.2,22.2,.205,,.606,14.9,86.8,.250
