Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-22,@,TOR,L,122,130,108.1,115.2,102.2,.196,.441,.551,48.2,69.8,3.5,14.3,,.515,14.6,28.1,.167,,.476,11.8,69.8,.311
2,2,2019-10-25,,DAL,L,116,123,112.8,119.6,102.8,.153,.418,.554,49.5,66.7,5.8,5.7,,.536,11.8,24.5,.112,,.559,9.5,75.0,.204
3,3,2019-10-26,@,HOU,L,123,126,109.3,111.9,112.6,.160,.500,.575,48.3,58.7,8.0,4.1,,.550,13.7,20.0,.130,,.527,15.1,78.6,.287
4,4,2019-10-28,,GSW,L,123,134,109.7,119.5,112.1,.214,.456,.546,40.2,75.0,11.6,10.1,,.539,11.7,20.8,.117,,.558,13.6,61.2,.173
5,5,2019-10-31,,DEN,W,122,107,118.7,104.1,102.8,.416,.429,.670,51.4,73.2,6.8,6.3,,.630,14.1,6.3,.325,,.522,12.7,87.5,.157
6,6,2019-11-02,@,OKC,L,104,115,102.7,113.6,101.3,.234,.340,.502,56.0,62.5,6.9,9.4,,.484,13.4,32.1,.138,,.539,10.7,83.0,.200
7,7,2019-11-04,@,BRK,L,125,135,110.2,119.0,113.5,.216,.330,.588,46.4,37.5,14.1,9.8,,.562,16.5,23.3,.165,,.620,18.1,70.7,.228
8,8,2019-11-08,,TOR,L,104,122,95.4,111.9,109.1,.212,.414,.480,50.0,52.5,6.4,12.0,,.455,14.3,24.6,.141,,.543,14.1,79.6,.226
9,9,2019-11-09,@,CHO,W,115,110,108.5,103.8,106.0,.400,.440,.652,51.7,62.5,12.3,11.3,,.627,22.8,23.7,.280,,.477,16.9,73.5,.295
10,10,2019-11-11,,HOU,L,116,122,107.5,113.1,107.9,.284,.474,.543,49.5,63.4,7.4,6.8,,.505,13.0,23.1,.211,,.588,14.6,82.9,.259
11,11,2019-11-14,,LAC,W,132,127,125.9,121.1,104.8,.296,.347,.596,58.0,55.3,10.5,8.3,,.571,11.2,36.7,.204,,.613,14.1,84.6,.286
12,12,2019-11-16,@,MIA,L,94,109,99.0,114.8,95.0,.073,.427,.555,40.8,62.2,10.5,3.5,,.549,17.5,16.3,.049,,.599,18.7,72.7,.148
13,13,2019-11-17,,GSW,W,108,100,110.6,102.4,97.6,.225,.517,.552,52.7,64.9,3.1,7.6,,.517,11.7,24.4,.180,,.445,9.0,80.4,.209
14,14,2019-11-19,,POR,W,115,104,114.9,103.9,100.1,.258,.387,.555,52.5,58.5,10.0,7.9,,.511,11.2,30.2,.215,,.522,14.8,77.1,.087
15,15,2019-11-21,@,PHO,W,124,121,119.7,116.8,103.6,.250,.398,.635,53.7,59.6,7.7,10.9,,.625,14.8,21.6,.159,,.541,12.3,80.0,.326
16,16,2019-11-23,@,UTA,L,120,128,113.3,120.9,105.9,.198,.406,.546,43.7,50.0,6.6,13.0,,.500,8.3,17.6,.188,,.604,15.0,80.6,.354
17,17,2019-11-24,@,LAC,L,109,134,109.2,134.2,99.8,.184,.418,.515,44.6,60.5,1.0,10.9,,.505,7.8,23.1,.102,,.551,5.1,67.3,.265
18,18,2019-11-27,,LAL,L,110,114,109.8,113.8,100.1,.357,.476,.566,53.2,58.8,7.0,6.6,,.506,16.4,30.2,.298,,.565,13.5,80.6,.212
19,19,2019-11-29,@,OKC,L,104,109,103.8,108.8,100.2,.241,.437,.540,51.2,48.7,8.0,5.4,,.511,11.9,16.3,.172,,.550,10.2,86.0,.111
20,20,2019-12-01,,OKC,L,104,107,106.3,109.4,97.8,.115,.437,.569,46.6,56.4,6.1,14.6,,.546,10.7,6.7,.103,,.537,10.6,88.4,.247
21,21,2019-12-03,,DAL,L,97,118,98.0,119.3,98.9,.160,.436,.482,48.0,52.6,4.0,9.3,,.463,9.9,18.0,.106,,.540,9.1,79.2,.261
22,22,2019-12-05,,PHO,L,132,139,114.8,120.8,104.2,.402,.471,.645,44.0,61.4,11.3,12.9,,.603,18.3,15.8,.310,,.538,13.2,64.2,.236
23,23,2019-12-07,@,DAL,L,84,130,82.8,128.2,101.4,.236,.360,.428,38.2,53.1,3.9,4.2,,.376,12.5,14.5,.191,,.610,10.7,76.5,.291
24,24,2019-12-09,,DET,L,103,105,101.9,103.9,101.0,.242,.418,.512,49.5,60.0,5.9,2.0,,.484,10.6,21.7,.165,,.488,15.7,77.8,.259
25,25,2019-12-11,@,MIL,L,112,127,104.4,118.4,107.2,.250,.511,.573,49.4,74.4,7.5,9.3,,.534,17.7,15.6,.205,,.640,12.6,87.5,.086
26,26,2019-12-13,@,PHI,L,109,116,110.3,117.4,98.8,.398,.273,.527,48.9,63.2,5.1,3.0,,.483,8.0,24.0,.273,,.534,8.1,78.6,.264
27,27,2019-12-15,,ORL,L,119,130,121.0,132.1,98.4,.136,.489,.638,50.6,72.3,6.1,12.7,,.642,15.4,26.2,.068,,.612,8.2,78.4,.236
28,28,2019-12-17,,BRK,L,101,108,94.1,100.7,97.2,.224,.374,.430,51.8,54.1,2.8,15.8,,.397,6.4,25.0,.150,,.474,9.4,87.5,.177
29,29,2019-12-18,@,MIN,W,107,99,106.9,98.9,100.1,.244,.384,.562,56.1,60.5,6.0,7.1,,.523,15.1,26.2,.198,,.432,8.6,78.6,.179
30,30,2019-12-20,@,GSW,L,102,106,100.5,104.4,101.5,.247,.366,.495,50.5,59.0,7.9,10.0,,.468,14.2,26.0,.161,,.494,15.3,77.8,.289
31,31,2019-12-23,@,POR,W,102,94,103.6,95.5,98.5,.172,.376,.510,53.4,60.5,6.1,9.7,,.489,10.7,24.5,.118,,.429,10.0,84.0,.176
32,32,2019-12-25,@,DEN,W,112,100,117.2,104.7,95.5,.133,.478,.588,56.5,56.1,9.4,9.1,,.556,15.9,34.1,.133,,.467,10.7,74.5,.152
33,33,2019-12-28,,IND,W,120,98,119.3,97.4,100.6,.215,.452,.589,51.6,58.1,8.9,3.5,,.559,10.5,24.4,.172,,.424,15.5,76.0,.306
34,34,2019-12-29,,HOU,W,127,112,128.8,113.5,98.6,.127,.431,.589,52.9,64.0,9.1,9.5,,.578,7.7,29.8,.088,,.611,15.9,80.0,.160
35,35,2020-01-03,@,LAL,L,113,123,110.4,120.2,102.4,.069,.363,.538,46.0,50.0,3.9,17.5,,.525,9.5,18.8,.059,,.581,10.9,79.5,.267
36,36,2020-01-04,@,SAC,W,117,115,111.4,109.5,105.0,.379,.517,.576,46.3,73.7,10.5,4.7,,.529,12.9,19.6,.287,,.518,16.6,71.4,.318
37,37,2020-01-06,,UTA,L,126,128,127.4,129.4,98.9,.319,.330,.588,52.7,51.1,4.0,8.8,,.543,5.3,26.5,.255,,.600,7.4,83.3,.222
38,38,2020-01-08,,CHI,W,123,108,122.7,107.8,100.2,.368,.506,.608,56.2,75.6,7.0,14.0,,.557,12.2,29.3,.299,,.522,10.6,79.2,.130
39,39,2020-01-10,@,NYK,W,123,111,116.9,105.5,105.3,.198,.442,.658,48.3,72.9,7.6,8.2,,.663,16.9,15.8,.105,,.485,10.7,72.5,.140
40,40,2020-01-11,@,BOS,L,105,140,99.5,132.6,105.6,.180,.450,.486,44.8,72.5,3.8,8.5,,.470,12.9,25.9,.110,,.620,8.5,73.7,.160
41,41,2020-01-13,@,DET,W,117,110,104.4,98.2,101.5,.262,.252,.509,58.7,53.5,5.4,7.5,,.461,14.2,30.9,.214,,.460,7.6,89.8,.192
42,42,2020-01-16,,UTA,W,138,132,124.1,118.7,100.7,.376,.280,.637,51.1,56.9,7.2,14.8,,.608,10.7,22.0,.269,,.535,10.2,76.6,.250
43,43,2020-01-18,,LAC,L,130,133,119.5,122.3,108.8,.419,.477,.638,57.1,69.6,6.4,6.5,,.622,17.1,31.6,.267,,.548,9.8,78.3,.333
44,44,2020-01-20,@,MEM,W,126,116,116.8,107.5,107.9,.273,.545,.639,45.7,57.1,6.5,10.0,,.597,14.0,12.2,.239,,.490,11.1,71.7,.146
45,45,2020-01-22,,SAS,L,117,121,116.0,119.9,100.9,.381,.429,.596,48.2,66.7,5.9,4.8,,.548,12.5,18.6,.298,,.567,9.9,78.6,.225
46,46,2020-01-24,,DEN,L,106,113,109.6,116.8,96.7,.366,.329,.557,44.6,63.2,8.3,10.8,,.537,15.2,27.3,.220,,.439,8.7,57.9,.189
47,47,2020-01-26,,BOS,W,123,108,118.4,104.0,103.9,.315,.391,.587,59.3,70.5,6.7,8.9,,.565,14.7,37.5,.207,,.506,14.0,83.7,.202
48,48,2020-01-28,@,CLE,W,125,111,122.7,109.0,101.9,.273,.386,.634,47.1,61.7,8.8,17.5,,.608,14.0,17.9,.205,,.490,9.5,70.8,.165
49,49,2020-01-31,,MEM,W,139,111,131.8,105.2,105.5,.274,.358,.653,62.6,58.8,7.6,6.2,,.616,15.1,41.0,.232,,.500,9.3,78.8,.156
50,50,2020-02-02,@,HOU,L,109,117,102.7,110.2,106.1,.213,.351,.530,59.4,50.0,5.7,11.1,,.500,17.0,33.3,.160,,.467,5.8,81.0,.181
51,51,2020-02-04,,MIL,L,108,120,93.1,103.4,116.1,.242,.495,.493,48.0,68.4,8.6,9.1,,.455,13.4,15.1,.182,,.525,13.4,83.7,.127
52,52,2020-02-06,@,CHI,W,125,119,118.3,112.6,105.7,.218,.437,.655,52.9,77.6,11.4,10.9,,.655,18.0,23.7,.126,,.565,12.7,76.6,.151
53,53,2020-02-08,@,IND,W,124,117,118.9,112.2,104.3,.263,.400,.585,58.9,61.4,7.7,3.5,,.542,12.4,31.4,.221,,.584,12.9,94.9,.241
54,54,2020-02-11,,POR,W,138,117,133.0,112.7,103.8,.348,.370,.650,55.6,81.6,6.7,7.8,,.609,10.9,33.3,.283,,.511,11.7,75.0,.237
55,55,2020-02-13,,OKC,L,118,123,113.9,118.8,103.6,.314,.407,.603,53.5,73.8,2.9,10.8,,.570,14.8,18.6,.233,,.571,6.4,88.4,.196
56,56,2020-02-21,@,POR,W,128,115,122.4,110.0,104.5,.393,.405,.650,50.0,80.0,7.7,4.5,,.643,14.7,21.4,.238,,.511,11.8,74.0,.202
57,57,2020-02-23,@,GSW,W,115,101,115.3,101.3,99.7,.133,.429,.554,52.0,73.9,7.0,8.8,,.556,11.1,27.5,.061,,.495,11.6,77.6,.109
58,58,2020-02-25,@,LAL,L,109,118,98.5,106.7,110.6,.349,.314,.549,46.9,79.5,9.0,3.4,,.500,16.8,14.0,.267,,.505,12.6,73.6,.147
59,59,2020-02-28,,CLE,W,116,104,117.4,105.2,98.8,.170,.261,.613,59.0,75.0,12.1,12.5,,.597,14.5,33.3,.125,,.511,12.3,78.7,.074
60,60,2020-03-01,,LAL,L,114,122,107.8,115.3,105.8,.347,.337,.520,59.1,60.0,6.6,4.8,,.458,12.7,33.3,.284,,.582,11.4,86.0,.093
61,61,2020-03-03,,MIN,L,134,139,121.4,125.9,110.4,.270,.390,.599,51.2,71.2,11.8,3.2,,.590,11.8,28.9,.160,,.629,13.1,75.6,.175
62,62,2020-03-04,@,DAL,L,123,127,108.0,111.6,103.1,.096,.404,.518,51.5,56.0,7.0,8.9,,.513,10.5,25.9,.053,,.579,13.2,86.0,.179
63,63,2020-03-06,,MIA,W,110,104,107.5,101.6,102.3,.308,.418,.532,54.1,73.7,6.8,11.3,,.495,14.1,30.0,.220,,.483,13.1,79.2,.244
64,64,2020-03-08,@,MIN,W,120,107,104.8,93.5,114.5,.344,.389,.579,56.3,63.6,6.1,8.2,,.550,19.4,23.3,.233,,.436,13.6,83.0,.266
