Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,SAS,L,111,120,101.9,110.2,108.9,.191,.319,.545,43.3,54.5,14.7,1.6,,.521,12.1,10.9,.138,,.548,17.5,77.3,.349
2,2,2019-10-25,@,BRK,L,109,113,101.6,105.3,107.3,.346,.309,.584,45.9,44.7,13.0,9.8,,.574,21.8,20.5,.198,,.577,21.9,73.2,.295
3,3,2019-10-26,,BOS,L,95,118,93.3,115.8,101.9,.415,.329,.490,54.5,48.4,6.9,7.7,,.421,19.2,32.7,.317,,.532,10.2,75.0,.204
4,4,2019-10-28,,CHI,W,105,98,111.5,104.1,94.2,.352,.319,.500,62.4,50.0,3.2,12.0,,.467,13.9,45.5,.220,,.476,8.7,82.6,.200
5,5,2019-10-30,@,ORL,L,83,95,95.7,109.5,86.8,.244,.378,.457,45.8,61.3,1.2,17.9,,.421,10.8,20.8,.171,,.489,7.0,70.8,.102
6,6,2019-11-01,@,BOS,L,102,104,105.3,107.4,96.9,.226,.409,.499,53.7,59.5,9.3,10.0,,.473,11.3,28.1,.151,,.520,13.9,92.1,.365
7,7,2019-11-03,,SAC,L,92,113,95.4,117.2,96.4,.388,.388,.491,43.2,56.3,6.2,10.9,,.450,12.2,18.4,.250,,.571,12.7,74.4,.188
8,8,2019-11-06,@,DET,L,102,122,106.6,127.5,95.7,.263,.313,.571,41.1,61.5,9.4,8.2,,.556,12.7,12.5,.163,,.652,15.2,75.8,.241
9,9,2019-11-08,@,DAL,W,106,102,105.6,101.7,100.3,.348,.315,.516,54.4,51.4,9.0,6.5,,.494,10.5,25.9,.202,,.489,11.8,85.7,.156
10,10,2019-11-10,,CLE,L,87,108,88.6,109.9,98.2,.291,.360,.448,53.6,61.3,11.2,14.8,,.413,17.8,32.1,.186,,.488,12.8,79.5,.341
11,11,2019-11-12,@,CHI,L,102,120,99.5,117.1,102.5,.352,.364,.502,45.2,75.0,11.7,2.1,,.466,15.0,26.0,.227,,.593,16.7,73.5,.296
12,12,2019-11-14,,DAL,W,106,103,111.2,108.0,95.4,.117,.319,.536,54.6,47.6,6.3,4.2,,.516,13.2,31.9,.096,,.476,10.1,76.0,.274
13,13,2019-11-16,,CHO,L,102,103,112.3,113.4,90.8,.267,.233,.531,53.3,56.4,5.5,2.6,,.488,10.3,30.2,.209,,.511,9.5,74.5,.161
14,14,2019-11-18,,CLE,W,123,105,127.6,108.9,96.4,.357,.235,.542,53.4,38.6,8.3,25.0,,.490,5.8,38.0,.276,,.586,17.6,73.7,.211
15,15,2019-11-20,@,PHI,L,104,109,107.5,112.7,96.7,.179,.298,.574,48.8,42.5,8.3,10.5,,.554,13.4,17.1,.131,,.511,9.1,77.8,.202
16,16,2019-11-23,,SAS,L,104,111,105.6,112.7,98.5,.161,.430,.522,44.0,75.0,12.2,5.8,,.511,9.9,20.8,.097,,.613,20.1,75.0,.253
17,17,2019-11-24,,BRK,L,101,103,109.5,111.7,92.2,.200,.438,.580,55.1,59.5,6.5,10.3,,.575,15.5,24.3,.113,,.494,10.7,82.9,.351
18,18,2019-11-27,@,TOR,L,98,126,102.0,131.1,96.1,.273,.466,.497,46.4,57.6,6.2,7.5,,.443,15.4,30.0,.227,,.601,10.6,63.8,.138
19,19,2019-11-29,,PHI,L,95,101,99.8,106.1,95.2,.423,.256,.513,44.6,41.2,5.3,8.7,,.487,13.1,19.1,.244,,.479,15.2,77.8,.444
20,20,2019-12-01,,BOS,L,104,113,109.0,118.4,95.5,.487,.342,.564,47.0,42.9,7.3,11.5,,.513,13.2,22.2,.342,,.522,11.2,66.0,.172
