Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,UTA,L,95,100,96.2,101.2,98.8,.373,.325,.492,49.5,46.9,5.1,6.1,,.446,11.9,15.6,.253,,.478,10.0,78.8,.156
2,2,2019-10-25,,WAS,L,85,97,81.8,93.4,103.9,.265,.277,.459,51.0,42.4,6.7,10.7,,.428,16.3,15.2,.169,,.459,12.9,84.0,.082
3,3,2019-10-27,,GSW,W,120,92,117.0,89.7,102.6,.282,.410,.684,56.2,54.5,7.8,8.5,,.660,20.8,22.9,.218,,.353,11.7,77.8,.293
4,4,2019-10-28,@,HOU,L,112,116,110.0,114.0,101.8,.255,.372,.536,56.5,53.7,6.9,6.5,,.505,11.1,34.0,.181,,.489,11.8,80.0,.311
5,5,2019-10-30,,POR,L,99,102,96.0,98.9,103.1,.440,.321,.494,52.9,45.5,7.8,3.9,,.417,15.2,24.5,.345,,.494,15.0,82.4,.198
6,6,2019-11-02,,NOP,W,115,104,113.6,102.7,101.3,.256,.411,.574,44.0,48.8,7.9,17.7,,.539,10.7,17.0,.200,,.484,13.4,67.9,.138
7,7,2019-11-05,,ORL,W,102,94,110.4,101.7,92.4,.233,.384,.538,41.8,56.8,9.7,8.3,,.500,8.7,15.9,.186,,.409,12.8,66.0,.329
8,8,2019-11-07,@,SAS,L,112,121,114.5,123.7,97.8,.300,.263,.618,39.7,61.9,7.2,2.7,,.588,12.6,10.3,.225,,.590,11.6,69.2,.106
9,9,2019-11-09,,GSW,W,114,108,116.2,110.1,98.1,.215,.380,.659,55.3,69.8,7.1,7.9,,.633,17.2,20.0,.177,,.535,14.0,85.4,.200
10,10,2019-11-10,,MIL,L,119,121,111.0,112.9,107.2,.187,.462,.604,42.2,68.9,10.3,7.3,,.588,13.2,10.4,.132,,.633,19.5,85.7,.193
11,11,2019-11-12,@,IND,L,85,111,86.9,113.4,97.9,.293,.305,.459,44.4,65.5,9.2,5.6,,.390,13.9,18.8,.256,,.527,12.3,73.8,.128
12,12,2019-11-15,,PHI,W,127,119,128.7,120.6,89.4,.539,.316,.675,45.6,53.7,7.1,5.2,,.605,12.1,16.7,.461,,.578,12.3,69.8,.167
13,13,2019-11-18,@,LAC,L,88,90,93.6,95.8,94.0,.373,.360,.504,47.9,60.7,12.8,7.8,,.420,16.3,20.0,.333,,.460,15.4,73.5,.115
14,14,2019-11-19,@,LAL,L,107,112,110.7,115.9,96.6,.313,.350,.588,45.9,57.9,10.3,3.4,,.531,14.2,20.0,.275,,.562,14.1,68.9,.135
15,15,2019-11-22,,LAL,L,127,130,122.4,125.3,103.7,.215,.333,.624,45.1,57.1,7.7,5.3,,.586,9.8,15.0,.194,,.608,13.0,73.8,.261
16,16,2019-11-25,@,GSW,W,100,97,105.5,102.3,94.8,.129,.376,.557,51.2,65.0,5.3,18.8,,.535,14.3,22.0,.106,,.466,11.1,79.1,.157
17,17,2019-11-27,@,POR,L,119,136,118.0,134.9,100.8,.432,.398,.568,41.3,48.7,4.0,3.1,,.506,5.4,15.4,.341,,.596,7.9,75.0,.255
