Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,CLE,W,94,85,37,86,.430,9,30,.300,11,19,.579,7,46,24,12,4,13,18,,33,88,.375,9,34,.265,10,15,.667,10,54,20,8,2,16,15
2,2,2019-10-26,@,ATL,L,99,103,35,99,.354,5,31,.161,24,26,.923,17,46,15,8,7,10,15,,43,84,.512,9,30,.300,8,15,.533,9,52,22,5,9,18,26
3,3,2019-10-28,@,TOR,L,95,104,34,89,.382,12,39,.308,15,18,.833,8,47,22,9,6,16,20,,33,85,.388,10,39,.256,28,30,.933,6,52,19,9,2,16,20
4,4,2019-10-30,,NYK,W,95,83,37,88,.420,12,32,.375,9,12,.750,14,52,24,5,6,7,17,,31,82,.378,7,31,.226,14,20,.700,10,44,19,1,10,11,15
5,5,2019-11-01,,MIL,L,91,123,34,91,.374,12,37,.324,11,17,.647,10,40,21,8,3,16,16,,47,93,.505,17,47,.362,12,18,.667,11,58,24,11,4,13,19
6,6,2019-11-02,,DEN,L,87,91,37,86,.430,6,29,.207,7,11,.636,10,47,22,8,7,15,25,,27,73,.370,9,28,.321,28,39,.718,7,41,15,8,3,13,14
7,7,2019-11-05,@,OKC,L,94,102,32,82,.390,3,22,.136,27,31,.871,16,53,15,5,8,14,24,,37,86,.430,12,33,.364,16,20,.800,7,38,21,9,5,9,23
8,8,2019-11-06,@,DAL,L,106,107,39,80,.488,6,24,.250,22,28,.786,10,44,25,14,10,18,30,,36,84,.429,11,31,.355,24,30,.800,12,43,20,4,1,17,23
9,9,2019-11-08,,MEM,W,118,86,44,93,.473,7,28,.250,23,27,.852,12,57,24,10,10,9,17,,32,86,.372,11,29,.379,11,13,.846,4,36,23,3,5,18,22
10,10,2019-11-10,,IND,L,102,109,41,89,.461,15,36,.417,5,6,.833,7,37,27,5,11,10,10,,48,91,.527,9,20,.450,4,5,.800,10,43,31,6,3,9,13
11,11,2019-11-13,,PHI,W,112,97,38,86,.442,10,32,.313,26,34,.765,9,48,27,6,2,13,22,,40,91,.440,8,30,.267,9,13,.692,8,47,25,5,5,15,27
