Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,BOS,W,107,93,105.2,91.4,101.8,.424,.341,.531,60.2,64.9,5.9,10.9,,.476,12.9,27.9,.306,,.406,8.7,83.3,.222
2,2,2019-10-26,@,DET,W,117,111,105.7,100.3,110.7,.345,.391,.584,52.1,71.4,12.7,5.3,,.557,18.0,16.7,.230,,.592,20.0,86.5,.276
3,3,2019-10-28,@,ATL,W,105,103,98.0,96.1,107.2,.284,.466,.530,52.1,59.5,11.2,19.3,,.483,17.5,24.5,.227,,.482,17.6,82.2,.262
4,4,2019-10-30,,MIN,W,117,95,110.1,89.4,106.2,.304,.272,.561,62.2,55.8,13.2,13.0,,.516,17.4,36.4,.239,,.457,18.4,87.0,.259
5,5,2019-11-02,@,POR,W,129,128,123.7,122.7,104.3,.112,.308,.574,56.1,66.7,10.5,18.2,,.556,8.9,28.9,.093,,.699,16.8,89.2,.244
6,6,2019-11-04,@,PHO,L,109,114,104.9,109.7,103.9,.225,.326,.557,48.7,50.0,10.6,4.1,,.545,17.0,20.5,.135,,.604,17.6,85.3,.273
7,7,2019-11-06,@,UTA,L,104,106,105.9,108.0,98.2,.425,.313,.548,45.7,60.6,9.2,4.5,,.463,12.8,16.3,.375,,.506,11.5,71.4,.180
8,8,2019-11-08,@,DEN,L,97,100,100.5,103.6,96.5,.198,.302,.519,54.4,73.7,8.3,12.3,,.517,15.4,24.4,.093,,.500,9.6,84.4,.149
9,9,2019-11-10,,CHO,W,114,106,115.1,107.1,99.0,.190,.333,.626,61.3,63.0,9.1,9.8,,.607,18.0,28.6,.143,,.536,12.2,86.7,.190
10,10,2019-11-12,,CLE,W,98,97,101.9,100.8,96.2,.146,.427,.517,50.5,60.0,8.3,12.3,,.494,12.9,23.4,.112,,.471,12.1,79.5,.186
11,11,2019-11-13,@,ORL,L,97,112,94.7,109.3,102.4,.143,.330,.501,49.5,62.5,4.9,9.3,,.484,13.4,17.0,.099,,.500,11.4,81.3,.302
12,12,2019-11-15,@,OKC,L,119,127,120.6,128.7,89.4,.244,.356,.597,54.4,53.3,6.1,0.0,,.578,12.3,30.2,.167,,.605,12.1,83.3,.461
13,13,2019-11-17,@,CLE,W,114,95,114.1,95.1,99.9,.202,.274,.623,51.2,71.7,6.0,16.9,,.601,12.4,11.4,.155,,.411,12.2,78.4,.233
14,14,2019-11-20,,NYK,W,109,104,112.7,107.5,96.7,.292,.360,.543,51.2,76.9,5.2,8.5,,.511,9.1,22.2,.202,,.554,13.4,82.9,.131
15,15,2019-11-22,,SAS,W,115,104,117.1,105.9,98.2,.213,.292,.591,61.4,69.6,8.1,6.0,,.573,13.3,31.0,.146,,.541,10.7,92.7,.141
16,16,2019-11-23,,MIA,W,113,86,120.5,91.7,93.7,.205,.349,.624,53.7,66.7,11.7,3.9,,.590,13.4,21.6,.181,,.440,16.4,80.0,.267
17,17,2019-11-25,@,TOR,L,96,101,102.4,107.7,93.8,.182,.455,.505,56.0,69.4,7.5,6.0,,.494,14.4,30.4,.102,,.518,9.6,82.2,.167
18,18,2019-11-27,,SAC,W,97,91,98.9,92.8,98.1,.312,.338,.554,53.8,55.6,8.2,16.4,,.500,16.3,17.1,.260,,.458,10.0,84.0,.042
19,19,2019-11-29,@,NYK,W,101,95,106.1,99.8,95.2,.556,.361,.564,55.4,71.0,5.3,17.2,,.479,15.2,22.2,.444,,.487,13.1,80.9,.244
20,20,2019-11-30,,IND,W,119,116,119.2,116.2,99.8,.468,.299,.641,50.8,71.1,12.0,9.3,,.565,11.4,12.5,.416,,.625,17.9,90.3,.276
21,21,2019-12-02,,UTA,W,103,94,99.7,91.0,103.3,.253,.286,.509,52.8,64.9,11.6,5.1,,.478,12.2,17.8,.176,,.500,17.5,88.6,.160
22,22,2019-12-05,@,WAS,L,113,119,113.6,119.6,99.5,.312,.364,.645,51.8,61.0,7.0,9.5,,.617,19.3,22.2,.234,,.517,9.6,73.5,.289
23,23,2019-12-07,,CLE,W,141,94,138.9,92.6,101.5,.256,.289,.704,59.3,75.4,12.8,13.1,,.694,7.4,29.4,.178,,.422,14.1,78.8,.135
24,24,2019-12-08,,TOR,W,110,104,111.4,105.3,98.7,.266,.405,.623,48.8,77.5,7.1,9.1,,.595,16.9,17.1,.203,,.494,15.7,72.3,.193
25,25,2019-12-10,,DEN,W,97,92,100.9,95.7,96.1,.180,.404,.505,56.3,64.9,9.4,5.2,,.483,13.5,26.7,.124,,.476,12.6,88.1,.129
26,26,2019-12-12,@,BOS,W,115,109,124.5,118.0,92.4,.280,.341,.624,57.7,65.9,4.3,13.3,,.585,10.7,25.0,.232,,.522,5.7,80.4,.154
27,27,2019-12-13,,NOP,W,116,109,117.4,110.3,98.8,.391,.230,.569,51.1,55.8,7.1,12.5,,.534,8.1,21.4,.264,,.483,8.0,76.0,.273
28,28,2019-12-15,@,BRK,L,89,109,87.8,107.5,101.4,.198,.302,.476,42.7,51.4,8.9,18.6,,.459,14.6,15.2,.116,,.505,13.6,72.1,.149
29,29,2019-12-18,,MIA,L,104,108,112.7,117.1,92.3,.200,.433,.531,46.6,63.2,9.8,9.3,,.489,11.7,29.4,.178,,.541,11.3,70.3,.188
30,30,2019-12-20,,DAL,L,98,117,97.9,116.8,100.1,.200,.378,.500,48.4,65.8,9.0,4.0,,.478,13.3,21.2,.133,,.602,14.7,81.4,.205
31,31,2019-12-21,,WAS,W,125,108,122.7,106.0,101.9,.223,.351,.605,58.2,57.1,6.9,7.0,,.596,11.9,34.0,.138,,.449,9.7,84.1,.330
32,32,2019-12-23,@,DET,W,125,109,132.0,115.1,94.7,.116,.316,.626,61.5,63.5,8.4,14.8,,.611,10.7,41.5,.095,,.571,12.4,83.8,.155
33,33,2019-12-25,,MIL,W,121,109,123.4,111.1,98.1,.149,.436,.562,51.0,65.9,9.2,11.3,,.540,6.1,26.4,.119,,.542,9.2,81.4,.063
34,34,2019-12-27,@,ORL,L,97,98,95.8,96.8,101.3,.241,.333,.504,48.4,65.7,9.9,5.2,,.460,13.5,15.6,.195,,.477,13.3,79.2,.159
35,35,2019-12-28,@,MIA,L,116,117,113.5,114.5,92.5,.326,.337,.570,52.2,57.1,4.9,6.1,,.528,8.1,18.6,.247,,.500,7.0,83.0,.245
36,36,2019-12-31,@,IND,L,97,115,102.1,121.1,95.0,.220,.319,.486,55.3,64.9,4.2,9.8,,.440,10.7,29.8,.187,,.552,5.8,86.8,.233
37,37,2020-01-03,@,HOU,L,108,118,106.7,116.6,101.2,.272,.293,.524,48.9,76.2,6.9,11.1,,.489,9.6,20.8,.196,,.547,9.9,81.0,.279
38,38,2020-01-06,,OKC,W,120,113,123.1,116.0,97.4,.200,.289,.613,47.2,67.4,4.1,0.0,,.583,9.3,21.4,.167,,.517,10.5,70.2,.236
39,39,2020-01-09,,BOS,W,109,98,116.3,104.5,93.7,.193,.307,.571,55.8,55.8,6.4,9.6,,.551,11.2,30.2,.136,,.511,13.3,81.4,.091
40,40,2020-01-11,@,DAL,L,91,109,98.9,118.4,92.0,.122,.378,.441,44.3,59.5,12.0,9.6,,.423,3.7,24.6,.082,,.576,14.2,72.5,.228
41,41,2020-01-13,@,IND,L,95,101,101.4,107.8,93.7,.213,.371,.488,51.0,45.9,6.4,6.7,,.449,10.2,24.5,.169,,.442,8.3,75.5,.291
42,42,2020-01-15,,BRK,W,117,106,118.9,107.8,98.4,.284,.341,.591,52.7,55.6,7.1,17.7,,.574,10.8,28.3,.182,,.506,11.5,76.6,.207
43,43,2020-01-17,,CHI,W,100,89,109.2,97.2,91.5,.134,.354,.576,54.3,75.0,9.8,15.2,,.543,11.2,22.5,.134,,.481,15.4,85.4,.136
44,44,2020-01-18,@,NYK,W,90,87,95.8,92.6,93.9,.244,.410,.521,46.1,76.5,8.5,9.5,,.500,13.1,12.2,.154,,.432,12.7,75.0,.125
