Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,SAC,W,124,95,114.1,87.4,108.7,.184,.337,.585,48.4,63.3,12.0,15.5,,.556,11.7,20.5,.153,,.448,20.9,74.5,.195
2,2,2019-10-25,@,DEN,L,107,108,99.5,100.4,97.4,.372,.326,.535,54.5,73.5,4.6,1.5,,.442,14.5,21.3,.360,,.429,11.5,84.6,.315
3,3,2019-10-26,,LAC,W,130,122,123.9,116.3,104.9,.395,.500,.644,54.4,74.4,8.6,5.5,,.599,13.7,22.5,.314,,.523,10.3,80.0,.356
4,4,2019-10-28,,UTA,L,95,96,92.7,93.7,102.5,.288,.425,.527,44.9,69.7,6.8,7.5,,.494,15.1,6.5,.200,,.451,20.7,86.0,.451
5,5,2019-10-30,@,GSW,W,121,110,114.6,104.2,105.6,.219,.375,.575,51.1,75.0,11.4,7.4,,.536,13.2,26.5,.188,,.488,15.5,82.1,.366
6,6,2019-11-02,@,MEM,W,114,105,111.2,102.4,102.5,.182,.386,.600,41.0,59.1,8.8,3.4,,.580,15.2,10.8,.136,,.541,17.5,68.3,.140
7,7,2019-11-04,,PHI,W,114,109,109.7,104.9,103.9,.351,.364,.641,51.3,58.5,5.8,8.3,,.604,17.6,14.7,.273,,.545,17.0,79.5,.135
8,8,2019-11-07,,MIA,L,108,124,108.9,125.0,99.2,.369,.381,.553,49.4,59.5,4.0,5.6,,.506,12.5,21.7,.274,,.640,12.3,85.7,.232
9,9,2019-11-10,,BRK,W,138,112,127.4,103.4,108.3,.192,.424,.643,49.4,71.2,7.4,12.3,,.621,6.1,11.6,.152,,.527,14.7,88.1,.176
10,10,2019-11-12,,LAL,L,115,123,112.4,120.2,102.3,.187,.418,.584,47.0,74.4,2.9,5.7,,.560,10.0,14.3,.143,,.589,7.9,80.5,.116
11,11,2019-11-14,,ATL,W,128,112,116.5,101.9,109.9,.447,.459,.629,44.3,78.0,5.5,3.3,,.571,16.4,17.1,.365,,.484,17.4,68.1,.264
