Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,DEN,L,100,108,100.1,108.1,99.9,.264,.322,.515,51.6,36.1,9.0,8.2,,.454,17.1,27.7,.241,,.531,17.0,76.1,.272
2,2,2019-10-25,@,SAC,W,122,112,119.5,109.7,102.1,.259,.353,.644,48.2,50.0,7.8,10.0,,.606,14.5,14.3,.224,,.511,14.7,72.9,.264
3,3,2019-10-27,@,DAL,W,121,119,113.4,111.6,106.7,.299,.253,.615,51.1,28.9,5.6,9.1,,.569,14.0,17.1,.253,,.463,8.9,77.4,.340
4,4,2019-10-28,@,SAS,L,110,113,100.8,103.5,109.1,.270,.330,.492,49.5,48.7,3.7,12.7,,.440,8.2,17.3,.220,,.524,15.4,85.1,.282
5,5,2019-10-30,@,OKC,W,102,99,98.9,96.0,103.1,.279,.407,.528,47.1,55.9,8.7,14.0,,.494,15.0,17.6,.198,,.417,15.2,75.5,.345
6,6,2019-11-02,,PHI,L,128,129,122.7,123.7,104.3,.321,.436,.719,43.9,46.7,6.7,5.4,,.699,16.8,10.8,.244,,.556,8.9,71.1,.093
7,7,2019-11-04,@,GSW,L,118,127,118.9,128.0,99.2,.133,.381,.531,48.4,34.0,5.0,10.0,,.510,5.1,29.1,.105,,.547,8.9,77.8,.384
8,8,2019-11-07,@,LAC,L,101,107,97.5,103.3,103.6,.154,.375,.455,47.2,46.2,6.8,6.1,,.428,10.5,27.9,.115,,.461,14.3,72.3,.281
9,9,2019-11-08,,BRK,L,115,119,114.4,118.4,100.5,.258,.309,.532,48.5,27.5,3.0,14.5,,.469,8.5,27.1,.247,,.495,7.4,68.6,.212
10,10,2019-11-10,,ATL,W,124,113,107.8,98.2,104.2,.269,.346,.533,56.0,42.2,8.7,14.3,,.490,12.8,30.2,.212,,.457,12.2,80.4,.173
11,11,2019-11-12,@,SAC,L,99,107,101.1,109.2,97.9,.390,.390,.549,46.5,44.1,4.1,9.3,,.494,15.9,16.7,.299,,.506,12.6,75.0,.233
12,12,2019-11-13,,TOR,L,106,114,109.1,117.3,97.2,.167,.500,.514,46.2,63.2,3.1,11.7,,.484,10.4,23.4,.135,,.533,10.8,69.6,.174
13,13,2019-11-16,@,SAS,W,121,116,116.1,111.3,104.2,.280,.419,.579,52.7,50.0,1.9,5.7,,.522,10.3,20.0,.258,,.494,8.9,84.8,.330
14,14,2019-11-18,@,HOU,L,108,132,100.3,122.6,107.7,.240,.375,.509,43.1,70.0,6.5,9.1,,.474,13.8,22.6,.177,,.555,12.6,65.3,.210
15,15,2019-11-19,@,NOP,L,104,115,103.9,114.9,100.1,.141,.315,.532,47.5,50.0,5.0,7.0,,.522,14.8,22.9,.087,,.511,11.2,69.8,.215
16,16,2019-11-21,@,MIL,L,129,137,121.1,128.6,106.5,.136,.379,.591,41.4,64.0,5.6,17.5,,.568,6.8,18.4,.117,,.547,9.3,64.0,.198
17,17,2019-11-23,@,CLE,L,104,110,105.0,111.0,99.1,.184,.460,.553,42.2,53.8,6.1,10.7,,.529,9.6,12.2,.138,,.483,11.4,78.0,.299
18,18,2019-11-25,@,CHI,W,117,94,116.4,93.5,100.5,.247,.303,.593,59.8,50.0,8.0,10.6,,.562,13.2,31.0,.191,,.471,15.2,84.0,.151
19,19,2019-11-27,,OKC,W,136,119,134.9,118.0,100.8,.255,.319,.650,58.7,46.9,3.0,1.9,,.596,7.9,25.0,.255,,.506,5.4,84.6,.341
20,20,2019-11-29,,CHI,W,107,103,106.4,102.4,100.6,.333,.357,.555,51.0,52.6,6.0,19.6,,.512,11.9,18.2,.250,,.457,9.5,78.8,.181
21,21,2019-12-03,@,LAC,L,97,117,97.9,118.1,99.1,.165,.297,.497,50.0,51.3,5.0,10.0,,.467,11.8,24.0,.132,,.548,8.7,77.1,.149
22,22,2019-12-04,,SAC,W,127,116,128.3,117.2,99.0,.250,.381,.681,49.4,59.6,6.1,16.4,,.655,11.4,16.2,.202,,.521,8.7,74.0,.179
23,23,2019-12-06,,LAL,L,113,136,103.4,124.4,109.3,.337,.395,.572,43.0,51.3,8.2,8.2,,.512,13.2,8.7,.291,,.641,13.9,90.9,.318
24,24,2019-12-08,,OKC,L,96,108,102.2,115.0,93.9,.180,.330,.445,48.6,44.4,7.5,15.1,,.405,6.9,30.5,.150,,.476,9.1,71.7,.318
25,25,2019-12-10,,NYK,W,115,87,115.4,87.3,99.6,.267,.456,.572,55.2,51.3,6.0,13.2,,.528,10.7,23.4,.222,,.390,9.7,81.0,.176
26,26,2019-12-12,@,DEN,L,99,114,111.0,127.8,89.2,.128,.349,.545,42.2,53.7,4.5,13.5,,.529,8.1,17.5,.093,,.580,9.4,65.1,.136
27,27,2019-12-16,@,PHO,W,111,110,107.7,106.7,103.0,.238,.405,.598,48.2,52.5,8.7,16.1,,.560,17.7,21.4,.202,,.522,16.9,74.4,.178
28,28,2019-12-18,,GSW,W,122,112,120.4,110.5,101.4,.289,.320,.558,53.3,43.2,5.9,12.3,,.500,8.4,29.8,.258,,.476,6.6,71.7,.136
29,29,2019-12-20,,ORL,W,118,103,115.2,100.6,102.4,.226,.429,.639,52.9,38.1,3.9,14.1,,.601,17.8,26.8,.202,,.401,7.8,70.5,.170
30,30,2019-12-21,,MIN,W,113,106,111.6,104.7,101.2,.266,.372,.538,53.6,47.5,8.9,26.0,,.495,11.8,27.3,.213,,.523,14.5,82.5,.172
31,31,2019-12-23,,NOP,L,94,102,95.5,103.6,98.5,.198,.319,.475,46.6,45.9,6.1,10.3,,.429,10.0,16.0,.176,,.489,10.7,75.5,.118
32,32,2019-12-26,@,UTA,L,115,121,121.3,127.6,94.8,.213,.382,.591,51.2,32.6,4.2,2.2,,.567,11.0,24.4,.157,,.654,9.9,82.1,.185
33,33,2019-12-28,,LAL,L,120,128,119.4,127.3,100.5,.314,.407,.613,47.0,43.9,4.0,13.6,,.564,14.0,21.4,.267,,.577,8.0,73.2,.253
34,34,2019-12-30,,PHO,L,116,122,118.3,124.4,98.1,.188,.354,.558,48.8,54.5,5.1,5.8,,.531,7.1,22.7,.146,,.549,8.1,76.2,.228
35,35,2020-01-01,@,NYK,L,93,117,94.4,118.8,98.5,.160,.340,.462,46.1,45.9,4.1,8.1,,.447,7.4,17.9,.096,,.551,6.3,80.4,.092
