Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,PHO,L,95,124,87.4,114.1,108.7,.299,.333,.483,51.6,50.0,4.6,7.7,,.448,20.9,25.5,.195,,.556,11.7,79.5,.153
2,2,2019-10-25,,POR,L,112,122,109.7,119.5,102.1,.310,.425,.566,51.8,45.9,9.8,3.6,,.511,14.7,27.1,.264,,.606,14.5,85.7,.224
3,3,2019-10-26,@,UTA,L,81,113,81.4,113.6,99.5,.210,.321,.458,41.9,53.3,5.0,7.3,,.414,16.1,12.8,.173,,.679,20.1,92.6,.090
4,4,2019-10-28,,DEN,L,94,101,102.2,109.8,92.0,.176,.407,.479,47.1,69.4,6.5,12.9,,.462,10.9,30.0,.110,,.418,8.5,63.5,.194
5,5,2019-10-30,,CHO,L,111,118,109.4,116.3,101.4,.125,.479,.548,45.9,59.1,10.8,9.6,,.531,12.9,21.7,.094,,.643,18.2,74.4,.119
6,6,2019-11-01,,UTA,W,102,101,108.6,107.5,93.9,.202,.345,.557,51.4,36.6,8.5,6.7,,.536,14.9,26.8,.143,,.555,16.7,81.8,.274
7,7,2019-11-03,@,NYK,W,113,92,117.2,95.4,96.4,.294,.459,.589,56.8,61.0,7.3,10.2,,.571,12.7,25.6,.188,,.450,12.2,81.6,.250
8,8,2019-11-06,@,TOR,L,120,124,117.5,121.4,102.1,.221,.463,.576,53.8,54.8,7.8,14.3,,.547,11.8,25.5,.168,,.641,13.4,93.9,.308
9,9,2019-11-08,@,ATL,W,121,109,134.1,120.8,90.2,.289,.408,.706,51.4,64.3,7.8,11.9,,.671,14.0,28.1,.250,,.580,11.4,71.1,.092
10,10,2019-11-12,,POR,W,107,99,109.2,101.1,97.9,.302,.372,.549,53.5,63.2,9.2,10.6,,.506,12.6,25.0,.233,,.494,15.9,83.3,.299
11,11,2019-11-15,@,LAL,L,97,99,106.8,109.0,90.8,.110,.476,.564,51.2,66.7,7.7,0.0,,.537,16.5,24.4,.110,,.488,12.5,76.7,.247
12,12,2019-11-17,,BOS,W,100,99,106.3,105.2,94.1,.135,.393,.530,49.5,57.9,8.5,13.5,,.506,11.3,21.7,.112,,.476,13.1,77.8,.256
13,13,2019-11-19,,PHO,W,120,116,123.4,119.3,97.2,.316,.392,.667,52.4,66.7,7.2,13.2,,.614,16.7,24.2,.291,,.494,8.8,71.4,.315
14,14,2019-11-22,@,BRK,L,97,116,97.8,117.0,99.2,.221,.302,.514,40.7,66.7,8.1,4.3,,.477,14.5,16.7,.174,,.580,16.0,66.7,.272
15,15,2019-11-24,@,WAS,W,113,106,114.8,107.7,98.4,.346,.383,.605,46.4,56.4,9.1,8.6,,.549,12.2,15.4,.296,,.527,14.1,73.3,.098
16,16,2019-11-25,@,BOS,L,102,103,113.5,114.6,89.9,.190,.595,.596,48.6,75.7,3.3,14.5,,.582,14.1,22.9,.127,,.488,10.4,71.8,.235
17,17,2019-11-27,@,PHI,L,91,97,92.8,98.9,98.1,.095,.358,.460,46.2,56.4,9.2,5.9,,.458,10.0,16.0,.042,,.500,16.3,82.9,.260
18,18,2019-11-30,,DEN,W,100,97,98.4,95.4,92.1,.219,.344,.475,51.0,59.5,11.8,7.3,,.427,11.7,25.0,.188,,.477,14.3,80.4,.161
19,19,2019-12-02,,CHI,L,106,113,107.0,114.1,99.1,.241,.398,.577,56.2,55.0,7.1,13.2,,.536,16.4,25.6,.205,,.587,17.0,91.2,.333
20,20,2019-12-04,@,POR,L,116,127,117.2,128.3,99.0,.242,.358,.552,50.6,59.1,7.1,13.5,,.521,8.7,26.0,.179,,.655,11.4,83.8,.202
21,21,2019-12-06,@,SAS,L,104,105,100.4,101.4,93.8,.176,.333,.473,50.0,47.5,9.7,4.7,,.436,11.3,29.1,.147,,.484,13.4,73.5,.125
22,22,2019-12-08,@,DAL,W,110,106,123.9,119.3,88.8,.129,.400,.612,46.7,54.5,7.9,2.4,,.594,8.2,18.9,.106,,.576,11.8,73.7,.081
23,23,2019-12-09,@,HOU,W,119,118,121.7,120.7,97.8,.250,.511,.609,42.0,60.0,14.3,14.7,,.568,8.4,18.4,.216,,.589,16.8,71.8,.226
24,24,2019-12-11,,OKC,W,94,93,97.6,96.5,96.3,.114,.352,.509,48.8,30.8,8.3,6.5,,.500,14.0,14.3,.068,,.513,14.7,83.3,.152
25,25,2019-12-13,,NYK,L,101,103,111.6,113.8,90.5,.096,.470,.584,46.1,48.7,0.0,4.6,,.572,13.1,19.0,.072,,.511,7.4,70.2,.063
26,26,2019-12-15,@,GSW,W,100,79,107.3,84.8,93.2,.254,.349,.714,60.3,71.1,9.7,5.9,,.683,27.8,18.2,.222,,.434,19.2,82.9,.171
27,27,2019-12-17,@,CHO,L,102,110,111.5,120.2,91.5,.143,.429,.527,39.3,60.5,10.9,9.8,,.495,9.4,22.2,.132,,.562,14.7,59.0,.235
28,28,2019-12-20,@,IND,L,105,119,113.5,128.7,92.5,.165,.352,.538,51.3,61.0,4.3,10.9,,.505,9.3,28.9,.143,,.605,8.7,80.0,.174
29,29,2019-12-21,@,MEM,L,115,119,114.5,118.5,100.4,.240,.360,.520,53.7,51.2,10.0,6.3,,.485,9.8,33.3,.180,,.572,12.8,80.5,.289
30,30,2019-12-23,,HOU,L,104,113,103.4,112.4,100.5,.264,.345,.535,55.7,48.8,4.0,8.3,,.511,14.9,25.0,.172,,.534,10.2,86.4,.230
31,31,2019-12-26,,MIN,L,104,105,92.8,93.7,92.7,.234,.364,.441,50.8,54.1,7.1,13.8,,.388,9.2,23.9,.196,,.394,10.0,78.5,.221
32,32,2019-12-28,,PHO,L,110,112,113.4,115.5,97.0,.286,.369,.582,47.4,46.3,3.1,6.7,,.560,11.3,17.5,.190,,.576,12.3,80.6,.151
33,33,2019-12-29,@,DEN,L,115,120,123.1,128.4,93.5,.200,.400,.622,48.6,71.1,5.4,7.7,,.606,11.5,25.0,.141,,.568,11.3,72.2,.346
