Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,NYK,W,120,111,110.2,101.9,108.9,.434,.253,.607,56.7,52.4,5.5,7.8,,.548,17.5,22.7,.349,,.521,12.1,89.1,.138
2,2,2019-10-26,,WAS,W,124,122,122.1,120.1,101.6,.157,.259,.537,56.4,58.0,5.9,11.5,,.509,7.2,38.9,.130,,.579,10.5,80.0,.126
3,3,2019-10-28,,POR,W,113,110,103.5,100.8,109.1,.376,.259,.570,50.5,61.0,4.6,13.4,,.524,15.4,14.9,.282,,.440,8.2,82.7,.220
4,4,2019-10-31,@,LAC,L,97,103,96.4,102.4,100.6,.338,.263,.528,51.0,41.7,6.0,7.7,,.494,17.1,20.0,.225,,.456,9.7,78.4,.220
5,5,2019-11-01,@,GSW,W,127,110,130.9,113.4,97.0,.323,.376,.598,57.1,52.3,4.1,3.6,,.543,9.4,33.3,.280,,.542,10.6,83.7,.226
6,6,2019-11-03,,LAL,L,96,103,92.4,99.1,103.9,.349,.301,.501,50.5,69.7,10.6,6.3,,.434,15.1,17.0,.289,,.517,15.9,84.8,.149
7,7,2019-11-05,@,ATL,L,100,108,97.3,105.1,102.8,.253,.363,.494,46.1,47.4,8.8,13.3,,.462,12.9,22.0,.176,,.539,15.6,76.9,.122
8,8,2019-11-07,,OKC,W,121,112,123.7,114.5,97.8,.117,.213,.612,60.3,62.7,5.1,5.1,,.590,11.6,30.8,.106,,.588,12.6,89.7,.225
9,9,2019-11-09,,BOS,L,115,135,110.8,130.1,103.8,.303,.303,.512,57.0,61.5,1.0,14.0,,.465,11.8,36.8,.232,,.585,7.0,83.7,.266
10,10,2019-11-11,,MEM,L,109,113,109.9,113.9,99.2,.189,.333,.559,47.2,69.0,4.0,6.8,,.533,11.8,15.6,.144,,.569,10.3,79.5,.161
11,11,2019-11-13,@,MIN,L,114,129,112.3,127.0,101.6,.322,.189,.555,46.8,54.5,3.9,7.0,,.506,9.7,21.3,.256,,.555,8.6,72.3,.308
12,12,2019-11-15,@,ORL,L,109,111,115.1,117.2,94.7,.112,.292,.584,46.1,51.1,8.4,13.8,,.579,10.5,19.0,.067,,.483,8.9,70.2,.310
13,13,2019-11-16,,POR,L,116,121,111.3,116.1,104.2,.386,.205,.563,47.3,61.0,7.7,13.0,,.494,8.9,15.2,.330,,.522,10.3,80.0,.258
14,14,2019-11-18,@,DAL,L,110,117,116.9,124.3,94.1,.167,.250,.534,53.9,40.9,6.4,4.7,,.500,8.0,34.7,.146,,.601,12.1,77.5,.190
15,15,2019-11-20,@,WAS,L,132,138,124.7,130.3,105.9,.312,.344,.624,51.9,65.3,7.6,12.9,,.591,10.2,27.3,.237,,.685,14.7,82.9,.130
16,16,2019-11-22,@,PHI,L,104,115,105.9,117.1,98.2,.188,.212,.565,38.6,48.8,6.1,4.8,,.541,10.7,7.3,.141,,.573,13.3,69.0,.146
17,17,2019-11-23,@,NYK,W,111,104,112.7,105.6,98.5,.373,.307,.636,56.0,65.0,7.1,5.7,,.613,20.1,25.0,.253,,.511,9.9,79.2,.097
18,18,2019-11-25,,LAL,L,104,114,110.0,120.6,94.6,.170,.284,.550,50.6,56.1,4.2,8.9,,.523,12.1,23.1,.136,,.573,8.5,76.2,.135
19,19,2019-11-27,,MIN,L,101,113,101.1,113.2,99.9,.175,.299,.483,46.5,61.0,4.0,17.8,,.448,5.4,14.8,.144,,.541,10.2,84.4,.247
20,20,2019-11-29,,LAC,W,107,97,108.0,97.9,99.1,.151,.387,.540,50.0,70.0,8.1,13.6,,.505,8.3,17.0,.140,,.457,12.5,81.6,.141
21,21,2019-12-01,@,DET,L,98,132,100.8,135.8,97.2,.250,.295,.502,38.3,55.6,11.3,10.5,,.449,7.6,15.2,.216,,.676,13.5,68.6,.148
22,22,2019-12-03,,HOU,W,135,133,109.6,107.9,102.0,.302,.283,.562,48.3,70.0,8.1,13.3,,.533,14.3,22.2,.208,,.446,11.8,71.0,.306
23,23,2019-12-06,,SAC,W,105,104,101.4,100.4,93.8,.177,.333,.507,50.0,61.0,9.7,7.4,,.484,13.4,26.5,.125,,.436,11.3,70.9,.147
24,24,2019-12-12,,CLE,L,109,117,101.8,109.3,97.0,.291,.186,.562,41.9,45.2,10.3,13.7,,.517,11.0,4.9,.233,,.536,14.7,75.6,.146
25,25,2019-12-14,@,PHO,W,121,119,102.1,100.4,107.3,.321,.283,.500,51.2,52.3,5.1,14.3,,.453,8.3,15.9,.236,,.485,8.0,89.7,.184
26,26,2019-12-16,@,HOU,L,107,109,99.8,101.6,107.3,.220,.363,.536,47.7,59.0,4.7,7.3,,.495,15.3,15.4,.187,,.464,9.8,76.3,.184
27,27,2019-12-19,,BRK,W,118,105,113.5,101.0,103.9,.240,.344,.556,50.0,60.5,9.6,17.0,,.516,9.4,24.1,.198,,.464,15.8,85.0,.337
28,28,2019-12-21,,LAC,L,109,134,105.7,129.9,103.1,.232,.341,.603,45.6,57.1,4.8,12.7,,.573,16.6,11.8,.183,,.606,9.3,71.1,.141
29,29,2019-12-23,@,MEM,W,145,115,140.6,111.5,103.1,.157,.270,.762,56.8,60.0,8.7,6.8,,.758,11.2,14.3,.112,,.547,11.2,79.2,.104
30,30,2019-12-26,@,DAL,L,98,102,101.5,105.6,96.6,.181,.349,.547,46.4,45.0,9.3,14.0,,.530,12.7,11.4,.120,,.511,12.7,75.5,.111
31,31,2019-12-28,,DET,W,136,109,132.7,106.3,102.5,.161,.376,.683,56.0,56.6,7.8,13.0,,.667,9.9,18.9,.129,,.511,9.6,81.5,.189
32,32,2019-12-31,,GSW,W,117,113,115.7,111.7,91.6,.177,.323,.565,54.6,66.7,5.9,8.7,,.542,8.8,22.2,.135,,.521,7.1,82.7,.135
33,33,2020-01-02,,OKC,L,103,109,114.6,121.2,89.9,.130,.337,.529,51.1,55.0,1.1,12.5,,.505,7.6,28.6,.109,,.534,3.9,79.5,.157
34,34,2020-01-04,@,MIL,L,118,127,115.9,124.7,101.8,.370,.348,.552,50.5,52.6,6.9,0.0,,.473,7.0,20.8,.337,,.592,8.1,84.8,.276
35,35,2020-01-06,,MIL,W,126,104,131.4,108.4,95.9,.216,.398,.654,58.7,51.1,4.2,4.0,,.619,10.2,26.3,.193,,.479,7.3,81.5,.137
36,36,2020-01-08,@,BOS,W,129,114,123.0,108.7,104.9,.299,.333,.655,55.7,58.3,8.6,11.8,,.603,12.5,20.5,.276,,.489,12.8,83.7,.303
37,37,2020-01-10,@,MEM,L,121,134,119.3,132.1,101.4,.264,.460,.623,43.0,69.0,3.0,9.7,,.580,10.2,11.6,.230,,.600,7.0,74.4,.140
38,38,2020-01-12,@,TOR,W,105,104,104.3,103.3,100.7,.345,.368,.524,53.1,63.2,6.0,10.4,,.477,9.9,19.6,.253,,.495,9.8,84.0,.094
39,39,2020-01-15,@,MIA,L,100,106,105.8,112.2,94.5,.169,.371,.523,45.6,56.4,8.5,8.3,,.494,7.7,12.8,.135,,.563,8.8,81.4,.080
40,40,2020-01-17,,ATL,L,120,121,114.6,115.5,104.7,.235,.296,.555,52.7,62.2,11.5,14.3,,.500,12.2,28.6,.224,,.616,16.8,81.0,.244
41,41,2020-01-19,,MIA,W,107,102,114.8,109.4,93.2,.282,.388,.560,47.8,75.0,5.4,7.7,,.494,10.3,19.6,.271,,.488,8.7,77.3,.209
42,42,2020-01-20,@,PHO,W,120,118,124.3,122.2,96.5,.253,.356,.621,41.9,69.8,12.4,12.1,,.592,7.6,14.6,.195,,.575,13.1,75.8,.325
