Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-22,,NOP,W,130,122,115.2,108.1,102.2,.369,.388,.543,51.8,54.8,6.2,5.3,,.476,11.8,30.2,.311,,.515,14.6,71.9,.167
2,2,2019-10-25,@,BOS,L,106,112,104.7,110.7,101.2,.218,.462,.620,45.1,59.5,2.0,8.5,,.590,21.2,12.5,.179,,.445,7.2,66.1,.138
3,3,2019-10-26,@,CHI,W,108,84,103.9,80.8,104.0,.220,.512,.601,56.7,71.1,8.7,19.4,,.555,19.7,23.3,.207,,.345,12.2,80.3,.175
4,4,2019-10-28,,ORL,W,104,95,99.5,90.9,104.5,.353,.459,.530,52.5,57.6,8.6,4.0,,.447,14.0,13.3,.329,,.449,14.2,85.2,.169
5,5,2019-10-30,,DET,W,125,113,121.6,110.0,102.8,.140,.314,.685,44.7,58.8,11.7,3.4,,.669,13.3,8.8,.116,,.545,16.9,73.8,.193
6,6,2019-11-02,@,MIL,L,105,115,106.2,116.3,98.9,.298,.429,.553,45.2,70.6,5.1,11.8,,.494,12.0,14.6,.262,,.534,9.9,77.8,.225
7,7,2019-11-06,,SAC,W,124,120,121.4,117.5,102.1,.372,.372,.683,46.3,65.1,9.8,7.8,,.641,13.4,6.1,.308,,.547,11.8,74.5,.168
8,8,2019-11-08,@,NOP,W,122,104,111.9,95.4,109.1,.258,.462,.589,50.0,65.9,8.3,5.2,,.543,14.1,20.4,.226,,.455,14.3,75.4,.141
9,9,2019-11-10,@,LAL,W,113,104,112.0,103.1,100.8,.247,.404,.573,45.7,60.5,5.9,12.5,,.551,11.6,15.6,.169,,.489,10.5,73.5,.128
10,10,2019-11-11,@,LAC,L,88,98,87.9,97.9,100.1,.176,.353,.480,36.5,73.5,9.0,14.3,,.465,14.1,9.8,.106,,.413,15.3,62.3,.239
11,11,2019-11-13,@,POR,W,114,106,117.3,109.1,97.2,.185,.348,.573,53.8,47.6,4.1,18.8,,.533,10.8,30.4,.174,,.484,10.4,76.6,.135
