Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,OKC,W,100,95,40,90,.444,6,24,.250,14,20,.700,11,49,15,4,5,11,31,,32,83,.386,10,27,.370,21,31,.677,7,48,15,5,4,13,23
2,2,2019-10-25,@,LAL,L,86,95,29,70,.414,8,25,.320,20,21,.952,3,40,19,8,2,22,25,,34,86,.395,8,26,.308,19,24,.792,11,42,19,14,9,14,21
3,3,2019-10-26,,SAC,W,113,81,44,78,.564,18,37,.486,7,12,.583,2,43,28,6,1,21,22,,30,81,.370,7,26,.269,14,17,.824,6,31,16,5,3,17,19
4,4,2019-10-28,@,PHO,W,96,95,27,71,.380,10,31,.323,32,39,.821,6,49,19,8,5,23,26,,33,80,.413,13,34,.382,16,23,.696,3,40,23,7,3,16,31
5,5,2019-10-30,,LAC,W,110,96,44,80,.550,11,24,.458,11,16,.688,3,36,23,12,5,14,18,,39,82,.476,8,23,.348,10,12,.833,6,36,19,3,4,19,22
6,6,2019-11-01,@,SAC,L,101,102,35,73,.479,11,28,.393,20,27,.741,6,36,18,12,5,17,18,,41,84,.488,8,29,.276,12,17,.706,11,38,15,8,3,16,23
7,7,2019-11-03,@,LAC,L,94,105,31,78,.397,10,31,.323,22,31,.710,6,37,16,4,6,14,30,,36,92,.391,7,32,.219,26,34,.765,18,54,15,7,6,9,25
8,8,2019-11-06,,PHI,W,106,104,41,89,.461,8,22,.364,16,24,.667,14,50,21,9,4,13,21,,33,80,.413,8,25,.320,30,34,.882,7,42,20,9,3,14,20
9,9,2019-11-08,,MIL,W,103,100,34,84,.405,15,36,.417,20,29,.690,11,56,15,3,1,20,27,,34,95,.358,10,36,.278,22,30,.733,16,54,14,8,4,12,26
10,10,2019-11-11,@,GSW,W,122,108,40,81,.494,16,35,.457,26,32,.813,5,43,30,3,3,12,16,,45,94,.479,10,31,.323,8,14,.571,8,44,23,8,2,10,24
11,11,2019-11-12,,BRK,W,119,114,43,92,.467,6,26,.231,27,35,.771,11,46,16,7,4,11,18,,41,90,.456,11,37,.297,21,25,.840,10,43,19,5,8,16,29
12,12,2019-11-15,@,MEM,L,106,107,35,87,.402,9,34,.265,27,32,.844,9,45,17,5,6,14,16,,43,96,.448,10,35,.286,11,13,.846,9,46,25,6,5,11,23
13,13,2019-11-18,,MIN,L,102,112,35,96,.365,12,31,.387,20,26,.769,12,53,20,5,5,14,23,,41,89,.461,14,38,.368,16,19,.842,5,51,22,6,10,15,25
