Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,,OKC,W,100,95,101.2,96.2,98.8,.222,.267,.506,50.5,37.5,4.0,8.9,,.478,10.0,21.2,.156,,.446,11.9,84.4,.253
2,2,2019-10-25,@,LAL,L,86,95,88.9,98.3,96.7,.300,.357,.543,48.8,65.5,8.3,3.3,,.471,21.7,8.8,.286,,.442,12.7,77.1,.221
3,3,2019-10-26,,SAC,W,113,81,113.6,81.4,99.5,.154,.474,.678,58.1,63.6,6.0,1.8,,.679,20.1,7.4,.090,,.414,16.1,87.2,.173
4,4,2019-10-28,@,PHO,W,96,95,93.7,92.7,102.5,.549,.437,.544,55.1,70.4,7.8,10.9,,.451,20.7,14.0,.451,,.494,15.1,93.5,.200
5,5,2019-10-30,,LAC,W,110,96,112.5,98.1,97.8,.200,.300,.632,50.0,52.3,12.3,8.5,,.619,13.9,9.1,.138,,.524,17.9,84.6,.122
6,6,2019-11-01,@,SAC,L,101,102,107.5,108.6,93.9,.370,.384,.595,48.6,51.4,12.8,9.1,,.555,16.7,18.2,.274,,.536,14.9,73.2,.143
7,7,2019-11-03,@,LAC,L,94,105,99.0,110.6,94.9,.397,.397,.513,40.7,51.6,4.2,10.0,,.462,13.3,14.3,.282,,.429,7.8,63.3,.283
8,8,2019-11-06,,PHI,W,106,104,108.0,105.9,98.2,.270,.247,.532,54.3,51.2,9.2,7.3,,.506,11.5,28.6,.180,,.463,12.8,83.7,.375
9,9,2019-11-08,,MIL,W,103,100,100.3,97.3,102.7,.345,.429,.532,50.9,44.1,2.9,1.7,,.494,17.1,22.4,.238,,.411,10.0,73.8,.232
10,10,2019-11-11,@,GSW,W,122,108,121.4,107.5,100.5,.395,.432,.642,49.4,75.0,3.0,4.8,,.593,11.2,12.2,.321,,.532,9.1,82.6,.085
11,11,2019-11-12,,BRK,W,119,114,114.3,109.5,104.1,.380,.283,.554,51.7,37.2,6.7,7.5,,.500,9.3,25.0,.293,,.517,13.7,77.8,.233
12,12,2019-11-15,@,MEM,L,106,107,104.0,105.0,101.9,.368,.391,.524,49.5,48.6,4.9,9.8,,.454,12.2,19.6,.310,,.500,9.8,80.0,.115
13,13,2019-11-18,,MIN,L,102,112,95.8,105.2,106.5,.271,.323,.475,51.0,57.1,4.7,9.8,,.427,11.5,20.7,.208,,.539,13.3,89.1,.180
14,14,2019-11-20,@,MIN,W,103,95,108.0,99.6,95.3,.314,.384,.526,50.0,62.9,7.3,13.6,,.488,10.1,25.0,.221,,.472,11.7,76.0,.124
15,15,2019-11-22,,GSW,W,113,109,113.6,109.6,99.4,.188,.376,.614,56.5,53.5,4.0,15.2,,.588,15.6,20.5,.153,,.521,7.5,87.0,.117
16,16,2019-11-23,,NOP,W,128,120,120.9,113.3,105.9,.402,.439,.663,56.3,69.0,1.9,6.7,,.604,15.0,19.4,.354,,.500,8.3,82.4,.188
17,17,2019-11-25,@,MIL,L,118,122,117.0,121.0,100.8,.141,.529,.654,44.9,67.4,4.0,10.7,,.629,15.1,10.5,.129,,.510,7.6,70.6,.237
18,18,2019-11-27,@,IND,L,102,121,103.1,122.3,99.0,.301,.386,.543,48.8,52.8,7.1,2.7,,.494,14.5,24.4,.241,,.563,10.4,73.2,.135
19,19,2019-11-29,@,MEM,W,103,94,108.5,99.0,95.0,.200,.368,.498,48.6,47.4,8.4,3.3,,.463,4.6,21.6,.158,,.447,9.8,73.2,.106
20,20,2019-12-01,@,TOR,L,110,130,105.7,124.9,104.1,.322,.389,.535,54.3,55.3,4.8,5.6,,.494,14.9,29.4,.233,,.628,12.4,83.7,.189
21,21,2019-12-02,@,PHI,L,94,103,91.0,99.7,103.3,.247,.272,.523,47.2,60.5,5.8,12.3,,.500,17.5,11.4,.160,,.478,12.2,82.2,.176
22,22,2019-12-04,,LAL,L,96,121,97.4,122.8,98.5,.229,.373,.525,46.5,58.8,3.0,4.9,,.494,16.5,17.4,.169,,.589,6.5,80.0,.167
23,23,2019-12-07,,MEM,W,126,112,127.2,113.0,99.1,.225,.425,.717,59.4,71.1,8.1,0.0,,.681,20.0,28.1,.213,,.593,13.2,86.5,.198
