Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,DAL,L,100,108,96.4,104.2,103.7,.194,.441,.495,50.5,70.3,5.8,7.5,,.457,14.4,21.2,.161,,.533,17.3,87.8,.355
2,2,2019-10-25,@,OKC,W,97,85,93.4,81.8,103.9,.103,.423,.478,49.0,53.8,8.7,10.0,,.459,12.9,16.0,.082,,.428,16.3,84.8,.169
3,3,2019-10-26,@,SAS,L,122,124,120.1,122.1,101.6,.179,.358,.595,43.6,63.8,3.0,10.0,,.579,10.5,20.0,.126,,.509,7.2,61.1,.130
4,4,2019-10-30,,HOU,L,158,159,144.1,145.0,109.7,.319,.396,.761,47.6,54.4,5.5,8.2,,.736,15.5,30.6,.264,,.646,10.0,60.4,.252
5,5,2019-11-02,,MIN,L,109,131,94.4,113.4,115.5,.284,.368,.510,45.3,56.8,9.5,7.3,,.453,13.7,15.4,.242,,.633,17.1,91.2,.128
6,6,2019-11-04,,DET,W,115,99,120.2,103.5,95.7,.269,.312,.553,49.4,62.8,9.4,12.7,,.505,9.6,31.0,.226,,.494,17.1,68.3,.220
7,7,2019-11-06,@,IND,L,106,121,105.4,120.4,100.5,.200,.421,.513,50.0,64.9,3.0,4.7,,.458,13.4,31.4,.200,,.532,11.0,71.1,.223
8,8,2019-11-08,,CLE,L,100,113,104.3,117.9,95.9,.063,.323,.507,49.5,57.8,5.2,7.9,,.505,15.4,35.4,.031,,.489,10.5,63.8,.278
9,9,2019-11-13,@,BOS,L,133,140,127.0,133.6,104.8,.281,.302,.616,45.0,56.0,4.8,6.7,,.578,6.9,20.9,.229,,.594,9.2,73.0,.271
10,10,2019-11-15,@,MIN,W,137,116,124.3,105.3,110.2,.250,.280,.617,54.3,70.4,9.1,9.6,,.590,10.5,27.7,.190,,.534,16.4,80.9,.236
11,11,2019-11-17,@,ORL,L,121,125,121.3,125.4,99.7,.124,.423,.592,42.2,67.4,7.0,4.1,,.572,8.1,18.0,.103,,.580,12.5,72.5,.276
12,12,2019-11-20,,SAS,W,138,132,130.3,124.7,105.9,.163,.326,.700,48.1,68.5,3.8,4.9,,.685,14.7,17.1,.130,,.591,10.2,72.7,.237
13,13,2019-11-22,,CHO,W,125,118,120.3,113.6,103.9,.220,.374,.626,48.2,70.8,9.6,5.1,,.604,9.9,14.0,.165,,.591,14.2,83.3,.086
14,14,2019-11-24,,SAC,L,106,113,107.7,114.8,98.4,.130,.370,.545,53.6,69.0,5.1,4.0,,.527,14.1,26.7,.098,,.549,12.2,84.6,.296
15,15,2019-11-26,@,DEN,L,104,117,95.5,107.4,108.9,.221,.421,.499,38.3,65.0,8.3,4.5,,.474,10.3,9.4,.147,,.556,16.7,75.6,.189
16,16,2019-11-27,@,PHO,W,140,132,133.5,125.9,104.9,.225,.393,.716,45.9,62.7,8.6,9.1,,.680,12.5,12.5,.213,,.597,12.7,71.4,.226
17,17,2019-11-29,@,LAL,L,103,125,96.5,117.1,106.8,.198,.385,.493,48.9,65.8,9.4,3.6,,.448,14.0,24.5,.177,,.598,15.3,82.1,.241
18,18,2019-12-01,@,LAC,L,125,150,109.3,131.1,114.4,.265,.294,.549,45.3,68.1,8.7,1.6,,.515,10.9,22.2,.196,,.628,12.5,75.6,.340
19,19,2019-12-03,,ORL,L,120,127,115.6,122.4,103.8,.258,.393,.605,44.2,48.9,8.7,5.1,,.573,9.2,11.1,.202,,.594,11.3,80.5,.222
20,20,2019-12-05,,PHI,W,119,113,119.6,113.6,99.5,.356,.300,.572,48.2,61.0,9.0,2.0,,.517,9.6,26.5,.289,,.617,19.3,77.8,.234
21,21,2019-12-06,@,MIA,L,103,112,107.2,116.6,96.1,.154,.429,.530,43.8,74.4,6.2,6.9,,.495,10.2,18.8,.143,,.547,11.1,73.2,.209
22,22,2019-12-08,,LAC,L,119,135,113.8,129.1,104.6,.341,.375,.588,45.8,70.0,4.8,5.4,,.534,11.4,18.2,.284,,.599,8.5,76.9,.208
23,23,2019-12-10,@,CHO,L,107,114,111.5,118.8,95.9,.278,.389,.530,48.4,71.1,7.3,15.9,,.483,9.0,26.0,.222,,.541,11.8,74.4,.259
24,24,2019-12-14,@,MEM,L,111,128,105.9,122.2,104.8,.376,.447,.560,42.5,61.1,11.5,7.0,,.506,15.4,22.9,.294,,.637,19.6,71.9,.250
25,25,2019-12-16,@,DET,W,133,119,132.3,118.3,100.6,.239,.386,.684,49.3,63.3,6.0,10.6,,.659,13.4,22.6,.193,,.552,12.2,70.0,.279
26,26,2019-12-18,,CHI,L,109,110,101.9,102.8,96.9,.337,.474,.500,50.9,61.8,7.5,11.7,,.432,11.4,25.0,.284,,.459,12.2,78.8,.216
