Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
ATL,1,2019-10-24,@,DET,W,117,100,120.9,103.3,96.8,12,21.1,0.209,44,86,0.512,11,31,0.355,18,21,0.857,8,42,27,9,2,13,15
ATL,2,2019-10-26,,ORL,W,103,99,104.2,100.2,98.8,16.6,23.7,0.095,43,84,0.512,9,30,0.3,8,15,0.533,9,52,22,5,9,18,26
ATL,3,2019-10-28,,PHI,L,103,105,96.1,98,107.2,17.6,17.8,0.262,36,84,0.429,9,27,0.333,22,32,0.688,8,45,23,12,3,21,25
ATL,4,2019-10-29,@,MIA,L,97,112,95,109.6,102.1,17.6,20,0.193,35,83,0.422,11,39,0.282,16,24,0.667,9,33,28,14,7,20,29
ATL,5,2019-10-31,,MIA,L,97,106,101.8,111.2,95.3,13.9,33.3,0.205,36,88,0.409,7,34,0.206,18,26,0.692,16,50,20,5,5,16,15
ATL,6,2019-11-05,,SAS,W,108,100,105.1,97.3,102.8,15.6,23.1,0.122,43,90,0.478,11,30,0.367,11,16,0.688,9,48,22,9,5,18,20
ATL,7,2019-11-06,,CHI,L,93,113,89.5,108.8,103.9,21.2,14.3,0.365,30,74,0.405,6,30,0.2,27,35,0.771,6,41,18,7,3,24,26
ATL,8,2019-11-08,,SAC,L,109,121,120.8,134.1,90.2,11.4,28.9,0.092,46,87,0.529,9,28,0.321,8,14,0.571,11,34,23,8,6,12,19
ATL,9,2019-11-10,@,POR,L,113,124,98.2,107.8,104.2,12.2,19.6,0.173,42,104,0.404,11,41,0.268,18,25,0.72,11,48,21,11,8,16,26
ATL,10,2019-11-12,@,DEN,W,125,121,127.6,123.6,97.9,12.5,28.6,0.265,44,83,0.53,15,34,0.441,22,34,0.647,10,45,30,1,5,14,21
ATL,11,2019-11-14,@,PHO,L,112,128,101.9,116.5,109.9,17.4,31.9,0.264,40,91,0.44,8,31,0.258,24,30,0.8,15,49,25,15,5,22,31
ATL,12,2019-11-16,@,LAC,L,101,150,92.1,136.9,109.6,15.2,25.5,0.3,34,90,0.378,6,24,0.25,27,37,0.73,14,38,19,11,10,19,27
ATL,13,2019-11-17,@,LAL,L,101,122,100,120.8,101,15.7,22,0.221,37,86,0.43,8,28,0.286,19,25,0.76,9,37,16,11,2,18,19
ATL,14,2019-11-20,,MIL,L,127,135,114.4,121.6,111,10.6,19.1,0.26,44,96,0.458,14,31,0.452,25,31,0.806,9,43,27,8,2,13,26
ATL,15,2019-11-22,@,DET,L,103,128,104.8,130.2,98.3,16.6,25,0.193,38,88,0.432,10,37,0.27,17,17,1,10,34,26,12,2,19,18
ATL,16,2019-11-23,,TOR,L,116,119,116,119,100,13.7,21.1,0.089,47,90,0.522,14,34,0.412,8,11,0.727,8,38,32,9,7,15,27
ATL,17,2019-11-25,,MIN,L,113,125,107.1,118.5,105.5,13.9,21.4,0.223,41,94,0.436,10,32,0.313,21,26,0.808,9,42,26,6,4,17,25
ATL,18,2019-11-27,@,MIL,L,102,111,99.4,108.2,102.6,14.1,27.5,0.16,38,94,0.404,11,34,0.324,15,22,0.682,14,49,22,4,5,17,25
ATL,19,2019-11-29,@,IND,L,104,105,96.4,97.3,97.7,19.7,23.3,0.189,39,90,0.433,9,32,0.281,17,18,0.944,10,48,14,10,3,24,27
ATL,20,2019-11-30,@,HOU,L,111,158,108.2,154,102.6,11.5,17,0.225,38,89,0.427,15,46,0.326,20,25,0.8,8,29,26,5,2,13,23
ATL,21,2019-12-02,,GSW,W,104,79,113.1,85.9,92,12.8,28.2,0.157,41,89,0.461,8,29,0.276,14,15,0.933,11,38,21,13,4,14,12
ATL,22,2019-12-04,,BRK,L,118,130,114.5,126.2,103,13.9,20.5,0.144,48,90,0.533,9,26,0.346,13,21,0.619,9,35,24,8,9,16,19
