Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,Rk ATL,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-24,@,DET,W,117,100,120.9,103.3,96.8,0.244,0.36,0.614,51.9,61.4,9.3,4.2,,0.576,12,21.1,0.209,,0.471,12.1,79.1,0.235,1,1,2019-10-24,@,DET,W,117,100,44,86,0.512,11,31,0.355,18,21,0.857,8,42,27,9,2,13,15
2,2,2019-10-26,,ORL,W,103,99,104.2,100.2,98.8,0.179,0.357,0.568,53.1,51.2,5.1,13.2,,0.565,16.6,23.7,0.095,,0.379,8.3,71.7,0.242,2,2,2019-10-26,,ORL,W,103,99,43,84,0.512,9,30,0.3,8,15,0.533,9,52,22,5,9,18,26
3,3,2019-10-28,,PHI,L,103,105,96.1,98,107.2,0.381,0.321,0.525,47.9,63.9,11.2,6.4,,0.482,17.6,17.8,0.262,,0.483,17.5,75.5,0.227,3,3,2019-10-28,,PHI,L,103,105,36,84,0.429,9,27,0.333,22,32,0.688,8,45,23,12,3,21,25
4,4,2019-10-29,@,MIA,L,97,112,95,109.6,102.1,0.289,0.47,0.518,40.2,80,13.7,16.7,,0.488,17.6,20,0.193,,0.541,21.9,64.9,0.452,4,4,2019-10-29,@,MIA,L,97,112,35,83,0.422,11,39,0.282,16,24,0.667,9,33,28,14,7,20,29
5,5,2019-10-31,,MIA,L,97,106,101.8,111.2,95.3,0.295,0.386,0.488,54.9,55.6,5.2,10.6,,0.449,13.9,33.3,0.205,,0.56,12.3,79.1,0.143,5,5,2019-10-31,,MIA,L,97,106,36,88,0.409,7,34,0.206,18,26,0.692,16,50,20,5,5,16,15
6,6,2019-11-05,,SAS,W,108,100,105.1,97.3,102.8,0.178,0.333,0.556,53.9,51.2,8.8,8.6,,0.539,15.6,23.1,0.122,,0.462,12.9,78,0.176,6,6,2019-11-05,,SAS,W,108,100,43,90,0.478,11,30,0.367,11,16,0.688,9,48,22,9,5,18,20
7,7,2019-11-06,,CHI,L,93,113,89.5,108.8,103.9,0.473,0.405,0.52,48.8,60,6.7,6.1,,0.446,21.2,14.3,0.365,,0.579,15.3,83.3,0.22,7,7,2019-11-06,,CHI,L,93,113,30,74,0.405,6,30,0.2,27,35,0.771,6,41,18,7,3,24,26
8,8,2019-11-08,,SAC,L,109,121,120.8,134.1,90.2,0.161,0.322,0.585,48.6,50,8.9,13.3,,0.58,11.4,28.9,0.092,,0.671,14,71.9,0.25,8,8,2019-11-08,,SAC,L,109,121,46,87,0.529,9,28,0.321,8,14,0.571,11,34,23,8,6,12,19
9,9,2019-11-10,@,POR,L,113,124,98.2,107.8,104.2,0.24,0.394,0.491,44,50,9.6,11.8,,0.457,12.2,19.6,0.173,,0.49,12.8,69.8,0.212,9,9,2019-11-10,@,POR,L,113,124,42,104,0.404,11,41,0.268,18,25,0.72,11,48,21,11,8,16,26
10,10,2019-11-12,@,DEN,W,125,121,127.6,123.6,97.9,0.41,0.41,0.638,52.9,68.2,1,7.9,,0.62,12.5,28.6,0.265,,0.495,2.6,70,0.173,10,10,2019-11-12,@,DEN,W,125,121,44,83,0.53,15,34,0.441,22,34,0.647,10,45,30,1,5,14,21
