,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
0,ATL,1,2019-10-24,DET,W,117,100,120.9,96.8,12.0,21.1,0.209,44,86,0.512,11,31,0.355,8,42,13,15,120.9
1,ATL,2,2019-10-26,ORL,W,103,99,104.2,98.8,16.6,23.7,0.095,43,84,0.512,9,30,0.3,9,52,18,26,104.2
2,ATL,3,2019-10-28,PHI,L,103,105,96.1,107.2,17.6,17.8,0.262,36,84,0.429,9,27,0.33299999999999996,8,45,21,25,96.1
3,ATL,4,2019-10-29,MIA,L,97,112,95.0,102.1,17.6,20.0,0.193,35,83,0.42200000000000004,11,39,0.282,9,33,20,29,95.0
4,ATL,5,2019-10-31,MIA,L,97,106,101.8,95.3,13.9,33.3,0.205,36,88,0.409,7,34,0.20600000000000002,16,50,16,15,101.8
5,ATL,6,2019-11-05,SAS,W,108,100,105.1,102.8,15.6,23.1,0.122,43,90,0.478,11,30,0.36700000000000005,9,48,18,20,105.1
6,ATL,7,2019-11-06,CHI,L,93,113,89.5,103.9,21.2,14.3,0.365,30,74,0.405,6,30,0.2,6,41,24,26,89.5
7,ATL,8,2019-11-08,SAC,L,109,121,120.8,90.2,11.4,28.9,0.092,46,87,0.529,9,28,0.321,11,34,12,19,120.8
8,ATL,9,2019-11-10,POR,L,113,124,98.2,104.2,12.2,19.6,0.17300000000000001,42,104,0.40399999999999997,11,41,0.268,11,48,16,26,98.2
9,ATL,10,2019-11-12,DEN,W,125,121,127.6,97.9,12.5,28.6,0.265,44,83,0.53,15,34,0.441,10,45,14,21,127.6
10,ATL,11,2019-11-14,PHO,L,112,128,101.9,109.9,17.4,31.9,0.264,40,91,0.44,8,31,0.258,15,49,22,31,101.9
11,ATL,12,2019-11-16,LAC,L,101,150,92.1,109.6,15.2,25.5,0.3,34,90,0.37799999999999995,6,24,0.25,14,38,19,27,92.1
12,ATL,13,2019-11-17,LAL,L,101,122,100.0,101.0,15.7,22.0,0.221,37,86,0.43,8,28,0.28600000000000003,9,37,18,19,100.0
13,ATL,14,2019-11-20,MIL,L,127,135,114.4,111.0,10.6,19.1,0.26,44,96,0.45799999999999996,14,31,0.452,9,43,13,26,114.4
14,ATL,15,2019-11-22,DET,L,103,128,104.8,98.3,16.6,25.0,0.193,38,88,0.43200000000000005,10,37,0.27,10,34,19,18,104.8
15,ATL,16,2019-11-23,TOR,L,116,119,116.0,100.0,13.7,21.1,0.08900000000000001,47,90,0.522,14,34,0.41200000000000003,8,38,15,27,116.0
16,ATL,17,2019-11-25,MIN,L,113,125,107.1,105.5,13.9,21.4,0.223,41,94,0.436,10,32,0.313,9,42,17,25,107.1
17,ATL,18,2019-11-27,MIL,L,102,111,99.4,102.6,14.1,27.5,0.16,38,94,0.40399999999999997,11,34,0.324,14,49,17,25,99.4
18,ATL,19,2019-11-29,IND,L,104,105,96.4,97.7,19.7,23.3,0.18899999999999997,39,90,0.433,9,32,0.281,10,48,24,27,96.4
19,ATL,20,2019-11-30,HOU,L,111,158,108.2,102.6,11.5,17.0,0.225,38,89,0.42700000000000005,15,46,0.326,8,29,13,23,108.2
20,ATL,21,2019-12-02,GSW,W,104,79,113.1,92.0,12.8,28.2,0.157,41,89,0.461,8,29,0.276,11,38,14,12,113.1
21,ATL,22,2019-12-04,BRK,L,118,130,114.5,103.0,13.9,20.5,0.14400000000000002,48,90,0.5329999999999999,9,26,0.34600000000000003,9,35,16,19,114.5
22,ATL,23,2019-12-08,CHO,W,122,107,125.0,97.6,11.7,26.2,0.17600000000000002,44,91,0.484,18,45,0.4,11,48,13,24,125.0
23,ATL,24,2019-12-10,MIA,L,121,135,110.0,99.7,9.7,8.3,0.11599999999999999,45,95,0.474,20,54,0.37,4,37,11,23,110.0
24,ATL,25,2019-12-11,CHI,L,102,136,96.4,105.9,19.6,22.2,0.22899999999999998,35,83,0.42200000000000004,13,38,0.342,10,41,23,20,96.4
25,ATL,26,2019-12-13,IND,L,100,110,95.3,105.0,12.6,23.1,0.17,39,94,0.415,6,28,0.214,12,50,15,20,95.3
26,ATL,27,2019-12-15,LAL,L,96,101,91.1,105.4,16.4,15.7,0.256,31,86,0.36,12,42,0.28600000000000003,8,42,19,27,91.1
27,ATL,28,2019-12-17,NYK,L,120,143,114.0,105.3,8.5,17.6,0.152,45,99,0.455,15,43,0.349,9,36,10,21,114.0
28,ATL,29,2019-12-19,UTA,L,106,111,101.1,104.8,14.0,13.0,0.18899999999999997,39,90,0.433,11,29,0.379,6,40,16,27,101.1
